@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute target {1,2}

@data
-6.715106,-3.834187,9.15657,9.759369,-10.109571,1.533871,1.421088,1.454658,1.465833,1.473836,1.494912,1.553557,1.552851,-4.745244,-5.462436,2
5.62331,5.915252,0.463981,3.699357,5.469284,-4.338198,-5.084148,-5.235077,-5.19958,-5.225333,-4.738505,-4.426427,2.477212,5.174741,5.424133,2
2.094888,2.135285,2.252542,-1.578011,3.724019,10.495373,-4.705693,-3.048359,-2.552946,-2.261494,-2.088958,-2.158406,-2.112234,-2.276293,2.080288,2
-5.441464,-5.409504,2.597003,-1.37451,-5.190826,-0.97301,4.432326,4.430606,4.37888,4.364965,4.627149,4.484423,-0.341408,-5.183452,-5.401177,2
-5.391067,-5.074792,-0.906094,-1.074052,-5.917172,-3.886304,4.68527,4.718571,4.68107,4.704545,4.879896,5.146497,4.824127,-5.832318,-5.558176,2
1.975472,1.995381,2.489442,-2.120956,3.383969,12.42345,-4.602239,-3.723099,-3.317344,-3.097688,-2.886797,-3.040054,-3.243323,1.852215,1.911571,2
5.636282,5.70158,2.011769,3.857469,5.44718,-2.481361,-4.493833,-4.823755,-4.996923,-4.986731,-4.913905,-4.287219,-2.922011,5.600211,5.651245,2
5.704039,5.97315,2.221079,4.549958,5.267762,-0.950138,-4.427808,-4.803892,-4.836501,-4.872829,-4.959615,-3.938704,-3.632266,3.229408,5.476354,2
-6.117593,-5.671117,0.488105,7.908607,-7.050529,-3.289847,2.136547,2.600958,2.851058,3.013524,3.122389,2.618712,2.005088,1.804412,-6.420313,2
-7.593502,10.71985,10.198291,-4.25955,1.751314,1.927236,1.983304,2.013484,2.038854,2.034248,1.726207,-5.63468,-5.555613,-5.595675,-5.753769,1
-6.102216,-6.0953,1.297156,-2.854789,-6.273339,3.391831,4.511702,4.297964,4.193079,4.126991,4.327408,4.458487,2.844679,-6.038269,-6.085384,2
0.874714,1.274799,11.263985,-2.819241,0.837878,2.823012,-2.964897,-2.300893,-2.045656,-1.887151,-1.845881,-1.786475,-1.689999,-0.389252,0.655057,2
-5.42544,-5.447279,-4.96097,10.728468,-6.732045,-6.541302,3.673987,3.584487,3.641418,3.688943,3.679889,3.140835,2.293093,-0.046681,-5.277401,2
-6.78243,-3.940713,9.186956,9.892542,-10.045973,1.115875,1.417161,1.448135,1.471479,1.504385,1.55258,1.566894,1.591301,-4.549799,-5.428393,2
4.915334,5.334534,-2.833029,4.489799,-0.372876,-5.041687,-5.545483,-5.311575,-5.389173,-5.408746,-5.601231,5.512243,5.158713,5.066925,5.026254,1
-5.520254,-5.482659,3.186528,-2.009345,-5.050226,3.643125,4.542381,4.633381,4.658918,4.727368,4.814799,5.247886,-6.141319,-5.679799,-5.570782,2
-5.585376,-5.241736,3.612387,6.822748,-5.903361,-4.652065,3.011208,3.294907,3.5311,3.71802,3.819503,2.610855,3.005654,-6.248948,-5.794894,2
-5.578497,-5.551962,-4.174414,-0.102563,-6.666895,-6.488114,5.184354,4.849735,4.63077,4.514831,4.454541,4.651963,4.395884,1.33821,-5.457842,2
-5.154515,-4.879724,-1.36637,9.728239,-7.040834,-5.643557,2.971867,3.207003,3.390712,3.490139,3.561161,2.551688,2.149518,-1.862104,-5.103223,2
-6.196507,-5.797413,0.945956,3.266919,-5.88069,-0.89309,3.391835,3.694844,3.819805,3.927622,4.038033,4.187032,4.725886,-6.82048,-6.409754,2
-6.308809,-3.5224,8.932748,7.41622,-6.321223,2.1113,2.086523,2.128209,2.132994,2.165032,2.236211,2.576396,-5.427579,-5.137038,-5.068581,2
-6.186155,-6.236259,2.451225,1.283391,-6.321608,3.876234,3.94821,3.883889,3.812886,3.745739,3.643585,3.4447,0.6338,-5.882938,-6.096701,2
6.474831,6.246413,4.971824,0.913955,6.740489,5.816852,-4.536935,-4.656957,-4.784754,-4.917953,-5.071133,-4.838873,-4.352311,-5.074147,7.068698,2
4.804962,5.738946,0.344569,2.985142,5.424197,-2.67986,-4.991133,-5.415547,-5.558541,-5.70373,-5.389408,-5.806493,6.618608,5.319788,4.308502,2
5.630799,5.797157,2.032627,4.141224,5.556754,-3.636124,-4.972892,-5.044045,-5.115159,-5.045243,-4.8118,-4.096514,-1.252027,5.294045,5.521199,2
-5.911721,-6.200198,4.382745,0.160604,-4.951302,1.436958,3.911733,4.017944,4.031158,3.965521,3.869419,3.619805,-1.111505,-5.470102,-5.751057,2
-5.111451,-3.059336,-0.534406,-6.291324,-5.957602,5.257188,5.120909,4.991585,4.914479,4.946675,5.40199,5.043175,-4.17513,-5.267572,-5.279178,2
4.638262,5.45069,1.813257,3.78115,5.304161,-2.693551,-5.029198,-5.201633,-5.335922,-5.386566,-4.917103,-4.327449,2.643516,4.999766,4.260619,2
-5.227647,-5.180002,-4.617704,10.951321,-6.177719,-5.009671,3.494122,3.717155,3.89945,4.038724,4.060611,2.979199,2.783586,-4.503753,-5.207671,2
5.847023,5.971294,1.472138,4.124083,5.547957,-2.388603,-4.535311,-4.844065,-5.010278,-5.04966,-4.974257,-4.182446,-3.85746,6.034421,5.845163,2
5.395105,5.339987,1.527702,3.53062,5.353926,-4.527733,-5.434413,-5.633828,-5.809028,-5.872059,-5.294704,-5.783426,6.160773,5.589563,5.457517,2
-6.87981,-4.101291,8.976818,8.805303,-8.723888,1.563844,1.544933,1.571866,1.61197,1.683825,1.732947,1.845787,2.301907,-6.178308,-5.755905,2
1.837378,2.51148,10.548167,-4.163849,0.768282,1.706082,-2.541015,-2.091556,-1.827034,-1.770116,-1.67922,-1.688032,-1.648694,-1.660702,1.698829,2
-6.214844,-6.576796,7.563485,1.748369,-5.162711,1.925493,3.05514,3.226284,3.33179,3.317039,3.091236,1.922742,0.823723,-5.972566,-6.078383,2
-5.683191,-5.342683,-2.604823,5.748,-6.473025,-3.055625,3.606104,3.940874,4.076623,4.230048,4.365801,4.558061,5.21423,-6.625832,-5.95456,2
-6.848216,-4.056911,8.774813,7.193574,-6.89431,1.715669,1.690759,1.692702,1.665662,1.705623,1.677271,1.635323,1.188844,-5.5996,-5.541202,2
-5.754686,-5.688487,1.549069,-2.550045,-5.845599,3.303566,4.661524,4.426932,4.312513,4.304934,4.630651,4.419722,-0.710782,-5.349117,-5.710196,2
4.752507,4.139178,0.523681,0.516255,3.629673,4.315989,-1.859177,-2.518184,-2.634805,-2.715838,-2.839932,-3.256058,-3.461072,-4.043279,5.451063,2
-6.402307,-6.395676,2.510861,1.508428,-5.854524,1.060877,3.427156,3.597675,3.640124,3.662808,3.682183,3.660173,3.70049,-5.442456,-6.355811,2
-5.982981,-5.683504,1.03031,3.368201,-5.83975,-2.945289,3.622652,3.875182,3.99106,4.077634,4.185137,4.334805,4.871377,-6.715131,-6.189703,2
-5.7286,-5.381429,0.650815,7.938095,-6.812973,-2.446409,2.199985,2.661268,2.928237,3.065702,3.156034,2.37846,1.790644,-0.678088,-5.72174,2
4.608029,4.541917,0.638294,2.278335,4.742785,-3.814104,-5.541955,-5.83234,-5.971284,-5.761271,-4.955883,1.694391,4.313021,4.504406,4.555658,2
