@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute target {1,2}

@data
4.190739,9.079286,7.768187,4.585307,1.331567,-1.004951,0.156629,0.897387,4.156156,9.205489,10.852437,12.238309,12.868562,8.67465,4.08367,-1.14524,-2.661026,-3.251347,-2.940664,1.775022,4.626645,3.978823,1.936401,-1.789212,-4.272411,-5.876249,-5.654954,-2.805582,1.091881,4.974939,6.9106,4.748469,1.659038,-2.82752,-7.209215,-7.704258,-11.870797,-10.907142,-7.406693,-3.358491,1.798504,3.080701,2.109759,-1.936363,-3.402204,-1.557883,-0.501407,-1.840906,-1.352628,2.832772,4.630308,-0.628797,-3.350393,-6.837476,-8.875483,-6.197819,-3.312698,-0.866381,-0.174643,-1.570305,-3.380127,-4.559875,-5.395126,-6.509417,-4.755357,-5.48391,-3.533556,-1.704582,2.379421,6.293079,6.396826,6.31991,4.290854,0.895567,-0.398799,-3.9349,-4.682892,-3.492623,0.255231,3.166731,3.179004,2.297779,1.888715,1.568514,1.064349,0.284788,-0.436493,-0.943601,-0.784277,-1.436334,1
-6.423567,-1.295044,-0.011333,-0.114238,0.286247,0.116834,0.646942,2.453053,-0.232168,0.230436,-0.920589,0.279138,-0.866039,-0.389204,0.252388,0.77009,1.092728,1.532808,2.488279,3.229441,2.470315,3.357038,2.665598,3.019641,1.579077,3.828875,1.952221,3.946566,2.553067,3.410247,1.985646,1.628618,1.267137,2.022322,4.128616,3.353189,2.715248,2.54871,1.66994,1.373735,1.272957,1.312266,1.371546,3.108198,1.08528,4.297137,4.112963,3.607063,3.358545,3.045574,1.757541,3.212241,3.122057,1.92799,3.361414,3.331393,1.319285,1.670553,1.033331,1.836171,2.944427,2.321996,2.193923,2.822736,2.812178,2.22686,1.25381,0.459221,-0.19852,0.814801,-1.587467,-2.862718,-1.545223,-0.812897,-1.745341,-0.558307,0.747454,-1.05168,-2.216921,-2.296691,-2.621503,-6.088975,-4.280625,-5.608287,-10.558061,-17.395568,-15.638675,-15.085013,-14.888689,-15.301756,1
8.799101,3.445074,0.318421,-0.799752,2.25209,2.53121,2.205234,2.407242,-1.727733,-3.896632,0.477246,-1.703868,-7.168525,-3.522397,0.241598,0.735814,2.106412,-4.565442,-7.019937,-5.329175,-0.820736,-2.508693,-7.598964,-5.139713,-2.744267,-4.634408,-5.076683,-2.876948,-6.006344,-2.943938,-2.914467,-4.455328,-3.388505,-2.168399,-4.267135,-5.0396,-2.839608,-1.630318,-2.386324,-4.398388,-4.160567,-1.686988,-2.32536,-4.417585,-3.520505,-4.557358,-3.225788,-2.67824,-4.098558,-4.633022,-4.494664,-3.285121,-4.100413,-5.256529,-6.000034,-3.868516,-1.792523,0.087544,1.656301,4.260535,2.676301,0.494613,1.697066,2.6647,2.077585,3.225772,3.119277,2.416398,1.931119,3.61506,4.031658,3.154466,4.249266,4.106184,4.590186,4.787368,3.382883,3.776823,4.723921,2.311015,2.771227,0.46662,3.29053,5.726672,6.563264,6.569409,7.276119,10.035699,17.25746,19.16152,1
-10.804999,-10.393697,-8.701873,-6.566814,-7.279713,-3.659937,-3.059476,-2.335736,-2.439996,-1.83708,-2.751003,-1.918303,-1.496955,-0.870939,-2.221827,-1.555701,-0.777296,0.051726,-0.520485,-1.521845,-0.600282,-0.854902,-0.766102,2.937687,5.867898,8.511457,6.551856,5.60818,6.512338,6.137947,6.351386,6.440517,5.210336,4.5414,4.988928,4.86342,4.732457,4.430808,4.379781,3.967033,3.913969,4.67357,4.363479,4.284945,3.753814,3.505787,3.418729,3.659936,4.174762,4.094699,3.94536,3.998246,3.40973,3.739537,3.963592,3.761921,3.257438,3.295105,3.302337,3.276992,3.028695,2.735398,2.190713,1.798214,1.383179,1.40838,1.379233,1.396671,1.140092,1.374027,1.064413,1.335012,1.502491,0.729886,-2.849651,-6.667681,-7.609326,-6.164863,-5.426611,-5.770142,-6.484372,-5.838446,-6.625008,-8.189922,-8.935255,-9.200691,-8.785589,-9.839074,-9.864378,-9.159538,1
10.300786,8.055879,7.728942,11.588658,11.839253,9.663233,8.490619,4.053334,-2.801527,-4.381135,-3.236022,-5.257175,-5.56304,-3.311745,-3.343245,-1.693596,1.083483,-0.511205,-2.658959,-3.241961,-3.781364,-4.878917,-4.132852,-3.032755,-3.62653,-4.592046,-3.618629,-2.367941,-1.770695,-3.491133,-3.457567,-3.994157,-4.227528,-4.092246,-3.491227,-2.119602,-1.728378,-2.821019,-3.123534,-2.929002,-3.05724,-3.400943,-3.343425,-3.12084,-2.23756,-1.948384,-3.354296,-3.064293,-2.668084,-1.240392,-1.033029,-0.667601,-1.21101,-1.349871,-2.526697,-3.57948,-4.518382,-2.281688,0.362658,0.842973,0.222821,-1.149507,-1.38971,-0.935282,-1.410972,-0.310279,-1.576211,-2.202228,-2.255323,-2.631236,-2.222932,-2.152854,-1.579186,-1.291156,-1.01717,-0.623286,0.060434,3.396377,3.631402,3.258256,2.831235,2.389707,3.062908,5.777413,9.859798,10.164156,10.006927,11.8195,13.577773,16.558759,1
0.860352,5.145905,6.10592,5.738706,5.545705,5.657391,6.527813,7.865016,7.875126,7.304367,6.401783,6.252763,6.921685,7.517174,6.798426,5.120518,3.737452,3.513622,4.107844,4.123649,4.466831,5.074595,4.289922,4.703362,5.102255,4.591823,5.381232,4.460647,3.441675,2.925294,2.873722,2.641336,2.221907,1.742565,-1.155923,-2.427619,-2.509375,-2.675701,-1.607376,-0.923187,-0.124207,-0.06828,0.250357,1.064047,0.658482,0.78501,1.678122,2.776245,2.492133,2.914761,3.047184,2.471567,0.481061,-0.788814,-1.545305,-2.351449,-2.824397,-3.290055,-4.127425,-4.558442,-5.543722,-6.940318,-6.446577,-5.374787,-4.914825,-3.10278,-2.223485,-2.019546,-0.488253,-0.884602,-0.808768,-1.523872,-1.955085,-2.942341,-1.99877,-1.314355,-1.996716,-4.192765,-5.669672,-6.324465,-6.358443,-8.070784,-8.761203,-8.855352,-10.823537,-12.297655,-10.387446,-9.480405,-7.453489,-5.525781,1
3.396556,-3.514788,-2.293342,-0.828834,-0.516891,-2.316139,-4.571343,-2.820159,-2.957407,-7.435251,-8.199191,-7.566679,-6.498798,-5.064199,-4.555491,-5.891528,-2.748981,-4.483053,-3.865544,-3.065612,-2.190825,-1.841468,-2.394499,-2.098252,-1.455312,-1.226435,-2.149406,-2.134055,-2.413122,-2.131017,-2.85506,-2.575501,-2.794688,-2.980397,-3.574116,-3.211138,-3.014411,-2.998384,-3.217433,-3.031698,-3.153826,-3.127885,-3.234742,-3.403424,-2.974804,-3.185912,-3.003055,-3.801425,-4.023928,-4.71477,-4.302092,-3.23572,-2.081358,0.389489,-0.416067,-0.139058,0.262931,3.258779,4.657106,3.422867,2.557954,2.007886,2.221181,2.300207,2.293902,1.999727,1.67364,1.578101,1.819554,1.239081,0.71884,-1.023395,-1.179232,1.636521,3.690932,4.582982,8.068355,7.335769,9.59425,9.342505,6.974778,7.364511,10.303237,12.650071,11.328036,7.525779,7.225372,9.938382,10.717437,12.404424,1
-7.512473,-7.763089,-9.242044,-10.4729,-10.934824,-10.331342,-8.779617,-5.767205,-3.457509,-3.307852,-3.026781,-1.344021,0.69892,1.971523,3.87699,4.751585,5.261514,6.541563,7.534995,7.887598,7.750028,6.871227,6.52036,6.028307,5.945107,6.634576,6.12447,5.766057,5.597781,5.536187,5.907579,5.73488,5.585199,5.384224,5.174158,4.756135,4.687407,4.978269,5.3535,5.237482,4.175041,3.164017,2.639302,2.605052,3.128507,4.035441,3.740294,2.925489,2.403132,2.266242,2.171941,2.914328,2.733172,2.46885,3.022128,3.074815,0.348897,-1.074951,-0.57956,-1.604833,-2.392552,-2.90201,-3.311578,-2.761814,-2.326899,-1.892047,-2.276039,-2.426955,-3.211209,-3.817467,-3.781534,-3.816524,-3.867699,-4.003179,-4.246582,-4.141203,-4.182956,-4.286117,-4.30244,-4.233294,-4.302748,-4.259266,-4.165926,-4.241099,-4.491825,-4.5117,-4.556245,-5.021892,-5.905594,-7.07888,1
-0.188627,1.664885,-0.158524,5.769913,6.541854,6.620327,10.054464,12.047808,12.497498,10.969548,9.461565,7.954967,6.443241,4.910937,4.980851,5.354926,6.324541,5.579063,6.032933,5.275434,4.424538,3.260111,3.146564,2.311565,1.518716,2.024543,2.172768,3.174673,3.26303,3.578368,3.212725,3.924235,3.534812,3.953234,3.476922,2.846413,3.068911,3.27747,2.860787,1.461219,-0.608896,-1.972587,-3.300061,-4.70576,-5.892554,-6.102913,-6.22411,-6.046229,-5.061412,-5.121806,-3.523103,-3.127833,-6.167131,-4.385136,-3.539273,-1.740318,-0.571608,-0.078344,-1.131234,-1.815711,-1.405901,-0.074352,-0.015979,-0.164257,-1.364771,-3.756716,-5.433299,-6.155589,-6.89656,-6.825653,-6.87628,-6.998869,-6.917149,-6.849601,-6.978936,-6.718523,-6.495435,-4.814612,-3.221317,-3.212085,-2.42131,-1.022682,0.80463,-0.844153,-3.431803,-3.780451,-3.889487,-3.926342,-4.04437,-3.781333,1
-2.923223,-2.593046,-2.706954,-3.839798,-4.56242,-4.239222,-3.539739,-3.134445,-5.59758,-7.230846,-7.958496,-7.735169,-8.975437,-8.013654,-6.244775,-6.478808,-4.839808,-4.003624,-1.014321,-0.210293,1.545994,3.331411,3.945817,4.008799,3.349087,3.650094,3.446969,2.417117,1.793686,1.137916,0.184348,-1.923731,-2.961636,-4.121206,-3.127997,-2.343835,-1.144657,-0.108752,1.808273,2.070401,3.755976,6.10138,6.876842,5.433129,1.58843,-2.758263,-2.129998,-3.999404,-5.397855,-6.588655,-7.239265,-6.392606,-6.762899,-7.520285,-5.897742,-3.108818,-0.84899,1.388738,2.878143,4.256159,6.800317,7.233237,6.987904,5.286668,5.133808,2.950156,2.546191,1.159069,0.204485,-1.405292,-1.137732,0.041047,2.142811,3.270655,6.191541,8.876536,9.169283,10.025783,9.917791,9.476488,8.246979,7.308843,6.681243,4.146618,2.614837,0.279524,-2.990788,-5.405036,-5.583562,-4.919859,1
