@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute target {1,2}

@data
0.195006,0.192828,0.037571,0.035642,0.031349,0.024988,0.02643,0.018681,0.008033,-0.00202,-0.012757,-0.020554,-0.035198,-0.042652,-0.049317,-0.049671,-0.052304,-0.049717,-0.058856,-0.065297,-0.067884,-0.076277,-0.07764,-0.075965,-0.081175,-0.077966,-0.070915,-0.059393,-0.050845,-0.043877,-0.02927,-0.026702,-0.013451,-0.002742,0.006761,0.010375,0.023699,0.029329,0.039658,0.047633,0.046819,0.047789,0.045195,0.045408,0.040939,0.044404,0.036565,0.030153,0.027783,0.030827,0.029792,1
0.023802,0.021253,-0.022512,-0.02311,-0.02739,-0.033019,-0.028784,-0.038316,-0.038282,-0.037633,-0.04065,-0.055077,-0.052927,-0.059683,-0.060647,-0.056064,-0.057397,-0.055469,-0.046022,-0.033734,-0.024658,-0.007864,0.000809,0.01434,0.033397,0.048882,0.05167,0.044667,0.04779,0.04615,0.041954,0.04818,0.033502,0.03439,0.036502,0.031325,0.036131,0.034052,0.032123,0.030426,0.018981,0.019285,0.025162,0.032838,0.0168,0.018172,0.007909,0.000162,-0.006435,-0.013237,-0.016248,1
0.106449,0.105347,0.069694,0.065846,0.067286,0.059522,0.056597,0.046498,0.043203,0.033802,0.036268,0.026022,0.024726,0.008255,0.010531,0.001973,0.00021,0.002228,-0.006474,-0.015333,-0.022022,-0.029086,-0.042124,-0.04427,-0.055826,-0.053409,-0.064278,-0.059845,-0.06203,-0.060405,-0.06775,-0.06469,-0.066756,-0.054215,-0.044806,-0.046492,-0.037985,-0.032295,-0.022686,-0.02015,-0.016048,-0.008625,-0.007453,-0.002779,0.00646,0.016809,0.024693,0.033588,0.041082,0.047622,0.051942,1
0.125395,0.118355,-0.047531,-0.045123,-0.05386,-0.055217,-0.048935,-0.049185,-0.055859,-0.054003,-0.057341,-0.049469,-0.052043,-0.045766,-0.048582,-0.039216,-0.031659,-0.024676,-0.018916,-0.01273,-0.004645,0.001531,0.004131,0.012302,0.024536,0.025009,0.023464,0.029684,0.043752,0.043753,0.036471,0.051586,0.054268,0.051539,0.062665,0.050826,0.043729,0.04286,0.040278,0.030328,0.019489,0.015984,-0.002986,-0.011116,-0.014941,-0.020619,-0.024704,-0.027937,-0.029599,-0.02188,-0.027775,1
0.172287,0.185491,0.053517,0.052623,0.047336,0.055011,0.062875,0.073981,0.063851,0.038762,0.044024,0.038384,0.034816,0.02672,0.008354,-0.000314,-0.00776,-0.023272,-0.035425,-0.028727,-0.033859,-0.054516,-0.055494,-0.062202,-0.057264,-0.058949,-0.065881,-0.057455,-0.054266,-0.05723,-0.050138,-0.055782,-0.057064,-0.054419,-0.048924,-0.037788,-0.033228,-0.036556,-0.024889,-0.020294,-0.012998,-0.006379,-0.006772,-0.000069,0.007463,0.007718,0.007624,0.010384,0.018361,0.026757,0.025799,1
0.181597,0.168973,0.010263,0.000948,0.000172,-0.002849,-0.006196,-0.007181,-0.012334,-0.006032,-0.002211,-0.017353,-0.019536,-0.02108,-0.023527,-0.012988,-0.000461,0.00671,0.016112,0.016525,0.023503,0.004366,0.013954,0.004907,0.012166,-0.001213,-0.012293,-0.016696,-0.011835,-0.022407,-0.019013,-0.025317,-0.043064,-0.031687,-0.031765,-0.024394,-0.033329,-0.025517,-0.030382,-0.01378,-0.018534,-0.010288,-0.015825,-0.016565,-0.00931,0.006465,-0.000785,0.011172,0.00386,0.010573,0.018425,1
0.181641,0.174057,0.009206,0.001944,-0.000329,-0.003573,-0.008525,-0.005259,-0.003863,-0.000536,-0.004857,-0.008634,-0.016481,-0.023452,-0.033813,-0.037136,-0.044099,-0.040897,-0.041519,-0.043843,-0.042017,-0.03449,-0.029685,-0.027041,-0.023985,-0.019364,-0.013944,-0.00945,-0.00352,0.003573,0.012066,0.017114,0.025236,0.026417,0.024016,0.021724,0.014632,0.011812,0.006349,0.00186,0.001458,-0.003745,-0.003499,-0.006244,-0.005906,-0.009393,-0.013587,-0.014705,-0.006861,0.003716,0.011864,1
0.142811,0.135198,0.002574,-0.005465,-0.009613,-0.017345,-0.016647,-0.018395,-0.02189,-0.0238,-0.029622,-0.029092,-0.024184,-0.02684,-0.032418,-0.023335,-0.029365,-0.026923,-0.026527,-0.024127,-0.020741,-0.009246,-0.007954,-0.000071,0.000956,-0.000191,0.000611,-0.002103,0.001459,0.004554,-0.002652,-0.004029,-0.003703,-0.008472,0.000638,-0.00128,-0.002528,0.00559,0.005168,0.009601,0.015554,0.011851,0.014124,0.022401,0.017773,0.013966,0.001995,0.010249,0.005021,-0.002913,0.00158,1
0.164216,0.16254,0.02182,0.019603,0.016067,0.022752,0.020579,0.016606,0.008576,0.008572,0.007723,0.006341,0.004976,0.00428,0.005519,0.004881,0.007475,0.004923,0.004138,0.005562,0.006854,0.00416,0.00043,-0.005488,-0.009171,-0.015378,-0.025586,-0.027438,-0.021523,-0.03458,-0.02936,-0.028595,-0.034772,-0.038602,-0.040132,-0.036287,-0.031285,-0.039772,-0.029304,-0.033282,-0.030355,-0.023187,-0.027666,-0.02335,-0.019936,-0.009989,0.000752,0.005876,0.007237,0.013902,0.026001,1
0.131573,0.122225,-0.02509,-0.031091,-0.038354,-0.035486,-0.037849,-0.042863,-0.053895,-0.047796,-0.056296,-0.057129,-0.06046,-0.050868,-0.04326,-0.048657,-0.04153,-0.040784,-0.033849,-0.02328,-0.023078,-0.017165,-0.00285,-0.000484,0.004778,-0.001623,-0.004883,0.003108,0.000599,0.005774,0.011139,0.016257,0.024529,0.033057,0.032823,0.029371,0.031383,0.042709,0.050169,0.053732,0.043383,0.040931,0.031805,0.025435,0.020115,0.012542,0.015961,0.006055,0.004252,0.003752,-0.004215,1
0.084976,0.079741,0.061852,0.055804,0.059497,0.073778,0.084578,0.074519,0.046092,0.04562,0.027797,0.010882,0.01115,0.009806,0.017143,0.018883,-0.02052,-0.048006,-0.0705,-0.083859,-0.090553,-0.100172,-0.103611,-0.103991,-0.109766,-0.111933,-0.104669,-0.102369,-0.099375,-0.080167,-0.0411,-0.020114,-0.016906,0.003522,-0.000288,0.013139,0.017813,0.020238,0.018481,0.030513,0.037158,0.03331,0.027536,0.040261,0.037097,0.037138,0.025058,0.031518,0.042598,0.052909,0.061022,2
0.199809,0.186463,0.019768,0.017608,0.004835,-0.004181,-0.009971,-0.015249,-0.008948,0.002792,-0.003041,-0.004501,-0.010516,0.000675,0.011307,0.01403,0.017833,0.025255,0.038732,0.031821,0.01764,0.005909,-0.013226,-0.021675,-0.026855,-0.04429,-0.056912,-0.066611,-0.079104,-0.090552,-0.098573,-0.087316,-0.069126,-0.054971,-0.043817,-0.040732,-0.035105,-0.028995,-0.020473,-0.013927,-0.00679,-0.001187,0.012787,0.006474,0.03247,0.046795,0.043601,0.042149,0.049478,0.046616,0.043172,2
