@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute target {1,2,3,4}

@data
0.059735,0.052291,0.05787,0.052173,0.042803,0.037456,0.032182,0.02897,0.019171,0.008829,0.000451,-0.005139,-0.008082,-0.010388,-0.020939,-0.023933,-0.011187,-0.00551,-0.002638,0.002684,0.006596,0.008956,0.016214,0.031078,0.033719,0.031939,0.033709,0.041962,0.05314,0.044502,-0.143724,-0.133014,-0.130073,-0.134007,-0.135419,2
0.023119,0.0279,0.026817,0.032488,0.038631,0.036463,0.034467,0.029919,0.028331,0.031043,0.033378,0.034337,0.035476,0.035636,0.031295,0.028447,0.029078,0.024723,0.012863,0.00924,0.010191,0.013693,0.018167,0.016084,0.008993,0.003187,0.00272,0.00285,0.009972,0.018668,-0.150954,-0.154984,-0.154148,-0.152131,-0.152421,3
0.083289,0.078289,0.072392,0.070672,0.058499,0.050041,0.04263,0.034613,0.022325,0.008818,0.002183,-0.004402,-0.007816,-0.012208,-0.017825,-0.020524,-0.020091,-0.022674,-0.024262,-0.016573,-0.007685,-0.005636,-0.00369,0.000254,0.009607,0.0206,0.030674,0.038089,0.051022,0.052929,-0.137231,-0.133802,-0.12314,-0.115412,-0.11657,4
0.017809,0.025617,0.028247,0.025488,0.027881,0.028564,0.027324,0.025819,0.02768,0.036022,0.040502,0.036306,0.035612,0.036481,0.034546,0.031805,0.028256,0.02899,0.026681,0.021715,0.021736,0.026585,0.027809,0.019951,0.008647,0.00322,0.003065,0.00173,0.00215,0.004162,-0.164078,-0.167556,-0.158832,-0.150371,-0.148496,3
0.02788,0.031127,0.031301,0.027103,0.020476,0.021424,0.020199,0.016813,0.014411,0.013931,0.011834,0.011595,0.010928,0.012403,0.012715,0.013328,0.015579,0.016603,0.017685,0.022,0.026848,0.030756,0.032733,0.030938,0.028582,0.027937,0.028057,0.029006,0.027639,0.026278,-0.147518,-0.146421,-0.145876,-0.145731,-0.145686,3
0.067498,0.065561,0.067553,0.059964,0.045732,0.03797,0.033841,0.021427,0.017006,0.012405,0.00207,-0.010028,-0.008057,-0.008042,-0.016526,-0.024897,-0.022499,-0.010567,-0.008286,-0.004824,-0.002303,0.00458,0.017192,0.0221,0.025856,0.03284,0.037844,0.046749,0.05316,0.056123,-0.137828,-0.133554,-0.137367,-0.133809,-0.136821,2
0.07595,0.064743,0.057122,0.062568,0.05815,0.046802,0.034948,0.027839,0.020838,0.008433,-0.002989,-0.008164,-0.0113,-0.012553,-0.015578,-0.019403,-0.020941,-0.021602,-0.018717,-0.00939,-0.005962,-0.001296,0.005402,0.017806,0.022191,0.027491,0.035655,0.04328,0.053422,0.059148,-0.126979,-0.123879,-0.132887,-0.129584,-0.124327,4
0.028037,0.027181,0.026639,0.027594,0.02853,0.023971,0.01837,0.015634,0.01443,0.015337,0.014341,0.011653,0.010783,0.009574,0.010553,0.015945,0.016122,0.016968,0.01932,0.02271,0.031712,0.035643,0.033953,0.032606,0.029221,0.024012,0.028444,0.027831,0.026951,0.026449,-0.150805,-0.14977,-0.146464,-0.146571,-0.151404,3
0.075174,0.061899,0.058087,0.054821,0.051716,0.042709,0.032652,0.025634,0.019915,0.007399,-0.000914,-0.005794,-0.00691,-0.011125,-0.016189,-0.019154,-0.018338,-0.014635,-0.010002,-0.006562,-0.002857,-0.00019,0.002941,0.016041,0.025452,0.028521,0.029671,0.039631,0.048179,0.051204,-0.135456,-0.131366,-0.123015,-0.117038,-0.11421,4
0.020711,0.022982,0.023902,0.025273,0.020149,0.020479,0.024747,0.025742,0.025362,0.025636,0.031675,0.032517,0.029743,0.028501,0.027919,0.03082,0.033391,0.030532,0.027466,0.025496,0.020055,0.015339,0.01164,0.014581,0.014551,0.009567,0.007692,0.008157,0.007274,0.007221,-0.15044,-0.148133,-0.145077,-0.139647,-0.137944,1
0.055079,0.053532,0.049285,0.040798,0.037894,0.03277,0.027352,0.021739,0.013416,0.009113,0.007107,0.004927,0.002876,-0.001116,-0.000724,-0.003564,-0.004363,-0.007484,-0.002256,0.001677,0.004662,0.006572,0.010105,0.016548,0.020968,0.029569,0.036453,0.044285,0.045502,0.049187,-0.136828,-0.134043,-0.132957,-0.131232,-0.133726,2
0.026111,0.023896,0.019992,0.023093,0.026278,0.024669,0.024037,0.028137,0.033047,0.031254,0.033602,0.041071,0.037639,0.03277,0.03495,0.028285,0.018704,0.017857,0.020019,0.020663,0.025412,0.026792,0.022706,0.01289,0.001111,-0.003796,-0.000927,0.003009,0.005015,0.005118,-0.147218,-0.146784,-0.143329,-0.141714,-0.135851,3
0.053972,0.047432,0.044037,0.0378,0.036538,0.028911,0.024892,0.022334,0.008398,0.002068,-0.000555,-0.000403,-0.004055,-0.006054,-0.007516,-0.009433,-0.003474,-0.001681,-0.000863,0.002892,0.008969,0.013374,0.017823,0.023469,0.032874,0.035333,0.040505,0.049783,0.049916,0.047354,-0.136594,-0.129162,-0.126403,-0.133947,-0.134607,2
0.067725,0.060346,0.05603,0.049191,0.041305,0.03216,0.025662,0.017505,0.009316,0.004368,-0.000911,-0.006659,-0.012858,-0.015253,-0.01699,-0.01693,-0.016628,-0.014948,-0.012775,-0.009228,-0.002676,0.003209,0.011242,0.017931,0.02257,0.035051,0.042539,0.051758,0.063737,0.067666,-0.130393,-0.127393,-0.119681,-0.118139,-0.119345,4
