@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute target {1,2,3,4,5,6,7}

@data
0.213287,0.214847,0.209191,0.218816,-0.01825,-0.04151,-0.093904,-0.129744,-0.144331,-0.150091,-0.138309,-0.109188,-0.070772,-0.045655,1
0.20798,0.221439,0.248357,0.282697,0.034731,-0.013471,-0.098369,-0.1239,-0.148171,-0.188442,-0.203787,-0.162073,-0.092152,-0.060885,4
0.194897,0.210778,0.201767,0.203056,-0.057246,-0.086573,-0.087621,-0.106369,-0.110888,-0.109355,-0.09444,-0.078629,-0.092162,-0.068265,6
0.010362,0.004704,0.015117,0.037796,-0.020415,0.020378,0.040026,0.073967,0.072111,0.028761,-0.033233,-0.08182,-0.07762,-0.096931,5
0.225355,0.196009,0.178061,0.181122,-0.057053,-0.060306,-0.053742,-0.071308,-0.164865,-0.181865,-0.122129,-0.061516,-0.051118,-0.0347,2
0.208431,0.227217,0.217985,0.216861,-0.044621,-0.064866,-0.075896,-0.125158,-0.130145,-0.131947,-0.125351,-0.10604,-0.085118,-0.0684,6
0.196045,0.219506,0.213198,0.221439,-0.045979,-0.067592,-0.110394,-0.124154,-0.123884,-0.117577,-0.105016,-0.086055,-0.085131,-0.069425,6
0.199299,0.193709,0.198258,0.206499,-0.021024,-0.075124,-0.119514,-0.130948,-0.132103,-0.125093,-0.105486,-0.081136,-0.053804,-0.033309,1
0.199523,0.217278,0.198403,0.176614,-0.048627,-0.049548,-0.024267,-0.048728,-0.058007,-0.11248,-0.168803,-0.16393,-0.121446,-0.075164,2
0.214793,0.219533,0.212402,0.202073,-0.080321,-0.101932,-0.107011,-0.111048,-0.117744,-0.121657,-0.095957,-0.073191,-0.067766,-0.057053,6
0.217076,0.197849,0.212151,0.195887,-0.057617,-0.089484,-0.112982,-0.110711,-0.113698,-0.105389,-0.090862,-0.078793,-0.0775,-0.068224,6
0.252277,0.235379,0.235734,0.227053,-0.067884,-0.12858,-0.165312,-0.17938,-0.187965,-0.181162,-0.11404,-0.044036,0.011266,0.011607,7
0.187405,0.216904,0.220597,0.212839,-0.042643,-0.062678,-0.085209,-0.119199,-0.125189,-0.126023,-0.117526,-0.09623,-0.077228,-0.069595,6
0.212447,0.159321,0.149444,0.148936,-0.148165,-0.152651,-0.126017,-0.124564,-0.088751,-0.059004,-0.0245,-0.002313,0.004349,-0.015547,7
0.239227,0.248595,0.272356,0.286668,0.013286,-0.084408,-0.189212,-0.227994,-0.239931,-0.193473,-0.125755,-0.045544,-0.025662,-0.032838,4
0.220954,0.208862,0.22115,0.202983,-0.06415,-0.08708,-0.105394,-0.110552,-0.127837,-0.10941,-0.108404,-0.096896,-0.069015,-0.060607,6
0.200129,0.206934,0.201979,0.196093,-0.052729,-0.051261,-0.058797,-0.087468,-0.119881,-0.129771,-0.128696,-0.115736,-0.085538,-0.055771,1
0.246043,0.238534,0.23354,0.227646,-0.03013,-0.125363,-0.217095,-0.244858,-0.223012,-0.186587,-0.096934,0.018673,0.047025,0.017942,4
0.212416,0.252102,0.290053,0.298484,0.047146,0.006954,-0.051975,-0.116263,-0.177269,-0.23846,-0.242646,-0.192325,-0.114738,-0.078784,4
0.199313,0.160348,0.161159,0.156774,-0.149172,-0.147904,-0.139624,-0.119802,-0.082232,-0.044209,-0.014687,-0.007779,-0.005172,-0.034771,7
0.198173,0.176283,0.181454,0.185691,-0.10164,-0.089015,-0.095322,-0.088295,-0.082388,-0.075483,-0.070569,-0.070849,-0.068461,-0.073739,6
0.226084,0.210414,0.22231,0.20664,-0.050377,-0.090468,-0.113452,-0.127588,-0.129533,-0.117018,-0.101394,-0.07849,-0.087239,-0.056434,6
0.285338,0.260188,0.239636,0.226464,-0.077366,-0.117817,-0.179735,-0.191678,-0.195494,-0.179657,-0.118342,-0.068463,-0.00475,0.020515,7
0.174137,0.154513,0.161394,0.158997,-0.141132,-0.133646,-0.110163,-0.103101,-0.070466,-0.064096,-0.01675,-0.005072,-0.009152,-0.060367,7
0.135911,0.147128,0.165529,0.173554,0.019463,-0.023173,-0.045553,-0.060541,-0.105929,-0.136184,-0.118618,-0.098958,-0.079863,-0.034976,5
0.264204,0.274333,0.298799,0.314516,0.036394,-0.080834,-0.177104,-0.22144,-0.243256,-0.23134,-0.161584,-0.11582,-0.061495,-0.010558,4
0.194922,0.178944,0.187855,0.22556,-0.029075,-0.060585,-0.102544,-0.126855,-0.131487,-0.126553,-0.099046,-0.079681,-0.053207,-0.056978,1
0.241927,0.226337,0.194288,0.192087,-0.064999,-0.060794,-0.080785,-0.090811,-0.110727,-0.129106,-0.167524,-0.13906,-0.074543,-0.021754,2
0.199867,0.189275,0.214037,0.203171,-0.042617,-0.069689,-0.092784,-0.103931,-0.131093,-0.138284,-0.118972,-0.085628,-0.060018,-0.043969,6
0.194783,0.158514,0.171699,0.175388,-0.105345,-0.125183,-0.12817,-0.126883,-0.09089,-0.061049,-0.037183,-0.025136,-0.025165,-0.045419,7
0.18948,0.197004,0.202325,0.200346,-0.077731,-0.121672,-0.099234,-0.073518,-0.076082,-0.079616,-0.094763,-0.091082,-0.078408,-0.075963,3
0.171958,0.176046,0.17954,0.175023,-0.125733,-0.140871,-0.129975,-0.1184,-0.069436,-0.049379,-0.026337,0.00472,-0.040885,-0.076529,7
0.204208,0.221171,0.234072,0.24774,-0.033927,-0.076313,-0.095454,-0.121044,-0.133086,-0.138447,-0.13318,-0.118696,-0.091909,-0.055854,1
0.251832,0.240198,0.203915,0.177149,-0.077966,-0.058427,-0.051873,-0.103338,-0.1313,-0.161337,-0.150947,-0.099389,-0.088657,-0.037171,2
0.214568,0.209876,0.217537,0.21709,-0.059969,-0.070774,-0.106893,-0.117683,-0.1267,-0.116247,-0.096405,-0.085797,-0.083333,-0.081177,6
0.250831,0.207427,0.164005,0.144412,-0.133113,-0.153518,-0.168071,-0.149968,-0.11841,-0.091595,-0.049231,-0.006575,0.012481,0.014657,7
