@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute target {1,2,3,4}

@data
0.145553,-0.063879,-0.146397,-0.129379,-0.140225,-0.101901,-0.105018,-0.105489,-0.104394,-0.078876,-0.070494,-0.066092,-0.04872,-0.052295,-0.041829,-0.049871,-0.032214,0.001363,-0.026257,0.003007,0.003192,0.029416,0.030078,0.030636,0.182847,0.307483,0.368389,0.389225,1
-0.087849,-0.074364,-0.070591,-0.069644,-0.03928,-0.054128,-0.043612,-0.02932,-0.010438,0.002477,0.020758,0.001957,0.037511,0.028297,0.061704,0.071537,0.079992,0.081127,0.115439,0.100394,0.10887,0.127869,0.120263,0.05985,-0.059523,-0.157059,-0.18595,-0.189509,2
-0.112758,-0.111,-0.08922,-0.085344,-0.061315,-0.053137,-0.03696,-0.044581,-0.046809,-0.033395,-0.008994,-0.005204,0.006671,0.011996,0.009656,0.01308,0.023768,0.045582,0.061543,0.061113,0.047542,0.061822,0.068131,0.045217,0.034222,0.079945,0.071912,0.077384,4
-0.083697,-0.097176,-0.073373,-0.054373,-0.02981,-0.02375,-0.005576,-0.003017,-0.002374,-0.021834,-0.036826,-0.036424,-0.025092,-0.014418,-0.036238,-0.029057,-0.028067,-0.004074,0.027593,0.041567,0.067788,0.085749,0.079035,0.064873,0.050919,0.065939,0.070264,0.085163,3
-0.034804,0.007656,0.015536,0.011161,0.025488,0.08286,0.217612,0.339889,0.377257,0.388692,0.343369,-0.092639,-0.157516,-0.147973,-0.128274,-0.103768,-0.124352,-0.107982,-0.118517,-0.092565,-0.08994,-0.071062,-0.070801,-0.111584,-0.121273,-0.1188,-0.084581,-0.085235,1
-0.090219,-0.065249,-0.059313,-0.06886,-0.054119,-0.032803,-0.035213,-0.018784,-0.012923,-0.008967,0.002101,-0.007008,0.013574,0.02836,0.01209,0.0148,0.029325,0.023552,0.02454,0.045314,0.053745,0.060529,0.075264,-0.012896,0.011313,0.013899,0.021231,0.044522,4
-0.085435,-0.075966,-0.066954,-0.073011,-0.066239,-0.072291,-0.052141,-0.054532,-0.044983,-0.038771,-0.028924,-0.04144,-0.020595,0.002184,0.026048,0.023138,0.039494,0.042362,0.061429,0.056424,0.071283,0.09006,0.099502,0.037564,0.030157,0.05194,0.05432,0.058638,4
-0.123601,-0.141114,-0.147486,-0.146993,-0.137184,-0.123606,-0.104818,-0.085855,-0.081928,-0.078078,-0.049666,-0.063203,-0.063135,-0.043241,-0.032809,-0.026452,0.001759,0.004624,0.023945,0.033103,0.04259,0.206716,0.331484,0.353138,0.362484,0.301088,0.048261,-0.170584,1
0.036822,0.143563,0.237322,0.313233,0.34034,0.328635,0.275293,0.19558,0.095164,-0.113348,-0.153189,-0.156219,-0.146694,-0.11962,-0.12401,-0.11897,-0.10774,-0.10723,-0.093543,-0.104608,-0.070841,-0.060679,-0.056147,-0.112812,-0.096283,-0.106069,-0.091866,-0.074208,1
-0.081222,-0.074789,-0.064918,-0.05361,-0.061744,-0.043983,-0.041579,-0.041437,-0.031936,-0.028972,-0.018929,-0.031742,-0.003324,-0.013813,0.001635,0.011347,0.042045,0.021321,0.042559,0.056612,0.061564,0.075851,0.100489,0.034464,0.030766,0.037356,0.04472,0.051108,4
-0.117147,-0.09892,-0.106211,-0.099422,-0.084621,-0.082227,-0.085736,-0.054516,-0.044769,-0.031634,-0.024035,-0.004052,-0.003407,0.010551,0.013152,0.037434,0.025494,0.068986,0.07881,0.079849,0.087631,0.081538,0.112613,0.050614,0.025843,0.058369,0.061322,0.071227,4
-0.11208,-0.08202,-0.08746,-0.091685,-0.084482,-0.083182,-0.060912,-0.06117,-0.041382,-0.044028,-0.017884,-0.010808,0.002157,0.012725,0.007399,0.028367,0.032697,0.051174,0.04819,0.067579,0.07568,0.08233,0.0866,0.032222,0.061319,0.07476,0.074661,0.070591,4
-0.117883,-0.128586,-0.074705,-0.078782,-0.065325,-0.063025,-0.066454,-0.037124,-0.031548,-0.00851,0.001406,-0.015963,0.012864,-0.001975,0.01488,0.022885,0.025488,0.030745,0.028192,0.039833,0.049299,0.077324,0.080738,0.03977,0.070613,0.04871,0.07756,0.1036,4
-0.056985,-0.045271,-0.040709,-0.011389,-0.027331,-0.011062,-0.020941,-0.0163,-0.022465,-0.035165,-0.032341,-0.045599,-0.036701,-0.024552,-0.02702,-0.018137,-0.017462,0.011555,0.043991,0.04965,0.045233,0.065925,0.081624,0.022951,0.007572,0.040029,0.060376,0.081798,3
-0.136359,-0.100303,-0.092798,-0.090717,-0.072714,-0.053243,-0.049391,-0.029477,-0.039165,-0.017995,-0.00548,-0.018625,0.008008,-0.00197,0.0163,0.016892,0.049142,0.036989,0.048705,0.060566,0.061972,0.08202,0.080917,0.039161,0.037439,0.058711,0.059608,0.079223,4
-0.10297,-0.059202,-0.054291,-0.058322,-0.044797,-0.027525,-0.044285,-0.009821,-0.011824,0.008767,-0.003001,0.038227,0.064149,0.179672,0.315076,0.367379,0.3747,0.317128,0.089177,-0.097348,-0.137844,-0.128413,-0.140002,-0.222859,-0.19405,-0.182244,-0.159544,-0.168671,1
-0.058081,-0.05306,-0.039794,-0.051649,-0.050033,-0.054661,-0.047533,-0.050172,-0.055742,-0.048602,-0.057964,-0.052493,-0.043867,-0.02633,-0.006425,0.019823,0.042549,0.041347,0.064674,0.087443,0.073595,0.083777,0.090735,0.023482,0.016564,0.040461,0.054424,0.078917,3
0.020197,0.037095,0.045795,0.069631,0.076395,0.110986,0.087018,0.099531,0.095514,0.131915,0.133233,0.099883,0.003847,-0.082104,-0.098411,-0.097286,-0.085965,-0.07581,-0.063582,-0.053869,-0.044984,-0.041579,-0.023838,-0.091461,-0.082894,-0.098378,-0.060899,-0.048161,2
-0.101074,-0.086861,-0.100687,-0.088373,-0.072931,-0.071976,-0.054227,-0.049818,-0.055339,-0.028024,-0.034177,-0.020481,-0.008462,0.005044,0.027743,0.030564,0.04117,0.030219,0.039742,0.058961,0.093239,0.07929,0.099541,0.035131,0.068413,0.049738,0.070528,0.072764,4
-0.088543,-0.084181,-0.083729,-0.071003,-0.05674,-0.050478,-0.039209,-0.056566,-0.032618,-0.02226,-0.022131,-0.018778,-0.002532,-0.01537,0.004286,0.015646,0.032331,0.046745,0.034532,0.067529,0.076286,0.070974,0.079824,0.028849,0.039007,0.032374,0.06419,0.075563,4
-0.078914,-0.085182,-0.065067,-0.072136,-0.056778,-0.039261,-0.053557,-0.049202,-0.051064,-0.044039,-0.013152,-0.018039,-0.011855,0.016175,0.020182,0.009685,0.023763,0.050417,0.076831,0.075888,0.067227,0.083861,0.065038,0.016545,0.021447,0.039583,0.041032,0.047146,4
-0.109052,-0.084493,-0.073244,-0.057791,-0.073931,-0.048865,-0.063896,-0.034925,-0.022492,-0.015282,-0.003736,0.009664,0.018617,0.031909,0.017965,0.040316,0.047703,0.048019,0.048926,0.051955,0.066042,0.053219,0.062259,-0.012082,0.02424,0.025803,0.012122,0.051155,4
-0.133709,-0.101586,-0.102437,-0.082955,-0.054022,-0.030474,-0.011208,0.012814,0.039321,0.049387,0.049461,0.030016,0.016336,0.034417,0.023501,-0.013447,0.002484,-0.007714,-0.025748,0.001398,0.011251,0.033505,0.050219,0.023105,0.031875,0.043005,0.064372,0.070077,3
0.125089,0.018997,-0.106549,-0.081247,-0.106277,-0.095799,-0.090492,-0.074178,-0.057234,-0.041887,-0.059649,-0.042206,-0.00892,-0.008321,-0.006986,0.025699,0.031843,0.02216,0.044311,0.039388,0.062711,0.077781,0.074917,0.048946,0.030116,0.054779,0.064251,0.087295,2
-0.009879,-0.005263,0.010678,0.019864,0.057428,0.188216,0.327177,0.376167,0.36046,0.356423,0.111655,-0.077358,-0.150307,-0.13482,-0.130143,-0.121745,-0.115835,-0.112711,-0.122111,-0.098886,-0.091619,-0.075955,-0.059841,-0.125624,-0.122915,-0.113359,-0.096732,-0.098701,1
-0.056791,-0.048744,-0.043902,-0.013596,-0.023141,0.004612,0.018641,0.028137,0.034308,0.010904,0.032803,0.044634,0.069139,0.070454,0.091797,0.096638,0.080351,0.110928,0.09681,0.13952,0.124021,0.018657,-0.096395,-0.182015,-0.17973,-0.164662,-0.18497,-0.166161,2
-0.095439,-0.094021,-0.097101,-0.095601,-0.087894,-0.066661,-0.069273,-0.054292,-0.04594,-0.02921,-0.02919,-0.011365,-0.025237,0.001886,0.019292,0.021828,0.042249,0.049046,0.042752,0.075516,0.08384,0.112648,0.095513,0.028708,0.070507,0.048845,0.060762,0.076349,4
-0.107972,-0.087167,-0.08956,-0.063105,-0.067915,-0.026917,-0.037604,-0.027935,-0.01589,0.002725,-0.028648,0.003404,0.021624,0.010932,0.017399,0.034136,0.035754,0.044409,0.037774,0.045625,0.058756,0.058704,0.070255,0.010099,0.013486,0.008584,0.046937,0.044471,4
-0.032612,-0.016488,-0.029462,0.013018,-0.015612,0.038359,0.033381,0.065466,0.034685,0.049007,0.052703,0.056853,0.088554,0.09516,0.118802,0.117956,0.116301,0.130963,0.108472,-0.011908,-0.102481,-0.125134,-0.103622,-0.171561,-0.171644,-0.150612,-0.140971,-0.123393,2
