@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute target {1,2}

@data
-0.015789,-0.021101,-0.022212,-0.028142,0.144715,0.128862,0.108842,0.086422,0.073468,0.062507,0.044978,0.040223,0.040675,0.07229,0.104132,0.102773,0.028763,-0.062231,-0.126639,-0.163598,-0.190955,-0.199335,-0.199924,1
-0.01744,-0.022712,-0.02403,-0.030372,0.142663,0.127395,0.107507,0.084855,0.071899,0.061796,0.044852,0.040096,0.041726,0.07507,0.108051,0.10719,0.032303,-0.059844,-0.125534,-0.163272,-0.19136,-0.20024,-0.201146,1
-0.018179,-0.023502,-0.024409,-0.030103,0.142904,0.12702,0.107052,0.084723,0.071835,0.061578,0.044877,0.040385,0.042018,0.075828,0.109321,0.108277,0.032897,-0.05982,-0.12567,-0.163383,-0.191747,-0.200778,-0.201504,1
-0.01604,-0.022458,-0.024175,-0.029775,0.143126,0.128782,0.109178,0.08746,0.07514,0.064978,0.047127,0.041191,0.039977,0.069564,0.098836,0.097397,0.026443,-0.061148,-0.123604,-0.1598,-0.187723,-0.197031,-0.1982,1
-0.015699,-0.021949,-0.023746,-0.029425,0.14272,0.128476,0.109559,0.087855,0.075453,0.065118,0.047144,0.041078,0.039415,0.069072,0.098505,0.096617,0.025935,-0.061328,-0.123518,-0.15969,-0.18773,-0.196717,-0.198065,1
-0.015518,-0.022243,-0.023995,-0.029497,0.142872,0.128212,0.109517,0.088401,0.076027,0.065715,0.047065,0.040699,0.039443,0.069167,0.098174,0.09656,0.025949,-0.06152,-0.123613,-0.159435,-0.187679,-0.197139,-0.198036,1
-0.027026,-0.030482,-0.030035,-0.033897,0.137636,0.123504,0.105169,0.08281,0.072345,0.064161,0.046497,0.043411,0.046005,0.082988,0.11702,0.115723,0.038492,-0.056984,-0.124377,-0.163641,-0.193827,-0.202011,-0.20134,1
-0.027152,-0.030449,-0.029838,-0.033948,0.13802,0.123561,0.104939,0.083094,0.07253,0.064204,0.046522,0.043746,0.046119,0.082512,0.116712,0.115369,0.038419,-0.056884,-0.124434,-0.163737,-0.193953,-0.201966,-0.201249,1
-0.026746,-0.030283,-0.029755,-0.033861,0.137905,0.123952,0.105527,0.083613,0.072656,0.064607,0.046942,0.043633,0.045287,0.08169,0.116528,0.11532,0.037819,-0.057661,-0.124698,-0.163605,-0.193792,-0.201976,-0.201037,1
-0.021878,-0.026615,-0.026901,-0.031638,0.141076,0.126926,0.108061,0.08659,0.074507,0.064356,0.047377,0.04293,0.043559,0.076349,0.10833,0.106579,0.03188,-0.060067,-0.125467,-0.162974,-0.191362,-0.200435,-0.20048,1
-0.021537,-0.026519,-0.026969,-0.031869,0.140514,0.126634,0.108037,0.086206,0.074122,0.064329,0.047125,0.042588,0.043262,0.075919,0.108082,0.106599,0.031942,-0.05965,-0.124919,-0.162607,-0.190727,-0.199756,-0.200115,1
-0.02193,-0.026541,-0.027276,-0.032051,0.140786,0.126959,0.107925,0.086018,0.074391,0.064739,0.047366,0.042653,0.043236,0.075917,0.107925,0.106668,0.032328,-0.05952,-0.124927,-0.162681,-0.190963,-0.199941,-0.2003,1
-0.024167,-0.028336,-0.02809,-0.032627,0.139407,0.124123,0.104388,0.082361,0.071392,0.061907,0.045004,0.041903,0.044555,0.081057,0.116121,0.115492,0.038306,-0.056996,-0.124786,-0.163671,-0.192846,-0.201567,-0.201612,1
-0.024128,-0.028175,-0.028011,-0.033163,0.138748,0.124177,0.104615,0.082265,0.070842,0.061668,0.044939,0.042241,0.045254,0.08114,0.116172,0.115768,0.038778,-0.056694,-0.12487,-0.163904,-0.19282,-0.20168,-0.201814,1
-0.023294,-0.027876,-0.02808,-0.032784,0.139492,0.124553,0.1048,0.082481,0.071727,0.062053,0.044639,0.041669,0.044324,0.080276,0.115284,0.114879,0.037754,-0.057054,-0.124549,-0.163607,-0.19263,-0.201494,-0.201359,1
-0.022869,-0.026851,-0.026811,-0.031484,0.140209,0.126487,0.107981,0.086034,0.074904,0.06583,0.047906,0.042721,0.042497,0.075843,0.107579,0.105925,0.031635,-0.060266,-0.125392,-0.162805,-0.190787,-0.199011,-0.198475,1
-0.022797,-0.026978,-0.026978,-0.031564,0.13981,0.126194,0.107846,0.085972,0.074499,0.06557,0.047535,0.042758,0.042936,0.076374,0.108025,0.106462,0.03182,-0.060232,-0.125187,-0.162374,-0.1909,-0.199248,-0.198713,1
-0.02202,-0.026013,-0.026257,-0.031024,0.141356,0.127194,0.10846,0.08641,0.075295,0.066153,0.047419,0.042265,0.04213,0.075161,0.106533,0.104965,0.030657,-0.061219,-0.12607,-0.163089,-0.1911,-0.198943,-0.197733,1
-0.021684,-0.026048,-0.025928,-0.029491,0.140705,0.127405,0.109657,0.088517,0.07786,0.067906,0.048088,0.042539,0.040513,0.071342,0.099616,0.097854,0.026685,-0.061704,-0.123625,-0.159826,-0.188673,-0.195939,-0.195455,1
-0.020202,-0.024286,-0.024286,-0.028169,0.141937,0.128549,0.110492,0.088781,0.076538,0.06632,0.046634,0.040865,0.039544,0.070592,0.099174,0.097148,0.02598,-0.062012,-0.123932,-0.159957,-0.18845,-0.196113,-0.195453,1
-0.020795,-0.025014,-0.025296,-0.029033,0.142053,0.128794,0.110805,0.089368,0.078142,0.068551,0.048352,0.04181,0.039556,0.070495,0.099401,0.096882,0.025368,-0.062809,-0.124731,-0.160665,-0.188731,-0.19651,-0.19598,1
-0.024405,-0.027906,-0.02815,-0.032831,0.139028,0.124565,0.106028,0.084804,0.072938,0.063446,0.045983,0.042177,0.043879,0.07952,0.114043,0.11252,0.035908,-0.058256,-0.12533,-0.163793,-0.192628,-0.200598,-0.199613,1
-0.024535,-0.028318,-0.028359,-0.032672,0.139066,0.124388,0.105905,0.084961,0.073102,0.063659,0.04634,0.042626,0.044281,0.079233,0.113379,0.112483,0.036181,-0.058424,-0.125507,-0.16386,-0.192501,-0.200467,-0.199572,1
