@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute target {1,2}

@data
1.246789,-1.355847,-1.239553,-0.590368,-1.372095,-1.862034,-1.573453,-0.046981,0.377336,0.333325,0.825641,1.478457,2.125389,2.364025,1.869579,0.097238,0.637879,0.547054,0.166781,1.666987,1.625516,2.161379,2.239484,1.814685,0.541513,-0.138859,-0.740413,-1.665759,-1.849324,-1.382527,-0.918437,-0.582667,-0.544084,-1.19165,-1.328976,0.721904,1.21352,-0.101851,-0.876906,-0.609691,-0.527187,0.977108,0.863018,-0.036102,-0.143509,0.934264,-0.544084,-0.701097,-1.04284,0.093149,0.280202,1.28667,1
0.825876,0.818073,-0.185056,-1.727607,-1.417309,2.262333,0.402427,-0.930685,-0.617119,0.307906,-0.844249,0.569179,0.598471,2.281621,2.256412,-0.892018,-1.373291,-1.63297,-0.769034,0.917122,-0.250933,-0.286935,-0.725708,-0.78026,-1.14096,-1.613854,-1.614793,-0.090935,0.320728,2.196197,-1.094083,-0.654063,0.10695,-0.340782,-0.224743,-0.31737,0.081499,-0.685119,-1.162502,2.031966,2.119886,0.337881,-0.220936,-1.640096,-1.683861,-1.421608,-0.899533,-0.882433,-0.377752,-0.410369,-0.093108,0.755256,1
2.13283,-1.433771,0.525879,0.396532,-1.738619,-1.704763,-1.301945,-0.826589,0.143826,-0.151244,-0.990718,-1.659307,-0.559025,0.932326,1.87437,1.817147,0.945116,0.564069,-0.325369,0.690079,0.903172,0.804872,0.641499,-0.329055,-0.205349,0.580689,0.933761,1.771765,1.883144,0.830737,-0.435809,-1.661152,-1.677185,-0.116375,0.17415,-0.872731,-1.792686,-1.70867,0.530756,-1.346878,-1.416515,-1.171426,2.167464,-0.578327,-0.737412,-0.557596,-0.574322,-0.757284,-0.528939,-0.73165,-0.231936,2.149849,1
0.874412,0.944243,0.352022,0.229836,-1.051354,-1.063345,-1.559669,-1.553146,0.889033,1.617084,1.801122,1.102953,0.874168,0.009481,-0.513392,-1.419987,-1.504423,-1.325125,-1.573635,-0.427345,-0.142191,0.245553,0.214347,0.998911,1.033169,1.548075,1.537409,1.187623,-1.41874,-1.699096,-1.611043,-0.867118,1.187623,1.226288,-0.584995,-1.309371,-1.386826,0.44809,2.015759,-0.32242,-0.056628,0.496766,0.859755,-0.294493,0.600465,1.984126,2.147962,-1.218729,-0.755556,-0.74934,-0.135024,0.801962,1
0.972615,1.164712,-0.404975,1.101844,2.343362,1.995985,0.982511,-1.13015,0.340167,-1.131515,0.532909,1.897256,2.252364,0.866427,0.842161,-0.313859,0.85273,1.160034,-0.208901,-0.210969,-2.079916,-2.25667,-0.205547,0.059278,0.637369,0.517624,1.412504,0.98225,0.891838,-1.406562,-0.873488,0.189706,-0.145504,0.957892,0.965719,-0.296908,1.052487,0.779766,-0.139585,0.223904,-0.956783,-1.343474,-0.155927,1.448558,0.514156,0.64531,-0.237489,-2.197519,-2.079916,-1.431696,-0.182151,0.838184,1
0.67385,0.75819,-0.980379,0.69735,2.117429,1.474074,1.517203,0.782557,-0.026221,-0.254574,-1.13519,-0.537759,-1.307974,0.493193,0.572558,1.41134,2.042859,0.590333,-1.022165,-0.355642,0.056191,0.103507,0.717281,-0.58081,-1.638685,-2.029764,1.568453,1.932196,1.886778,1.365236,1.368707,-0.454417,-0.88622,-0.272918,0.421122,0.314995,-0.102699,0.258663,0.093965,0.289568,0.171747,0.466028,-0.1722,-0.878372,1.366857,2.08077,0.53624,0.488724,-1.892168,-1.349044,-0.473155,0.58378,1
2.01273,1.269634,-0.062369,-1.248771,-0.618714,-1.222638,-0.033851,1.214373,1.981089,0.468363,-0.947637,-0.785321,-0.025743,-0.023255,0.6636,0.632939,-0.585623,-1.886581,-1.995358,-0.960861,0.218665,1.944977,1.300848,1.275894,-0.533737,-0.828925,-0.88889,0.436567,0.123926,0.251299,0.092945,0.276181,0.147823,0.441285,-0.165719,-0.915667,-0.629823,1.247323,2.029091,0.518202,0.275894,-0.735423,-1.956681,-1.607129,-1.080577,-0.584527,0.609536,-0.00493,-1.022824,-1.015215,0.704503,1.935148,1
0.631517,0.547606,-0.328533,-0.779685,-1.39065,-1.447209,-0.489642,2.241912,1.52,-0.891856,-1.496269,-1.323384,-1.553953,0.222933,1.993359,1.942698,0.470845,-0.615574,-1.357708,-1.537224,-1.14771,-0.904207,-0.632402,0.721379,0.603808,-0.478784,-0.945519,-1.049815,-0.757712,2.01553,2.010871,1.693713,-0.539011,-0.379701,0.271455,0.28713,-0.065351,-0.06322,0.235344,0.143328,-0.065351,0.274038,-0.361939,-0.494268,0.753429,1.746838,2.042245,-0.853289,-1.012322,-0.817452,-0.397301,0.574119,1
2.096184,2.021581,0.042045,-1.604823,-1.408802,-1.583995,-0.036377,1.820382,1.920481,0.127091,-1.262944,-1.511691,-0.948421,0.691913,0.590973,-0.47059,-0.88526,-0.968558,-0.730314,2.062633,1.969827,-0.483918,-0.327337,0.321273,0.312696,0.014128,0.046787,0.324405,0.201065,-0.014935,0.073537,0.347712,-0.279316,-0.459973,0.876826,1.843513,2.066609,-0.921828,-0.913341,-0.787892,-0.534584,-0.464747,0.442955,0.581225,0.165907,-0.892717,-1.121389,-1.400567,-1.50672,-0.487929,0.183313,2.028446,1
1.790156,1.734943,-0.516199,0.541063,0.763436,0.547701,-0.53013,1.758727,1.855003,1.63711,0.816382,-0.564675,-1.072725,-1.602267,-1.718656,-1.394087,-1.015031,0.066183,-0.903065,-1.578975,0.381716,0.722763,-0.78893,-1.077494,-0.492212,2.148284,1.69593,-0.266664,-0.132663,-0.359055,-0.342991,-0.104019,-0.301281,1.761939,2.318975,1.683879,-0.108361,-1.132237,-0.777956,0.113361,0.689248,0.158154,-1.555514,-1.582217,-0.948155,-0.043047,-0.967837,-1.443313,-1.793997,-1.52847,-1.164835,1.70553,1
