@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute target {1,2}

@data
1.761381,0.641997,0.684936,0.520205,0.256484,-0.349973,-1.664593,-1.894977,-1.840176,-0.777667,-0.404725,-0.356281,-0.217765,-0.072913,0.361648,0.289955,0.56025,0.525862,0.274945,0.265502,-0.318473,-0.689041,-0.816222,-0.925172,-1.530437,-1.52685,-1.281024,-0.619127,0.095161,1.728422,1.866976,1.632447,1.007631,0.840441,0.857201,1.654452,1.691683,-0.045006,-0.917518,-1.133494,-1.296833,-1.347736,-1.161531,-0.591448,-0.259934,1.075847,1.292694,1.441593,1.303328,1.381617,1.694978,1.756716,1
0.391573,-0.043022,0.457607,0.405447,0.356286,-0.162636,-0.16674,-0.813234,-0.856696,-0.676733,-0.658955,-0.423542,0.351563,0.977912,1.376271,1.560256,1.495101,1.534173,1.433876,1.198675,0.444045,0.028347,-1.415163,-1.848738,-1.875652,-1.784081,-1.500271,-1.268013,-0.515644,0.071612,0.513097,1.749397,1.84475,1.568767,1.259912,0.718294,0.095189,-0.017388,-0.225235,-0.524609,-0.724408,-0.979768,-1.087374,-1.106891,-1.004574,-0.491775,-0.521564,-0.444492,-0.221627,-0.05161,0.130372,0.350231,1
0.524841,0.373244,-0.06734,-0.54654,-0.527939,-0.214042,0.213519,0.186123,-0.001264,-0.157967,-0.134513,-0.480507,-0.49989,-0.24891,0.051718,0.066175,0.232157,0.409631,0.623106,1.277208,1.615463,1.681717,1.688741,0.68125,-0.356725,-0.58501,-1.029174,-1.357077,-1.650118,-1.824632,-1.669096,-1.034112,-0.13338,0.86969,1.909232,1.88841,1.812677,1.846335,1.67338,1.671293,1.575058,0.728597,0.578907,0.270727,-0.915722,-1.171529,-1.175074,-1.020155,-0.811801,-0.790242,-0.538623,0.485812,1
1.656103,0.626326,0.221891,0.146441,-0.636174,-0.894992,-0.982263,-1.036535,-0.976665,-0.893138,-0.544769,-0.036324,0.544658,0.556392,0.402241,-0.271752,-0.552432,-0.545566,-0.236785,0.198042,0.154662,-0.046534,-0.156387,-0.370014,-0.502263,-0.552911,-0.601678,-0.305129,-0.136466,0.948606,1.101968,1.242615,1.431432,1.420667,1.276993,0.546433,-0.245733,-0.836809,-1.524965,-1.749861,-1.897975,-1.956735,-1.696319,-1.067557,-0.228288,0.683973,1.85469,1.887857,1.82236,1.835743,1.666665,1.67257,1
1.625606,1.7459,1.649925,0.380872,-0.720675,-1.052899,-0.755231,-0.509541,-0.100131,0.078044,0.387223,0.413743,0.314959,0.438805,0.46739,0.66439,0.124008,-0.032647,-0.617808,-1.033782,-1.31265,-1.147688,-1.065238,-1.081572,-0.993186,-0.852189,-0.755231,-0.311323,0.315391,1.630782,1.602073,1.631391,1.719412,1.665359,1.769875,1.367223,0.82078,-0.559416,-1.44767,-1.863848,-1.918135,-1.672241,-1.31175,-1.231012,-0.928902,-0.679695,0.104131,0.427132,0.742871,0.858192,1.013026,1.574404,1
1.779018,1.113493,1.177946,1.062482,0.241769,-0.798527,-1.472963,-1.467651,-1.564013,-1.677089,0.156752,0.473171,0.912949,0.852107,1.031886,0.707287,0.76268,0.536378,0.547415,0.268286,0.193682,-0.034772,-0.25431,-0.511858,-0.618827,-0.627733,-0.783058,-0.898362,-0.880625,-0.738005,-0.743768,-0.309417,-0.342909,1.428239,1.107546,-0.000373,-0.94217,-1.106875,-1.216587,-1.180473,-1.389043,-1.325693,-1.381994,-1.292041,-1.358053,-1.176903,-0.638735,-0.159867,1.033503,1.587642,1.907215,1.747886,1
1.764168,1.642697,1.62037,1.415579,1.077035,0.821514,0.443624,-0.224538,-1.020483,-1.256714,-1.178314,-0.988354,-0.38081,0.282249,0.118443,0.128003,0.312427,0.26491,0.074128,0.044706,-0.054078,-0.075589,0.020944,-0.143131,-0.245776,-0.481053,-0.773018,-1.079663,-1.082261,-0.892747,-0.478414,0.539556,1.541797,1.585563,0.948957,1.212264,1.17818,-0.33041,-1.04674,-1.519237,-1.658098,-1.721427,-1.638134,-1.492366,-1.066617,-0.05053,1.050433,1.494623,1.674553,1.903024,1.939161,1.799564,1
1.4463,0.457808,0.320506,0.079511,-0.199032,-0.434906,-0.631887,-0.720829,-0.904767,0.105654,-0.222142,-0.35678,-0.394505,-0.322151,-0.619808,-0.627579,-0.707793,-0.6573,-0.675669,-0.591815,-0.563387,-0.451306,-0.26376,-0.251201,-0.105164,0.088863,0.405507,1.490668,1.762523,1.833933,1.961362,1.899017,1.316695,1.260348,0.837311,-0.680077,-1.178133,-1.807886,-1.950928,-2.005326,-1.99251,-1.916649,-1.518465,-0.642388,0.288497,0.683241,1.406161,1.497523,1.475998,1.549347,1.46365,1.460659,1
1.568474,0.65101,0.366418,0.130159,-0.080303,-0.442618,-0.498248,-0.575994,-0.696743,-0.655728,-0.785667,-0.783827,-0.741957,-0.565817,-0.33441,-0.243067,0.013064,-0.168223,-0.017153,-0.368987,-0.676352,-0.868403,-0.749401,-0.77122,-0.614433,0.188983,1.552314,1.7908,1.78488,1.870827,1.818495,1.548186,1.515867,1.293596,1.251513,0.88705,-0.414713,-0.806025,-1.365771,-1.751148,-1.885115,-1.903831,-1.73034,-1.164141,-0.361576,0.65101,0.987572,1.514054,1.606991,1.626592,1.569212,1.583941,1
1.513432,0.745076,0.320706,0.084291,-0.447249,-0.50847,-0.638045,-0.694077,-0.930393,-0.955396,-0.360206,0.343694,-0.065903,-0.332921,-0.363162,-0.296873,-0.316695,-0.473887,-0.495022,-0.84437,-1.025836,-1.05369,-0.982447,-1.072712,-0.671681,0.993817,1.53671,1.610225,1.647218,1.802032,1.798906,1.919698,1.948765,1.820409,1.180975,1.160273,-0.308622,-0.704873,-1.254495,-1.569375,-1.722059,-1.737571,-1.722059,-1.568114,-1.044257,-0.696035,0.589254,1.1478,1.584061,1.689055,1.561864,1.514149,1
