@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute target {1,2,3,4}

@data
1.8553,1.741188,0.255235,-0.772525,-1.259965,-1.397844,-1.363172,-1.407034,-1.282994,-1.264087,-1.168796,-1.064989,-0.946856,-0.495597,0.424294,0.777597,0.875121,1.624979,1.621507,1.772013,1.698756,0.970968,0.881696,0.467513,-0.227341,-0.822493,-0.939693,-1.283179,-1.272642,-1.333515,-1.304558,-1.153498,-0.66987,0.219096,1.651352,1.807222,2
1.554111,1.528698,1.19854,-0.160875,-0.717059,-1.181452,-1.160674,-1.295532,-1.348459,-1.249106,-1.009851,-1.020044,-0.827747,-0.811287,-0.292409,1.499855,1.622627,1.619197,1.524066,1.452139,-0.289244,-0.887026,-1.007902,-1.15487,-1.111071,-1.23095,-1.150426,-1.051096,-1.10138,-0.97782,-0.998254,-0.655616,-0.015447,1.162726,1.525709,1.522082,3
1.931942,1.925727,1.170913,0.620397,-0.249092,-0.782326,-1.096786,-1.074688,-1.1916,-1.226255,-1.180861,-1.050317,-1.07283,-0.951393,-0.856239,-0.560434,0.901735,1.917407,1.929452,1.084722,0.261266,-0.46252,-0.707717,-1.056218,-1.047399,-1.144018,-1.11792,-1.2261,-1.077851,-1.093765,-0.777324,-0.2433,0.332253,1.101248,1.815641,1.815641,4
1.515408,1.513177,1.334742,-0.335533,-0.816775,-1.16135,-1.123138,-1.297472,-1.255249,-1.125211,-1.159163,-1.002438,-0.638273,-0.101728,1.505007,1.598615,1.606313,1.516749,1.457347,0.881901,-0.089128,-0.403387,-0.860999,-0.89108,-1.105906,-1.079389,-1.190279,-1.172193,-1.250793,-1.028463,-0.625625,0.200205,0.834615,1.432235,1.512582,1.490778,3
1.588,1.587613,1.506908,1.472917,0.137693,-0.488904,-1.030844,-1.201986,-1.221887,-1.372325,-1.410177,-1.380356,-1.289356,-1.152187,-0.799931,-0.785031,0.305286,1.420919,1.58354,1.640712,1.631482,1.551072,0.127811,-0.70078,-0.992696,-1.000261,-1.273385,-1.371872,-1.410126,-1.391959,-1.312514,-0.904935,0.119954,1.231629,1.568054,1.580029,3
1.881964,1.84473,0.037727,-0.880045,-1.158377,-1.338551,-1.392287,-1.267907,-1.182317,-1.103672,-0.99894,-0.84114,-0.722712,0.595817,0.746135,0.804432,0.909631,1.747021,1.709916,0.951212,0.924241,0.793232,0.777131,-0.110786,-0.641775,-1.020377,-1.122769,-1.347432,-1.323589,-1.366772,-1.301779,-0.94426,-0.494479,0.400551,1.839861,1.878098,2
1.876125,1.862866,1.258166,0.596459,0.05895,-0.378576,-0.74079,-1.027959,-1.252587,-1.045546,-0.688857,-0.220369,0.570967,1.115566,1.871534,1.876004,1.835243,1.074922,0.485683,-0.470521,-0.7075,-0.998804,-1.006716,-1.107734,-1.075213,-1.173898,-1.073019,-1.104931,-1.00345,-0.934572,-0.711615,-0.059093,0.518192,1.044623,1.844394,1.844394,4
1.632033,1.612072,1.355026,-0.044874,-0.468521,-0.917454,-0.952362,-1.26594,-1.349327,-1.320067,-1.21337,-0.98209,-0.956426,-0.580143,0.125427,1.602112,1.679389,1.686162,1.631837,1.244936,-0.097535,-0.735887,-1.17007,-1.173854,-1.312361,-1.348555,-1.313847,-1.176658,-1.173411,-0.900872,-0.862584,-0.405423,0.068951,1.22789,1.62499,1.620674,3
1.841889,1.830813,1.238424,0.634151,-0.382511,-0.638573,-0.900749,-1.159909,-1.141685,-1.261023,-1.291619,-1.20557,-1.238805,-0.94941,-0.69523,-0.117248,0.569951,1.074032,1.984826,1.151495,-0.337022,-0.586863,-0.917571,-1.085532,-1.051223,-1.134592,-1.059654,-1.098044,-1.006067,-0.953903,-0.743533,-0.217033,0.399138,1.064705,1.806986,1.806986,4
1.458712,1.457909,1.366084,0.142621,-0.19925,-0.428818,-0.609984,-0.641201,-0.874865,-0.981983,-1.011475,-0.907148,-0.945268,-0.598772,-0.584417,-0.328778,-0.17431,0.265816,1.447917,1.444658,1.53071,1.569358,1.501556,1.495248,1.161077,-1.151021,-1.566345,-1.684602,-1.772784,-1.72537,-1.609174,-1.448703,-1.028474,0.93267,1.463121,1.445285,1
1.766557,1.745601,-0.124085,-0.921534,-1.286036,-1.393647,-1.414795,-1.294303,-1.240433,-1.089201,-0.760742,-0.043441,0.862779,1.047308,1.137615,1.699733,1.756995,1.756772,1.698604,1.184536,0.672876,-0.264615,-1.074704,-1.264657,-1.305779,-1.339608,-1.377537,-1.392016,-1.364772,-1.299141,-1.155836,-0.716851,0.30382,1.718918,1.762424,1.762806,2
1.405213,1.221224,-0.312908,-0.67316,-0.870743,-0.856662,-1.000056,-0.970762,-1.208677,-1.129197,-1.168351,-1.059064,-1.11589,-0.89837,-0.929755,-0.454412,-0.121224,1.462712,1.448373,1.669572,1.641567,1.012331,-0.29776,-0.949346,-1.184836,-1.142839,-1.295373,-1.21875,-1.305105,-1.084834,-1.133027,-0.78645,-0.748978,1.312417,1.401803,1.368345,3
1.73712,1.737098,1.640704,0.354255,-0.760118,-1.145419,-1.298518,-1.350659,-1.285244,-0.972396,-0.871674,-0.397039,0.698988,1.057729,1.049472,1.792622,1.715756,1.11681,1.124632,1.038495,1.045988,0.649209,-0.696669,-0.807618,-1.020467,-1.119623,-1.300603,-1.386388,-1.403519,-1.376884,-1.220932,-0.826604,0.02697,1.697044,1.742047,1.739762,2
1.860762,1.826718,1.242906,0.691842,-0.186409,-0.732696,-0.984393,-1.020255,-1.156514,-1.143053,-1.229458,-1.249704,-1.10119,-1.108277,-1.022784,-0.987513,-0.736564,-0.241369,1.920613,1.920242,1.18437,0.393434,-0.367353,-0.781702,-1.031485,-1.186318,-1.157207,-1.06306,-1.075595,-0.912965,-0.777879,-0.135599,0.397807,1.092215,1.822162,1.857114,4
1.754886,1.74013,0.063699,-0.774418,-1.146647,-1.363555,-1.383784,-1.338212,-1.292471,-1.243873,-1.187534,-0.997664,-0.173948,0.792756,1.047946,1.05257,1.706237,1.753452,1.676278,1.071888,0.99437,0.738481,-0.346949,-0.927463,-1.096799,-1.154685,-1.254519,-1.308893,-1.420519,-1.358908,-1.239586,-0.917087,-0.324469,1.725374,1.754408,1.75302,2
1.802475,1.759297,0.039557,-0.598433,-0.895226,-1.333181,-1.424654,-1.454379,-1.339832,-0.996496,-0.886241,-0.543377,-0.420869,0.008188,0.335225,0.813678,0.93618,1.744627,1.738905,1.678348,0.950363,0.819458,0.585955,-0.539237,-0.863728,-0.970989,-1.126026,-1.209324,-1.23738,-1.294654,-1.313648,-1.16259,-0.730027,0.239226,1.767452,1.802246,2
