@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute target {1,2,3}

@data
-0.75295,1.371482,-0.693428,1.481556,1.523808,-1.795926,-0.056878,-1.719009,-0.404537,2
-0.791748,1.421985,-0.868469,1.531422,1.706714,-1.574264,0.096731,-1.675099,-0.33367,2
-0.794812,1.436035,-0.878096,1.602486,1.78753,-1.522599,0.23375,-1.472324,-0.383493,2
-0.957338,1.377136,-0.97011,1.50705,1.582389,-1.718002,0.126093,-1.690803,-0.04574,2
-0.873958,1.484832,-0.952087,1.566945,1.508504,-1.702249,0.06331,-1.689463,-0.214382,2
-0.895168,1.52401,-1.014005,1.4766,1.794102,-1.615111,-0.02502,-1.555812,-0.106186,3
-0.81076,1.320296,-0.769253,1.411039,1.601845,-1.695738,-0.288396,-1.632973,-0.43133,3
-0.971115,1.3839,-0.971542,1.485841,1.511838,-1.607581,0.014035,-1.575587,-0.120509,3
-0.956398,1.473935,-1.105924,1.539401,1.725026,-0.945796,-1.512322,-0.129626,-0.188696,3
-1.07746,1.553637,-0.96739,1.354122,1.644678,-1.664741,0.043471,-1.556126,-0.187454,3
-1.049272,1.532835,-1.120564,1.688277,1.56203,-1.624131,-0.007719,-1.591576,-0.162853,3
-0.987529,1.571214,-1.06311,1.711793,1.686757,-1.597876,-0.161828,-1.385325,-0.189308,3
-0.955924,1.47789,-0.870613,1.533556,1.682383,-1.459067,-0.013697,-1.482613,-0.50069,2
-0.71843,1.511631,-0.856214,1.492336,1.37552,-1.597806,0.0929,-1.578051,-0.512826,2
-0.76843,1.399458,-0.827037,1.546519,1.777872,-0.562904,-1.436757,-0.325354,-0.493938,2
-0.893888,1.443192,-0.926905,1.313514,1.597713,-1.716824,-0.086993,-1.599981,-0.105519,2
-1.032608,1.537644,-1.008868,1.615677,1.665712,-1.547861,-0.040585,-1.557591,-0.196971,2
-1.079154,1.461903,-1.046832,1.619938,1.406906,-1.674616,-0.010565,-1.612817,-0.215174,2
-0.937272,1.4146,-0.943806,1.758642,-0.86191,-1.686466,-0.060936,-1.651743,-0.204721,2
-1.076582,1.605147,-1.050732,1.560271,1.49069,-1.581126,-0.042033,-1.418082,-0.188865,3
-0.962872,1.974235,-0.89798,0.791601,1.240962,-1.586016,-0.12972,-1.496028,-0.24073,3
-0.901177,1.511039,-0.908433,1.605502,1.674792,-1.616443,-0.114748,-1.466446,-0.219388,3
-0.773293,1.400451,-0.944885,1.507886,1.512247,-1.656454,-0.035321,-1.651888,-0.279263,2
-0.944855,1.493103,-1.072996,1.695364,-0.956237,-1.586634,0.119002,-1.566816,0.056545,3
-0.988455,1.504811,-0.935584,1.416902,1.613233,-1.641245,-0.088988,-1.637334,-0.142082,3
-1.038492,1.483145,-1.102509,1.372818,1.721203,-1.484574,-0.024976,-1.432535,-0.216291,3
-0.913158,1.295013,-0.906367,1.61124,1.611302,-1.803877,-0.147073,-1.680022,-0.207752,2
