@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute target {1,2}

@data
-0.518009,2.654211,-0.518009,2.558373,-0.518009,-0.518009,3.574251,-0.518009,-0.518009,2.54879,-0.518009,2.682962,-0.518009,-0.518009,3.277154,-0.518009,-0.518009,3.018393,-0.518009,-0.518009,2.596708,-0.518009,-0.518009,2.337947,-0.518009,2.299612,-0.518009,-0.518009,2.290029,-0.518009,2.117521,-0.518009,2.270861,-0.518009,2.203775,-0.518009,2.711713,-0.518009,-0.518009,2.520039,-0.518009,-0.518009,2.424201,-0.518009,2.098354,-0.518009,2.337947,-0.518009,-0.518009,3.267571,-0.518009,-0.518009,2
1.943733,-0.353115,2.774973,-0.353115,2.884346,-0.353115,-0.353115,3.278091,-0.353115,3.682774,-0.353115,2.709348,-0.353115,-0.353115,4.043707,-0.353115,3.267154,-0.353115,-0.353115,3.507776,-0.353115,3.376528,-0.353115,-0.353115,3.20153,-0.353115,-0.353115,2.807785,-0.353115,-0.353115,3.026532,-0.353115,2.5781,-0.353115,-0.353115,3.15778,-0.353115,2.381227,-0.353115,2.687473,-0.353115,2.512476,-0.353115,4.809323,-0.353115,4.623388,-0.353115,2.632787,-0.353115,3.36559,-0.353115,-0.353115,1
2.638517,-0.316102,4.232636,-0.316102,-0.316102,3.174471,-0.316102,2.748456,-0.316102,3.875334,-0.316102,-0.316102,4.809818,-0.316102,-0.316102,2.88588,-0.316102,-0.316102,2.913365,-0.316102,2.803425,-0.316102,3.421834,-0.316102,-0.316102,3.160728,-0.316102,2.775941,-0.316102,3.696682,-0.316102,3.037047,-0.316102,-0.316102,3.22944,-0.316102,-0.316102,2.789683,-0.316102,4.42503,-0.316102,4.012758,-0.316102,-0.316102,2.954592,-0.316102,-0.316102,3.146986,-0.316102,4.122697,-0.316102,-0.316102,1
-0.531138,-0.531138,2.644085,-0.531138,2.511045,-0.531138,-0.531138,2.502176,-0.531138,-0.531138,2.324789,-0.531138,-0.531138,2.280442,-0.531138,2.04984,-0.531138,2.156272,-0.531138,3.610844,-0.531138,2.076448,-0.531138,2.342528,-0.531138,-0.531138,2.803734,-0.531138,2.218357,-0.531138,2.821472,-0.531138,2.484437,-0.531138,-0.531138,2.440091,-0.531138,2.218357,-0.531138,2.582,-0.531138,2.342528,-0.531138,2.759387,-0.531138,2.457829,-0.531138,2.120794,-0.531138,-0.531138,2.147402,-0.531138,1
-0.593665,2.020105,-0.593665,-0.593665,2.356531,-0.593665,-0.593665,2.253016,-0.593665,-0.593665,2.166752,-0.593665,-0.593665,2.158126,-0.593665,1.9856,-0.593665,2.114995,-0.593665,-0.593665,2.770594,-0.593665,-0.593665,3.469324,-0.593665,-0.593665,2.848231,-0.593665,1.882084,-0.593665,2.166752,-0.593665,2.106368,-0.593665,2.063237,-0.593665,-0.593665,2.054611,-0.593665,-0.593665,2.529057,-0.593665,-0.593665,2.002853,-0.593665,-0.593665,2.028732,-0.593665,2.917241,-0.593665,1.899337,-0.593665,2
4.726718,-0.240247,-0.240247,3.70701,-0.240247,-0.240247,5.631297,-0.240247,-0.240247,3.558988,-0.240247,4.068842,-0.240247,-0.240247,6.04247,-0.240247,-0.240247,3.509647,-0.240247,4.282651,-0.240247,3.476753,-0.240247,-0.240247,5.285912,-0.240247,3.608328,-0.240247,4.18397,-0.240247,-0.240247,3.690563,-0.240247,3.394519,-0.240247,3.608328,-0.240247,-0.240247,4.414226,-0.240247,-0.240247,5.976682,-0.240247,3.4932,-0.240247,4.085288,-0.240247,-0.240247,4.068842,-0.240247,3.887926,-0.240247,1
-0.429507,-0.429507,2.945996,-0.429507,2.675122,-0.429507,3.008505,-0.429507,2.498012,-0.429507,2.966832,-0.429507,-0.429507,4.050327,-0.429507,2.664704,-0.429507,-0.429507,2.841814,-0.429507,2.414667,-0.429507,3.102269,-0.429507,-0.429507,3.206451,-0.429507,-0.429507,2.945996,-0.429507,-0.429507,2.612613,-0.429507,2.487594,-0.429507,2.737631,-0.429507,-0.429507,2.727213,-0.429507,-0.429507,4.362874,-0.429507,-0.429507,2.935578,-0.429507,-0.429507,2.852232,-0.429507,2.633449,-0.429507,-0.429507,1
-0.550773,2.315306,-0.550773,2.381738,-0.550773,-0.550773,2.315306,-0.550773,2.15397,-0.550773,2.049577,-0.550773,2.14448,-0.550773,2.315306,-0.550773,-0.550773,2.343777,-0.550773,-0.550773,2.334287,-0.550773,-0.550773,2.229893,-0.550773,2.040086,-0.550773,2.15397,-0.550773,2.343777,-0.550773,2.514603,-0.550773,2.258364,-0.550773,2.106519,-0.550773,2.808803,-0.550773,2.761351,-0.550773,-0.550773,2.628487,-0.550773,-0.550773,2.675938,-0.550773,-0.550773,3.02708,-0.550773,2.172951,-0.550773,1
-0.207146,-0.207146,5.394878,-0.207146,3.647807,-0.207146,4.274474,-0.207146,3.742756,-0.207146,-0.207146,5.09104,-0.207146,-0.207146,7.578718,-0.207146,4.027605,-0.207146,3.932655,-0.207146,-0.207146,4.749221,-0.207146,-0.207146,5.356899,-0.207146,-0.207146,6.097505,-0.207146,-0.207146,4.99609,-0.207146,-0.207146,4.122554,-0.207146,4.198514,-0.207146,-0.207146,4.274474,-0.207146,-0.207146,3.685786,-0.207146,4.445383,-0.207146,-0.207146,4.103564,-0.207146,-0.207146,6.306394,-0.207146,-0.207146,1
1.479197,-0.528827,2.571117,-0.528827,2.497088,-0.528827,-0.528827,2.16396,-0.528827,2.071425,-0.528827,3.015288,-0.528827,-0.528827,2.302764,-0.528827,2.006649,-0.528827,2.237989,-0.528827,2.025157,-0.528827,2.025157,-0.528827,-0.528827,2.367539,-0.528827,1.941875,-0.528827,2.672906,-0.528827,-0.528827,2.413806,-0.528827,-0.528827,2.478581,-0.528827,-0.528827,2.256496,-0.528827,-0.528827,2.469328,-0.528827,2.358285,-0.528827,-0.528827,2.413806,-0.528827,3.820348,-0.528827,2.349031,-0.528827,1
