@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute target {1,2}

@data
1.930523,1.682885,0.80537,0.266953,-1.242902,-0.992204,-0.206606,-0.182434,-0.359604,-0.765544,-1.251783,-1.360502,-0.646448,-0.402502,-0.475796,0.286489,0.474548,0.731635,1.027734,1.233021,1.14715,0.904442,1.270906,1.554611,1.324584,0.805974,0.777668,0.574115,-0.023046,0.087547,-0.126979,-0.804307,-0.465378,-0.748458,-1.350741,-1.124158,-1.523774,-1.36634,-1.691231,-1.367049,-1.486817,-1.092578,-1.055123,-0.590953,-0.420549,-0.144958,-0.087398,0.750018,0.803916,1.534254,1.876581,1.930123,1
1.917752,1.639772,-0.116025,-1.40596,-1.964246,-0.105725,-0.073022,-0.191066,-0.695332,-0.906966,-0.707913,-0.94929,-0.56621,-0.763501,-0.560863,0.553779,0.709894,0.784909,0.938931,1.252594,1.187644,0.705373,1.164965,1.512547,1.456944,1.038576,0.762188,0.300911,0.400139,0.350916,0.101551,-0.348778,-0.214208,-0.920511,-0.850654,-1.101026,-0.919147,-1.327454,-1.091809,-1.250879,-1.508568,-1.118664,-1.119425,-0.767464,-0.71723,-0.254209,-0.097083,0.813457,0.846273,1.326056,1.731942,1.916245,1
1.887045,1.729357,0.929367,-1.097732,-1.490818,-1.209143,-0.435446,-0.285643,-0.339028,-0.686564,-0.93674,-1.138074,-0.755853,-0.753154,-0.40127,-0.168335,-0.117767,0.16501,0.626016,1.281954,1.28532,0.915896,1.321922,1.564128,1.304253,0.997063,1.00751,0.762978,0.450392,0.374672,0.100692,-0.101513,-0.806557,-0.75168,-0.533982,-0.54851,-1.263618,-1.106332,-1.397706,-1.67877,-1.291194,-1.315604,-1.131559,-1.181095,-0.74103,-0.684402,-0.265709,-0.170654,0.369445,1.503045,1.844421,1.889576,2
2.029245,1.928343,1.20319,-0.844546,-1.038091,-0.228568,-0.355807,-0.94569,-0.945625,-1.119976,-0.869239,-0.958066,-0.773637,-0.857755,-0.725248,0.055988,0.103512,0.363929,0.563296,0.960813,1.043834,0.467575,0.971913,1.382255,1.05971,0.459977,0.375844,0.022573,-0.012992,-0.384141,-0.264282,-0.748142,-0.552937,-1.000436,-0.894363,-1.202212,-1.082437,-1.251457,-1.252965,-1.681359,-1.377768,-1.480098,-1.416101,-1.56475,-1.39438,-1.400251,-0.972089,0.249703,1.449187,2.004042,1.907166,2.028191,1
2.003176,1.75828,1.711577,0.889349,0.377629,-0.003216,-1.04989,-1.620482,-1.386405,-0.219563,-0.259253,-0.623483,-0.592209,-1.27192,-0.741554,-0.818508,-0.694782,-0.710785,-0.07126,0.028369,0.406666,0.584609,0.953395,0.995297,1.385098,1.294908,0.750369,1.378246,1.455017,1.377477,0.674743,0.549887,0.037066,0.227682,-0.096122,-0.717261,-0.326388,-1.108959,-0.992839,-1.24809,-1.174409,-1.500785,-1.51382,-1.346647,-1.460507,-1.063885,-0.267172,-0.121438,0.271135,0.374163,1.238126,1.998178,1
2.000979,1.828747,0.409744,-0.077008,-0.940424,-1.387928,-0.367758,-0.580842,-0.985407,-1.107707,-0.890033,-0.753954,0.065966,0.187994,0.431235,0.906003,1.088808,0.782317,0.8765,1.371895,1.577546,1.481441,1.095589,0.981428,0.660846,0.230008,0.241054,-0.005916,-0.320604,-0.328227,-0.487042,-0.824623,-0.977636,-1.253827,-1.191436,-1.495147,-1.356016,-1.486871,-1.377539,-1.407643,-1.53075,-1.271685,-1.280656,-1.1332,-1.092536,-0.744443,-0.716339,-0.164133,-0.0879,1.171895,1.812209,2.002619,2
1.816474,1.597846,1.023772,-1.708761,-1.776822,-0.702333,-0.63319,-0.841091,-0.81956,-0.930722,-1.206081,-1.09541,-1.165624,-0.915657,-0.884807,-0.568243,-0.572566,0.212701,0.278667,0.432224,0.470414,0.952291,1.105867,0.807059,1.222576,1.456261,1.381048,1.460681,1.405073,0.802254,0.816274,0.577579,0.216514,0.285393,0.227599,-0.113637,-0.248159,-0.488006,-0.480614,-0.71162,-1.009149,-0.95199,-1.338538,-1.456035,-1.055806,-0.089982,-0.044203,0.209323,0.575178,1.111591,1.788606,1.817496,1
1.95674,0.538616,-0.588387,-1.249167,-0.484028,-0.478154,-0.572547,-0.742109,-0.789094,-1.095779,-1.201477,-0.855832,-0.548918,-0.590145,0.483792,0.857401,1.073017,0.574106,1.281756,1.3413,1.299641,1.428206,1.472706,1.414959,1.302856,0.411488,-0.15439,-0.056896,-0.10491,-0.451643,-0.98605,-0.774477,-0.771427,-1.38578,-1.307699,-1.331819,-1.540781,-1.511007,-1.80578,-1.409049,-1.183292,-0.938057,-0.896963,-0.346454,-0.184339,0.440612,0.457351,1.166497,1.379426,1.597606,1.864183,1.96057,1
1.972911,1.826152,1.40481,-0.729343,-1.847002,-0.181808,-0.31037,-0.693241,-0.709738,-1.000775,-1.016312,-0.679894,-0.755317,-0.726687,0.514641,1.032386,1.268966,0.858241,1.283191,1.474965,1.545843,1.49385,1.078881,1.026376,0.844108,0.269959,0.242333,0.324306,0.308298,0.065552,-0.100897,-0.388643,-0.376335,-0.950435,-0.792142,-0.786765,-1.102228,-1.009951,-1.12136,-1.194154,-1.483352,-1.231951,-1.262029,-0.924221,-0.940261,-0.674991,-0.511034,0.076658,0.154557,0.933602,1.783875,1.971205,2
1.988141,1.940882,1.742004,0.83215,-0.062299,-1.112482,-1.489857,-0.252347,-0.311327,-0.975662,-0.547801,-0.671687,-0.348381,-0.209491,0.066742,0.104385,0.573327,1.058444,0.842475,1.262332,1.556472,1.523403,1.308004,1.225779,0.551294,-0.031135,0.104689,0.052785,-0.292738,-0.574755,-1.226442,-0.872701,-0.852336,-1.233892,-1.243279,-1.516026,-1.463829,-1.771055,-0.873996,-0.843547,-0.448225,-0.396169,0.134749,0.181414,0.591231,0.705055,0.949703,1.19177,1.386413,1.656007,1.83453,1.976268,2
1.960041,1.89897,1.414158,-0.309837,-0.610995,-0.703245,-0.227107,-0.24573,-0.664377,-1.172838,-1.023969,-1.479961,-0.981643,-1.381092,-0.819012,-0.666311,0.220167,0.284655,0.633209,0.766154,0.976688,1.037739,0.969235,1.073063,0.72264,1.186312,1.425043,1.128043,0.754006,0.203974,0.336432,-0.024724,-0.25542,-0.176555,-0.418249,-0.333387,-0.574775,-0.945735,-0.836333,-1.210113,-1.171056,-1.38185,-1.643827,-1.366807,-1.384436,-1.072002,-0.707568,-0.662157,1.797195,1.84461,1.721085,1.948824,1
1.932262,1.669388,-0.435678,-1.15613,-1.143352,-0.276153,-0.228281,-0.712712,-0.70626,-0.973627,-0.955767,-0.731048,-0.589881,-0.290806,-0.013463,0.679047,0.93153,0.904008,0.800153,0.830786,1.325964,1.62309,1.541258,1.074355,0.972946,0.364499,0.388125,-0.38921,-0.342059,-0.972568,-0.923288,-1.347079,-1.329653,-1.778623,-1.486432,-1.792061,-1.38824,-1.094973,-1.099462,-0.781891,-0.795627,-0.38268,-0.328416,0.022409,0.153577,0.464122,0.567415,0.989205,1.10203,1.585446,1.810531,1.926584,1
