@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.50175,1.47087,1.403495,-0.483021,1.465152,1.45282,-0.412303,-1.064559,-1.064559,6
-0.418014,1.402207,1.583099,-0.413468,1.258062,1.326252,-0.337285,-1.092578,-1.092578,6
-0.418709,1.315809,1.420892,-0.42533,1.309845,1.409377,-0.329706,-1.106462,-1.106462,6
-0.380697,1.398637,1.514667,-0.432902,1.340537,1.383727,-0.297642,-1.094203,-1.094203,6
-0.462901,1.408744,1.474782,-0.502825,1.332438,1.451225,1.264588,-1.077132,-1.077132,6
-0.418634,1.42723,1.460441,-0.37807,1.329551,1.360098,-0.32456,-1.099988,-1.099988,6
-0.482855,1.365974,1.426009,-0.465641,1.381735,1.437874,1.024536,-1.078458,-1.078458,6
-0.411043,1.381973,1.399807,-0.42317,1.455984,1.306891,-0.299652,-1.101595,-1.101595,6
-0.497439,1.466337,1.515934,-0.513534,1.386056,1.394933,-0.435568,-1.068495,-1.068495,6
-0.439897,1.41909,1.433535,-0.432264,1.270899,1.384316,-0.344491,-1.09142,-1.09142,6
-0.340294,1.452721,1.515455,-0.411743,1.231372,1.327611,-0.24942,-1.100634,-1.100634,6
-0.507496,1.453473,1.48671,-0.542466,1.473214,1.439976,-0.430304,-1.060713,-1.060713,6
-0.418958,1.456302,1.386683,-0.415165,1.378805,1.40995,-0.337229,-1.086072,-1.086072,6
-0.480888,1.422085,1.378478,-0.438979,1.404684,1.394411,1.194193,-1.079279,-1.079279,6
-0.385792,1.333652,1.336468,-0.399106,1.349139,1.439441,-0.301664,-1.101493,-1.101493,6
-0.379263,1.351261,1.469438,-0.333506,1.336119,1.325594,-0.305845,-1.106091,-1.106091,6
-0.50254,1.448355,1.477467,-0.525424,1.382613,1.382998,-0.441829,-1.071839,-1.071839,6
-0.433704,1.36742,1.544273,-0.443349,1.419497,1.356172,-0.348444,-1.091017,-1.091017,6
-0.384099,1.924475,1.920389,-0.371452,0.873325,0.915668,-0.286951,-1.058859,-1.058859,6
-0.48222,1.441995,1.529478,-0.482385,1.318283,1.454139,1.24665,-1.069695,-1.069695,6
-0.340376,1.363253,1.430504,-0.387688,1.478484,1.40848,-0.283174,-1.103595,-1.103595,6
-0.638612,1.41425,-0.671393,1.565941,1.389147,-0.57679,-1.515799,-0.59139,-0.47423,3
-0.462604,1.445259,1.486155,-0.494671,1.324798,1.435406,1.193928,-1.067489,-1.067489,6
-0.464491,1.415543,1.533858,-0.483028,1.314966,1.436594,1.365254,-1.078617,-1.078617,6
-0.546537,1.423228,1.39163,-0.543024,1.468766,1.452967,-0.467357,-1.057566,-1.057566,6
-0.478214,1.471506,1.481313,-0.47279,1.33401,1.402862,-0.397928,-1.076252,-1.076252,6
-0.524368,1.414108,1.481931,-0.561105,1.477059,1.21161,-0.430856,-1.060682,-1.060682,6
-0.470469,1.423291,1.499806,-0.483204,1.282839,1.416128,-0.393272,-1.074097,-1.074097,6
-0.546244,1.353264,-0.625425,1.498903,1.608467,-0.169266,-1.47412,-1.472113,-0.58054,4
-0.453926,1.46303,1.519326,-0.437273,1.229128,1.425257,1.337362,-1.081737,-1.081737,6
-0.669475,1.391385,-0.720759,1.422944,1.525436,-1.493302,-0.434048,-1.393862,-0.66847,3
-0.528102,1.454227,1.324697,-0.510164,1.334703,1.46516,1.389925,-1.075223,-1.075223,6
-0.47692,1.480517,1.550401,-0.506506,1.230693,1.421932,1.221487,-1.072753,-1.072753,6
-0.420751,1.426956,1.380348,-0.431412,1.323479,1.353218,-0.327117,-1.093024,-1.093024,6
-0.419838,1.411568,1.390589,-0.461717,1.328456,1.358715,-0.355203,-1.096743,-1.096743,6
-0.429058,1.413279,1.410985,-0.447916,1.324622,1.394922,0.801879,-1.089356,-1.089356,5
-0.422245,1.346477,1.416869,-0.36735,1.478263,1.40767,-0.36645,-1.091677,-1.091677,6
