@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute target {1,2,3,4}

@data
-0.611375,-0.366669,-0.441924,-0.169701,-0.148161,0.081802,0.033256,0.424115,1.412211,1.43651,1.210671,1.570329,1.236678,1.46399,2.582583,3.219184,3.029016,1.741077,0.982035,0.861034,1.048266,0.636582,0.137142,-0.108531,0.136344,0.268773,-0.318414,-0.384492,-0.143361,-0.197767,1.064636,0.989873,0.830113,-0.311218,-0.470294,-0.700341,-0.817875,-0.928323,-0.822123,-0.396428,-0.014516,0.328892,0.877872,1.602782,2.405279,2.832901,3.225753,3.707633,3.478709,1.757757,1.153227,0.718067,0.035991,-0.425749,-0.576188,-0.757966,-0.887796,-0.98312,1
-0.615392,-0.371942,-0.440016,-0.171544,-0.153427,0.089046,0.044885,0.428309,1.451656,1.236589,1.572599,1.239497,1.467747,2.581998,3.136993,3.234731,3.043825,1.633366,0.983969,0.868433,1.066212,0.6427,0.136218,-0.10955,0.134106,0.266063,-0.318721,-0.390588,-0.144031,-0.197886,0.489817,1.053917,0.984824,0.826888,-0.308923,-0.466984,-0.696661,-0.813114,-0.921911,-0.824385,-0.450387,-0.058615,0.293007,0.855766,1.590901,2.390231,2.823929,3.222335,3.677936,3.468139,1.75926,1.154742,0.717386,0.036698,-0.426261,-0.635007,-0.904471,-0.982549,1
-0.611999,-0.367484,-0.441452,-0.16601,-0.144575,0.091476,0.039879,0.42967,1.446632,1.21937,1.572559,1.238482,1.465208,2.582407,3.1236,3.229821,2.917124,1.630153,0.977707,0.860947,1.047188,0.637079,0.134163,-0.107614,0.137488,0.268473,-0.320341,-0.388398,-0.144226,-0.2,1.061027,0.990208,0.831596,-0.307006,-0.465373,-0.69635,-0.812957,-0.921252,-0.82668,-0.453852,-0.054637,0.298223,0.853458,1.587264,2.398486,2.827169,3.22846,3.712863,3.477637,1.765712,1.157492,0.71882,0.037192,-0.425308,-0.575247,-0.793729,-0.900669,-0.983858,1
-0.622784,-0.375476,-0.451253,-0.154819,-0.147068,0.089582,0.03515,0.42568,1.439139,1.198681,1.560528,1.22881,1.459602,2.587196,3.237165,3.038686,1.740063,0.982464,0.860768,1.064695,0.628447,0.372599,0.131476,-0.106115,0.137753,0.270743,-0.321032,-0.387628,-0.142517,-0.19712,1.056628,0.984009,0.824165,-0.317808,-0.472378,-0.700482,-0.817446,-0.92128,-0.819011,-0.452568,-0.047855,0.30681,0.863053,1.584172,2.411414,2.844471,3.233848,3.71277,3.495355,1.782557,1.169155,0.731607,0.044358,-0.418581,-0.570159,-0.749517,-0.879015,-0.973614,1
-0.621793,-0.377353,-0.441172,-0.14203,-0.14447,0.090242,0.043599,0.429699,1.450275,1.228204,1.56587,1.239222,1.464984,2.582121,3.132005,3.222122,3.037395,1.632751,0.982808,0.862055,1.046534,0.639443,0.138041,-0.105859,0.139929,0.268633,-0.3153,-0.388742,-0.145159,-0.201063,1.054137,0.983546,0.823972,-0.312804,-0.470393,-0.700747,-0.820097,-0.925862,-0.820097,-0.427817,-0.014139,0.33773,0.891687,1.619903,2.41536,2.838288,3.23159,3.70877,3.450927,1.74757,1.143398,0.709645,0.030313,-0.429235,-0.578714,-0.794874,-0.894483,-0.981331,1
-0.600229,-0.358105,-0.444101,-0.173882,-0.146823,0.091007,0.038252,0.434595,1.430114,1.448969,1.203987,1.570778,1.248,1.482368,2.599574,3.133433,3.236229,3.042825,1.638109,0.980823,0.860236,1.054918,0.632239,0.377209,0.133271,-0.112727,0.126709,0.258711,-0.329268,-0.391346,-0.149571,-0.20439,1.050833,0.816024,-0.313824,-0.470846,-0.699932,-0.816886,-0.919401,-0.816687,-0.483108,-0.072019,0.29352,0.862814,1.59289,2.395136,2.817515,3.215103,3.696351,3.474253,1.749235,1.146072,0.710282,0.028461,-0.434271,-0.642508,-0.911884,-0.990874,2
-0.61543,-0.367857,-0.444562,-0.173052,-0.148265,0.090637,0.039852,0.429544,1.456986,1.2138,1.563768,1.250456,1.484483,2.597701,3.134349,3.237157,3.033299,1.635807,0.977772,0.854438,1.051328,0.633638,0.375129,0.132527,-0.111367,0.127745,0.258283,-0.327104,-0.391407,-0.14868,-0.201967,1.050265,0.972067,0.813605,-0.315135,-0.471101,-0.698906,-0.816006,-0.919286,-0.817747,-0.478129,-0.067258,0.29765,0.867217,1.603187,2.40458,2.844686,3.240593,3.691077,3.478624,1.759168,1.153213,0.716105,0.03372,-0.428019,-0.637197,-0.905087,-0.98264,2
-0.614015,-0.366364,-0.447371,-0.175639,-0.149814,0.090992,0.040596,0.432986,1.463491,1.210929,1.572523,1.255175,1.488661,2.599293,3.125544,3.237162,2.919733,1.638808,0.977096,0.85893,1.052303,0.632812,0.37491,0.131303,-0.113604,0.127406,0.259192,-0.328319,-0.390899,-0.148339,-0.201752,1.051324,0.975258,0.814372,-0.313828,-0.470805,-0.698922,-0.815681,-0.919814,-0.818054,-0.478335,-0.067374,0.297477,0.867013,1.605675,2.41664,2.842769,3.23489,3.677052,3.47195,1.75567,1.150668,0.713924,0.03444,-0.429142,-0.63703,-0.904643,-0.981325,2
-0.59665,-0.3547,-0.44424,-0.175999,-0.149141,0.090937,0.034828,0.434133,1.465322,1.205684,1.569665,1.253934,1.496544,2.602813,3.134814,3.242089,2.915697,1.636265,0.976036,0.852647,1.050757,0.627276,0.376662,0.131945,-0.115018,0.123592,0.25633,-0.332759,-0.39542,-0.151768,-0.205206,1.047662,0.971827,0.81104,-0.316758,-0.472682,-0.701221,-0.816869,-0.920887,-0.812603,-0.488292,-0.087519,0.277062,0.849793,1.592547,2.401234,2.833912,3.236384,3.68995,3.473421,1.753775,1.148689,0.71261,0.029446,-0.433422,-0.643052,-0.912609,-0.990883,2
-0.620747,-0.375135,-0.442874,-0.169813,-0.147553,0.087614,0.049184,0.430197,1.459169,1.235158,1.565235,1.241598,1.471553,2.587173,3.233703,3.041395,1.734689,0.979367,0.86302,1.063235,0.639166,0.134983,-0.111042,0.130836,0.261043,-0.324523,-0.394674,-0.146841,-0.203646,0.480815,0.837593,1.046447,0.97563,0.818506,-0.311331,-0.46812,-0.697127,-0.814255,-0.919968,-0.819548,-0.475694,-0.072168,0.289181,0.857629,1.600779,2.413204,2.843377,3.239121,3.701514,3.466397,1.762305,1.15407,0.718561,0.038104,-0.423796,-0.632631,-0.90222,-0.97947,2
