@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute target {1,2}

@data
0.132049,0.154626,0.161987,0.128644,0.093088,0.090012,0.072857,0.031853,-0.001915,-0.013502,-0.032964,-0.041583,-0.044007,-0.050211,-0.059163,-0.072812,-0.064812,-0.07327,-0.07958,-0.100712,-0.124159,-0.133967,-0.132541,-0.134235,-0.137908,0.075962,0.097523,0.13478,0.171983,1
0.127205,0.132657,0.132679,0.12736,0.125533,0.097018,0.06686,0.061494,0.039839,0.025559,0.003894,-0.006576,-0.021705,-0.068119,-0.076506,-0.06196,-0.069347,-0.059666,-0.081616,-0.129975,-0.158689,-0.165056,-0.151345,-0.140033,-0.145479,0.062163,0.084363,0.121154,0.172293,1
0.119729,0.146718,0.149402,0.131087,0.103432,0.08656,0.064604,0.048726,0.025596,-0.009399,-0.035296,-0.033993,-0.037716,-0.048087,-0.038203,-0.054017,-0.062637,-0.065686,-0.078937,-0.08706,-0.125762,-0.150001,-0.153995,-0.160136,-0.15587,0.06795,0.10153,0.139496,0.158737,1
0.114604,0.134243,0.135758,0.120421,0.111497,0.103547,0.082811,0.070855,0.047775,0.011223,-0.011048,-0.016449,-0.030194,-0.044621,-0.071984,-0.077879,-0.066031,-0.07091,-0.069462,-0.10447,-0.130608,-0.133504,-0.153414,-0.160075,-0.14827,0.062072,0.067868,0.107413,0.158406,1
0.152083,0.164842,0.152204,0.124415,0.099923,0.062759,0.049487,0.040572,0.006531,-0.009191,-0.025875,-0.036089,-0.039506,-0.048992,-0.05706,-0.060523,-0.053786,-0.057788,-0.075677,-0.107622,-0.131855,-0.14421,-0.14483,-0.142099,-0.138987,0.059623,0.098102,0.131489,0.178869,1
0.106884,0.113258,0.116287,0.103405,0.09805,0.099741,0.061463,0.044007,0.033254,0.012888,-0.004739,-0.001591,0.009349,-0.038044,-0.079341,-0.075933,-0.04941,-0.03929,-0.062036,-0.089471,-0.110543,-0.138518,-0.164808,-0.156387,-0.14321,0.081604,0.092152,0.089822,0.130571,1
0.1559,0.152698,0.162088,0.143686,0.104127,0.096426,0.088448,0.049495,0.031615,0.032629,0.009524,-0.002441,-0.013128,-0.041966,-0.063028,-0.066642,-0.062898,-0.088453,-0.105346,-0.131492,-0.168998,-0.167271,-0.177904,-0.178499,-0.150715,0.05853,0.079595,0.111727,0.185863,1
0.135515,0.154045,0.147257,0.112399,0.093826,0.093262,0.086201,0.076119,0.040983,0.012111,-0.00426,-0.015416,-0.029873,-0.055669,-0.066995,-0.075491,-0.076873,-0.074577,-0.090657,-0.105085,-0.122278,-0.144439,-0.154471,-0.155453,-0.150345,0.067561,0.066402,0.106374,0.170959,1
0.149383,0.178977,0.186521,0.141146,0.124339,0.11174,0.084122,0.064129,0.033769,0.022834,0.021465,-0.008371,-0.043339,-0.060792,-0.095837,-0.100463,-0.063944,-0.090919,-0.120231,-0.138617,-0.172906,-0.1914,-0.178743,-0.168894,-0.167445,0.058264,0.098152,0.156713,0.224066,1
0.125256,0.135825,0.139415,0.1239,0.107587,0.090044,0.067113,0.048721,0.026089,0.012938,-0.00239,-0.018701,-0.029511,-0.041406,-0.064508,-0.073881,-0.072005,-0.078955,-0.093516,-0.123271,-0.151278,-0.155605,-0.156252,-0.163929,-0.140671,0.086957,0.112686,0.152905,0.190775,1
0.168671,0.185569,0.177998,0.15204,0.137398,0.120158,0.1136,0.101307,0.056324,0.018656,-0.012808,-0.036708,-0.045308,-0.054735,-0.074993,-0.077791,-0.08157,-0.106215,-0.13206,-0.158606,-0.186043,-0.203734,-0.200844,-0.184391,-0.162075,0.071341,0.11377,0.142257,0.212807,1
0.146837,0.157439,0.141744,0.127393,0.12601,0.11532,0.07715,0.039949,0.012309,-0.005076,-0.016735,-0.026671,-0.029892,-0.050545,-0.082004,-0.093117,-0.063864,-0.082893,-0.121313,-0.129974,-0.135687,-0.152352,-0.16257,-0.160413,-0.144594,0.079125,0.117975,0.166322,0.20719,1
0.155096,0.17271,0.175788,0.146714,0.127661,0.098265,0.066512,0.059425,0.029722,0.001974,-0.024008,-0.026602,-0.037267,-0.059516,-0.057726,-0.072187,-0.084208,-0.089453,-0.116741,-0.140322,-0.156724,-0.173134,-0.167737,-0.159915,-0.145147,0.07177,0.110646,0.149298,0.198088,1
0.153444,0.170759,0.17931,0.150237,0.114308,0.100498,0.09414,0.076702,0.043113,0.014319,-0.011832,-0.02585,-0.033453,-0.053087,-0.078507,-0.09166,-0.091017,-0.091573,-0.116047,-0.151222,-0.165151,-0.16723,-0.166713,-0.158219,-0.147447,0.064798,0.098811,0.138118,0.200692,1
0.158282,0.190253,0.193632,0.137977,0.09265,0.080203,0.05042,0.034105,0.026544,0.001204,-0.024089,-0.036764,-0.065632,-0.080277,-0.06735,-0.090175,-0.088283,-0.081911,-0.08285,-0.08782,-0.130764,-0.157588,-0.166184,-0.156432,-0.137385,0.086508,0.114549,0.144164,0.197259,2
0.206152,0.20528,0.197044,0.165337,0.119276,0.085151,0.043412,0.018489,-0.00577,-0.020742,-0.028782,-0.040287,-0.042595,-0.068009,-0.091369,-0.101948,-0.072936,-0.062307,-0.080962,-0.108627,-0.143915,-0.161534,-0.175193,-0.1796,-0.152182,0.084352,0.106615,0.141611,0.219215,2
0.184673,0.190452,0.189239,0.153542,0.117192,0.097433,0.062715,0.048052,0.036915,0.022062,-0.026986,-0.044979,-0.031747,-0.067857,-0.088116,-0.102631,-0.099138,-0.095064,-0.107158,-0.13897,-0.170106,-0.176571,-0.177947,-0.177018,-0.153243,0.082382,0.130556,0.175652,0.228363,2
0.190447,0.194708,0.192795,0.170244,0.110801,0.074432,0.041304,0.013533,0.001654,-0.019656,-0.037599,-0.038929,-0.034386,-0.051172,-0.078384,-0.100662,-0.092144,-0.072533,-0.080383,-0.11412,-0.141109,-0.172763,-0.177431,-0.164243,-0.145962,0.073376,0.116429,0.173008,0.227809,2
0.160566,0.179689,0.168344,0.132568,0.098741,0.079654,0.033574,0.004708,-0.002121,-0.007606,-0.017747,-0.040357,-0.052949,-0.062475,-0.081692,-0.083729,-0.062692,-0.065059,-0.076262,-0.096337,-0.120248,-0.141443,-0.158417,-0.164419,-0.129104,0.095078,0.111876,0.156191,0.19776,2
0.172019,0.207267,0.199225,0.136707,0.104151,0.092604,0.061416,0.041469,0.008571,-0.014629,-0.016249,-0.029309,-0.054841,-0.075422,-0.091786,-0.111423,-0.094053,-0.060066,-0.070925,-0.116782,-0.152759,-0.164378,-0.163722,-0.173939,-0.167982,0.081318,0.135814,0.172957,0.204173,2
0.141006,0.163259,0.18022,0.148257,0.094703,0.051102,0.027201,0.016474,0.003764,0.005858,-0.026256,-0.066471,-0.072927,-0.058927,-0.065868,-0.082565,-0.046594,-0.042685,-0.055939,-0.075234,-0.102312,-0.136008,-0.150141,-0.15307,-0.146046,0.087817,0.098759,0.126708,0.185825,2
0.184603,0.189761,0.174345,0.149934,0.121798,0.094943,0.051791,0.014917,0.012598,0.021502,-0.003116,-0.046982,-0.060363,-0.075411,-0.094327,-0.104093,-0.086471,-0.085958,-0.100127,-0.123248,-0.137846,-0.157908,-0.175967,-0.161601,-0.143495,0.071556,0.121369,0.172273,0.235603,2
0.193718,0.208755,0.198441,0.177568,0.131864,0.083196,0.056454,0.034299,0.006721,0.006489,0.014279,-0.001607,-0.028311,-0.069691,-0.10382,-0.116022,-0.117806,-0.101421,-0.111362,-0.154519,-0.18279,-0.184145,-0.180004,-0.173938,-0.147695,0.080936,0.124213,0.177973,0.240597,2
0.198723,0.21701,0.202941,0.163439,0.132522,0.11006,0.078603,0.039116,0.015762,0.009796,-0.020871,-0.038516,-0.039689,-0.073951,-0.104776,-0.108774,-0.103142,-0.102735,-0.116334,-0.138635,-0.160912,-0.183235,-0.190867,-0.182512,-0.145955,0.081146,0.116857,0.168293,0.236957,2
