@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute target {1,2,3}

@data
-0.051479,-0.053732,-0.027568,0.026784,0.044577,0.046732,0.005318,0.009367,2
-0.041025,-0.098,-0.025306,-0.011941,0.008812,0.078504,0.065473,0.023483,2
-0.007425,0.025231,0.015297,-0.005309,-0.018684,-0.00693,-0.008854,0.006674,2
-0.0823,-0.066138,0.031701,0.033582,0.023168,0.027545,0.023224,0.009218,2
-0.116627,-0.09217,0.053041,0.074776,0.039109,0.048435,0.01971,-0.026274,2
-0.073882,-0.087513,0.016443,0.039239,0.021836,0.026086,0.030622,0.02717,3
-0.064445,-0.05032,0.021907,0.021695,0.019808,0.039275,0.018872,-0.006792,3
-0.090088,-0.079714,0.030048,0.041248,0.039404,0.026315,0.017666,0.015123,3
-0.078196,-0.053866,0.041905,0.044213,0.035362,0.014074,0.00207,-0.005562,3
-0.096593,-0.120289,-0.00428,0.043325,0.05806,0.055151,0.03558,0.029047,3
-0.108695,-0.125595,-0.007933,0.057052,0.061966,0.048584,0.042366,0.032256,3
-0.076163,-0.070822,0.007776,0.038174,0.0528,0.048913,0.000134,-0.000811,3
-0.027004,-0.061376,-0.00368,-0.008693,0.004572,0.048961,0.025964,0.021256,2
-0.057492,-0.059426,0.013991,0.046436,0.055362,0.006836,-0.002555,-0.003151,2
-0.031685,-0.02627,0.028066,0.018534,0.003823,0.007716,0.002646,-0.00283,2
-0.073856,-0.092716,-0.003938,0.028756,0.039192,0.05104,0.022684,0.028836,2
-0.091279,-0.095149,0.023411,0.061989,0.03708,0.034403,0.010748,0.018796,2
-0.104971,-0.130834,0.001929,0.041498,0.067272,0.067718,0.044328,0.013059,2
-0.085403,-0.070533,0.002385,0.023953,0.056873,0.042971,0.03117,-0.001416,2
-0.057975,-0.089262,0.011615,0.039731,0.033639,0.02704,0.011619,0.023593,3
-0.055026,-0.063285,0.004077,0.025045,0.041885,0.015008,0.008263,0.024033,3
-0.053532,-0.047098,0.018589,0.023873,0.024098,0.004646,0.016838,0.012587,3
-0.053372,-0.044308,0.014179,0.041476,0.021245,0.028678,0.007231,-0.015129,2
-0.070667,-0.061188,0.047831,0.062162,0.020951,0.001999,-0.014807,0.01372,3
-0.110605,-0.096375,0.038131,0.053213,0.040033,0.029834,0.026827,0.018943,3
-0.078386,-0.056117,0.041854,0.05326,0.036494,0.003886,0.009546,-0.010536,3
-0.090884,-0.089615,0.030379,0.051034,0.050176,0.043311,0.014386,-0.008787,2
-0.068897,-0.076847,0.022282,0.050283,0.042509,0.041999,0.007755,-0.019083,1
-0.034047,-0.010721,0.047855,0.011711,-0.012103,0.005303,0.009416,-0.017414,1
-0.002997,-0.007056,0.000315,0.002147,-0.014354,-0.011167,0.012578,0.020535,1
-0.070088,-0.083225,0.008439,0.019877,0.030291,0.038497,0.034633,0.021576,2
-0.106783,-0.141003,-0.026637,0.019067,0.056926,0.067777,0.093953,0.036701,2
-0.092596,-0.105675,0.035062,0.047081,0.045673,0.01702,0.028085,0.025351,2
-0.040787,-0.051997,0.025362,0.014796,-0.006324,0.008994,0.023956,0.026001,2
-0.085813,-0.083607,0.015546,0.046436,0.020141,0.041492,0.035873,0.009932,2
-0.064072,-0.040359,0.046314,0.016528,0.002072,0.014377,0.021651,0.003489,2
-0.063341,-0.070765,0.008162,0.019567,0.047241,0.029454,0.010206,0.019476,2
-0.059241,-0.073042,-0.003827,-0.001767,0.041203,0.042323,0.040835,0.013515,3
-0.076877,-0.092491,0.0018,0.003731,0.02778,0.043427,0.048131,0.044499,3
-0.013528,-0.06308,-0.001839,0.026367,0.027219,-0.031476,-0.00411,0.060446,2
-0.066122,-0.01278,0.032586,0.010585,0.016735,0.011107,0.006772,0.001118,2
-0.117789,-0.118569,0.048178,0.081997,0.046335,0.008146,0.011025,0.040676,2
-0.134444,-0.119395,0.009255,0.077447,0.081629,0.056858,0.032512,-0.003862,2
-0.067957,-0.028671,0.042571,0.031523,0.007992,0.01197,0.008089,-0.005518,2
-0.05023,-0.03466,0.030239,0.014923,-0.006521,-0.001536,0.005901,0.041883,2
-0.092287,-0.086097,-0.002013,0.018006,0.04855,0.049782,0.047472,0.016587,2
-0.028551,-0.057022,0.004329,0.02302,0.005003,-0.003905,0.021149,0.035977,2
-0.101424,-0.083893,0.049735,0.034771,0.03142,0.027107,0.031315,0.010968,2
-0.069551,-0.055488,0.023336,0.043961,0.032432,0.013104,0.004144,0.008061,2
-0.037573,-0.057727,-0.012135,0.003404,0.016604,0.019065,0.036665,0.031699,1
0.002553,-0.006674,-0.021824,0.00816,0.012979,0.006551,-0.011946,0.0102,1
-0.091263,-0.07563,0.015917,0.041501,0.058691,0.034572,0.009968,0.006244,2
