@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute target {1,2}

@data
-0.33766,-0.292355,1.148604,-0.117408,-0.326334,-0.256373,-0.065656,-0.320584,0.589872,0.118352,0.784422,-0.054156,-0.059906,-0.057989,-0.292791,-0.518009,0.03689,-0.08674,0.341653,-0.321542,0.351237,-0.019654,-0.078115,0.333986,-0.072365,-0.518009,-0.119325,-0.08674,0.22569,-0.518009,0.38478,0.394364,0.164354,-0.268832,-0.127951,-0.274582,0.255399,-0.000487,-0.011029,0.155728,0.639708,0.139436,-0.310042,0.212272,-0.112617,-0.044572,-0.290874,-0.223788,0.198855,-0.123159,-0.10495,2
-0.14431,-0.353115,-0.353115,-0.096086,-0.353115,-0.353115,0.150004,0.438751,0.134692,0.352346,0.081099,0.714372,0.5175,0.144536,0.660779,-0.078587,-0.055618,-0.353115,0.0286,0.610467,-0.062181,-0.054524,0.495625,0.127036,-0.353115,-0.353115,-0.042493,-0.353115,-0.353115,-0.353115,-0.040306,-0.049056,-0.109211,0.238597,-0.353115,-0.029369,-0.353115,0.594061,0.4825,-0.353115,-0.064368,-0.353115,0.364377,-0.072024,0.018756,-0.121242,-0.353115,-0.046868,0.419064,0.19266,-0.353115,1
0.33229,0.001222,0.365521,-0.316102,0.031581,-0.037131,-0.316102,0.19649,-0.316102,-0.013769,-0.001401,0.577155,-0.316102,0.316049,-0.316102,-0.316102,-0.316102,-0.316102,-0.316102,0.283067,-0.316102,0.409497,-0.316102,-0.023389,-0.316102,-0.035757,-0.316102,-0.019266,0.692591,-0.037131,0.886359,-0.016518,0.004096,-0.316102,-0.015143,0.019213,-0.316102,-0.316102,1.250533,0.158011,0.387509,-0.019266,0.127778,0.116784,-0.016518,-0.011021,-0.316102,-0.316102,-0.316102,0.379264,-0.316102,1
-0.30618,-0.121536,-0.531138,-0.055742,0.060447,0.246703,0.142931,0.622763,0.07109,-0.155078,-0.312953,-0.065498,-0.531138,-0.531138,-0.274814,-0.219825,-0.08235,0.374421,0.323866,-0.531138,-0.531138,0.069316,0.354022,-0.345769,-0.025586,0.661788,0.180183,0.631632,-0.000752,-0.281023,0.081733,0.135836,-0.072593,-0.07348,-0.095654,-0.058403,-0.345769,-0.135566,-0.343108,-0.092993,-0.141774,-0.017604,0.111002,0.62365,-0.118714,0.363778,-0.151531,-0.038003,0.485288,0.300806,0.789506,1
0.00704,0.003903,-0.219283,-0.084713,-0.352991,0.032605,0.043819,0.239636,-0.145097,0.166312,0.081775,0.331938,0.032605,-0.360755,-0.346953,0.042094,-0.164075,0.029154,-0.14941,0.21807,-0.421139,-0.355579,0.015352,0.090401,-0.139059,0.526892,0.015352,-0.416826,-0.038994,-0.206344,-0.413375,0.150785,0.410437,-0.089026,0.607117,0.015352,0.292257,0.484623,0.555359,-0.353854,0.343152,0.424239,-0.350403,-0.039856,-0.121806,0.051583,-0.21152,0.534656,-0.19513,-0.593665,0.022253,2
0.613497,-0.240247,0.381446,0.2252,-0.240247,-0.240247,-0.240247,0.134743,-0.240247,0.121585,-0.240247,0.133098,-0.240247,-0.240247,-0.240247,-0.240247,0.212043,0.182439,-0.240247,-0.240247,-0.240247,0.090336,0.192307,1.082084,-0.240247,0.346908,-0.240247,0.096915,-0.240247,-0.240247,0.481772,-0.240247,-0.240247,0.12323,-0.240247,-0.240247,-0.240247,-0.240247,0.312369,0.190662,0.152834,-0.240247,0.139677,-0.240247,-0.240247,-0.240247,0.190662,0.17257,0.144611,0.539336,0.189017,1
0.183273,-0.429507,-0.194056,-0.429507,-0.206557,-0.091957,0.037229,0.144537,0.333106,0.036187,0.035145,0.572725,-0.19093,-0.152383,-0.191972,0.133076,-0.085706,-0.218018,0.411243,0.503965,-0.148215,0.103905,0.899857,1.302001,0.483129,-0.218018,-0.206557,-0.150299,-0.429507,-0.147174,0.008058,0.121616,0.250802,0.125784,-0.429507,-0.429507,-0.123212,0.229966,-0.429507,0.04348,-0.211767,-0.16801,-0.176345,0.84985,-0.215934,-0.157592,-0.429507,0.087236,0.007016,-0.429507,-0.187805,1
0.003117,-0.358378,0.350808,0.019596,-0.304024,-0.087645,0.617487,-0.550773,-0.037346,-0.323954,0.051863,-0.110421,0.405852,-0.329648,-0.068664,-0.550773,-0.123708,0.138225,0.075589,-0.089543,0.360299,-0.05253,0.703849,0.530176,-0.10188,0.514042,0.061353,-0.090492,0.417241,-0.550773,-0.081001,0.794007,0.160053,0.26065,0.353656,-0.039244,-0.03355,-0.550773,0.534921,-0.128453,0.080334,0.079385,-0.333444,-0.341036,-0.550773,-0.31826,-0.353374,0.141072,0.117346,-0.15123,-0.123708,1
0.186463,0.243433,0.23342,-0.207146,-0.207146,-0.207146,-0.207146,-0.207146,-0.207146,-0.207146,-0.207146,-0.207146,-0.207146,-0.207146,-0.207146,0.182147,-0.207146,-0.207146,-0.207146,-0.207146,-0.207146,0.222026,0.258107,0.353057,0.444208,0.178349,0.178349,0.241016,0.571441,0.241016,0.216329,0.349259,0.206834,-0.207146,0.322673,-0.207146,-0.207146,-0.207146,-0.207146,-0.207146,0.618915,-0.207146,-0.207146,-0.207146,-0.207146,-0.207146,0.423319,0.313178,0.187844,-0.207146,-0.207146,1
0.530286,0.065084,-0.127222,0.167041,0.248473,-0.066149,0.274383,-0.294712,0.260502,0.040267,-0.528827,-0.528827,-0.333576,-0.054119,-0.090208,-0.328024,-0.30304,-0.307667,-0.043015,-0.234563,-0.10964,-0.528827,-0.313219,0.180922,0.85273,0.543661,0.024536,-0.2651,-0.021731,0.718554,0.588078,0.694494,0.167967,-0.021731,0.356739,0.07358,-0.34283,-0.122595,-0.315995,-0.113342,0.308621,0.17722,-0.1337,-0.094835,0.197578,0.089311,-0.313219,0.07173,-0.528827,-0.126297,-0.099461,1
