@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute target {1,2,3}

@data
-0.001798,0.000252,0.009915,0.025368,0.037932,0.050893,0.064741,0.080627,0.093459,0.109882,0.118938,0.12256,0.118903,0.12103,0.128361,0.123999,0.117731,0.102105,0.076643,0.076519,0.068522,0.032972,0.024331,0.020861,0.007721,-0.007715,-0.027443,-0.04749,-0.058485,-0.071044,-0.085318,-0.096386,-0.100932,-0.111613,-0.114845,-0.120061,-0.1231,-0.126331,-0.134598,-0.130942,-0.133463,-0.135208,-0.133349,0.014591,0.014135,1
-0.000684,0.002118,0.013081,0.027383,0.038709,0.052327,0.066229,0.080867,0.094249,0.110996,0.116847,0.118589,0.119603,0.126515,0.133373,0.129874,0.121344,0.10657,0.080781,0.075216,0.067462,0.033074,0.026777,0.02027,0.005327,-0.010506,-0.029288,-0.048225,-0.05955,-0.073114,-0.08842,-0.098017,-0.102419,-0.113838,-0.117158,-0.122947,-0.125496,-0.128133,-0.136135,-0.133447,-0.135879,-0.136554,-0.134577,0.01495,0.014834,1
-0.002673,0.001217,0.013821,0.028659,0.038545,0.05105,0.064375,0.079487,0.092928,0.107849,0.114991,0.116414,0.112896,0.121476,0.12916,0.12384,0.118792,0.107814,0.078189,0.072685,0.067233,0.035743,0.029478,0.02378,0.009097,-0.006966,-0.026386,-0.045955,-0.057408,-0.071272,-0.085658,-0.094805,-0.099806,-0.111422,-0.114556,-0.120493,-0.123397,-0.126201,-0.135608,-0.133267,-0.135351,-0.136282,-0.135997,0.013386,0.013263,1
0.000528,0.002519,0.011347,0.025771,0.037927,0.051879,0.066169,0.080679,0.092251,0.106566,0.114706,0.117547,0.110604,0.118271,0.126874,0.124122,0.120075,0.104004,0.076081,0.076242,0.06867,0.031726,0.027072,0.024174,0.009748,-0.006081,-0.02577,-0.046736,-0.057909,-0.070525,-0.085095,-0.094242,-0.098382,-0.110184,-0.114448,-0.120526,-0.123242,-0.126682,-0.135854,-0.132726,-0.134509,-0.135587,-0.134496,0.015033,0.015458,1
0.000497,0.002483,0.012998,0.028012,0.038919,0.051895,0.065424,0.079193,0.09092,0.105676,0.114561,0.11614,0.107532,0.116749,0.12933,0.126501,0.119336,0.104687,0.077255,0.073398,0.068218,0.038205,0.028773,0.0229,0.00908,-0.006335,-0.025479,-0.045333,-0.056625,-0.069389,-0.084348,-0.095209,-0.100676,-0.112015,-0.114327,-0.119862,-0.123797,-0.126794,-0.135306,-0.132256,-0.134235,-0.135896,-0.135021,0.012942,0.013972,1
0.000668,0.002194,0.012678,0.027695,0.038716,0.050894,0.063684,0.07733,0.089299,0.106052,0.11413,0.119302,0.11592,0.116123,0.123297,0.121071,0.117117,0.10638,0.081648,0.075321,0.068657,0.036663,0.025894,0.021728,0.008554,-0.0078,-0.026708,-0.045084,-0.055715,-0.069168,-0.084772,-0.094441,-0.098989,-0.110242,-0.113318,-0.119348,-0.122762,-0.126648,-0.135373,-0.132295,-0.134327,-0.135287,-0.134967,0.013897,0.015242,1
0.001927,0.004808,0.014856,0.028179,0.039727,0.053457,0.065961,0.079834,0.091546,0.105067,0.112206,0.11469,0.108772,0.115343,0.126146,0.122273,0.116602,0.104678,0.076424,0.072906,0.066617,0.030231,0.023826,0.021805,0.008161,-0.007043,-0.025571,-0.045372,-0.056937,-0.06952,-0.084445,-0.094707,-0.099355,-0.110024,-0.112744,-0.118379,-0.121802,-0.124635,-0.132551,-0.129484,-0.132378,-0.134732,-0.134408,0.015209,0.015948,1
0.000735,0.003087,0.013629,0.028711,0.039699,0.051246,0.064975,0.079564,0.091577,0.106704,0.113638,0.115985,0.112302,0.120005,0.127632,0.124053,0.119268,0.105115,0.074168,0.073334,0.069267,0.033083,0.02605,0.022285,0.007896,-0.008191,-0.026757,-0.046181,-0.056909,-0.070016,-0.085121,-0.094872,-0.099387,-0.110429,-0.113354,-0.119146,-0.122122,-0.125529,-0.134659,-0.131558,-0.133933,-0.135376,-0.135408,0.013141,0.01457,1
0.005995,0.006871,0.0159,0.031364,0.042204,0.053721,0.066355,0.07815,0.089323,0.104145,0.110311,0.113874,0.110269,0.116421,0.122902,0.116706,0.112807,0.100956,0.074502,0.070368,0.063691,0.028803,0.021887,0.019442,0.005796,-0.009324,-0.027136,-0.04634,-0.05617,-0.067624,-0.082425,-0.091926,-0.096538,-0.108148,-0.110772,-0.116522,-0.120036,-0.123532,-0.132057,-0.128544,-0.130961,-0.132639,-0.132116,0.01658,0.016802,1
0.004196,0.006026,0.014582,0.028926,0.040493,0.051992,0.063273,0.078479,0.09038,0.102202,0.109769,0.111259,0.107954,0.115756,0.12231,0.118091,0.111305,0.10161,0.078138,0.074104,0.067036,0.032617,0.024128,0.020394,0.007951,-0.007086,-0.026641,-0.045953,-0.056017,-0.068263,-0.082767,-0.092125,-0.096552,-0.107459,-0.109877,-0.115586,-0.119016,-0.123183,-0.132338,-0.129103,-0.131546,-0.13355,-0.133534,0.015201,0.015493,1
