@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute target {1,2}

@data
0.089958,-0.010333,-0.065331,-0.147505,-0.19021,-0.300531,-0.409072,-0.449997,-0.473129,-0.52473,-0.624374,-0.640389,-0.57989,-0.506937,-0.448218,-0.369926,-0.288075,-0.222239,-0.124374,0.000182,0.083812,0.194132,0.341819,0.468154,0.567798,0.626517,0.640752,0.699471,0.736837,0.537549,0.459257,0.375627,0.291997,0.259968,1
0.136159,0.082368,0.018118,-0.007284,-0.110831,-0.150278,-0.153565,-0.281767,-0.375453,-0.406681,-0.428048,-0.444484,-0.454346,-0.424761,-0.36066,-0.285054,-0.199586,-0.102613,-0.008927,0.055174,0.114344,0.168583,0.24912,0.354311,0.40855,0.431561,0.424986,0.387183,0.341162,0.296784,0.250763,0.203099,0.147216,0.101195,1
0.174555,0.155951,0.096422,0.110932,-0.024127,-0.126444,-0.085517,-0.011848,0.012708,-0.028219,-0.040497,-0.036405,-0.011848,-0.032312,-0.020034,0.029078,-0.003663,-0.052775,-0.077331,-0.097795,-0.101887,-0.085517,-0.077331,-0.065053,-0.060961,-0.065053,-0.040497,-0.032312,-0.007756,0.041356,0.07819,0.110932,0.155951,0.176415,2
-0.000164,0.020896,0.013876,-0.033859,-0.006833,-0.03772,-0.014555,-0.006833,-0.010694,-0.010694,-0.049303,-0.103357,-0.130384,-0.141967,-0.130384,-0.033859,-0.002972,-0.010694,0.000889,0.024055,0.012472,0.024055,0.035638,0.035638,0.039499,0.016333,-0.002972,0.00475,0.027916,0.047221,0.058804,0.097414,0.120579,0.143745,2
0.362311,0.318577,0.239519,0.210923,0.135061,0.094354,0.0666,-0.018514,-0.042568,-0.086975,-0.168388,-0.236849,-0.288657,-0.312711,-0.342316,-0.379322,-0.410777,-0.30531,-0.353418,-0.334915,-0.36637,-0.266454,-0.164687,-0.127681,-0.046268,0.033295,0.144313,0.240528,0.266432,0.303438,0.358947,0.43666,0.482917,0.466265,1
0.370713,0.361626,0.348904,0.237132,0.203146,0.133175,0.039214,0.029218,-0.008766,-0.078737,-0.19269,-0.198688,-0.230674,-0.268659,-0.278654,-0.424594,-0.462578,-0.454582,-0.446585,-0.424594,-0.378613,-0.326635,-0.272657,-0.204685,-0.12072,-0.034755,0.057207,0.183155,0.29111,0.379074,0.469036,0.50902,0.543006,0.545005,1
-0.060666,-0.057877,-0.094128,-0.042819,-0.024414,0.003193,0.003193,0.043069,0.043069,0.061474,0.049204,0.003193,-0.018279,0.033867,-0.052021,-0.082695,-0.055088,0.00626,0.073743,0.095215,0.150429,0.254722,0.190306,0.230182,0.144294,0.092148,0.021597,-0.104167,-0.107235,-0.122572,-0.159381,-0.18392,-0.171651,-0.140976,2
-0.067964,-0.020052,0.01455,-0.003816,0.025463,0.025463,0.004968,0.010824,0.01668,0.010824,0.010824,0.010824,0.004968,0.013752,0.019608,0.007896,0.01668,0.013752,0.019608,0.022536,0.019608,-0.003816,-0.006744,0.010824,-0.033095,-0.071158,-0.06823,-0.044806,-0.012599,0.010824,0.01668,0.019608,0.019608,-0.006744,2
0.109996,0.082188,-0.008653,0.068284,0.003026,-0.062231,-0.090781,-0.111174,-0.121371,-0.131567,-0.131567,-0.162156,-0.168274,-0.192746,-0.176431,-0.186628,-0.172353,-0.194785,-0.176431,-0.109135,-0.047956,-0.00921,0.029537,0.076441,0.129462,0.16617,0.196759,0.19472,0.235506,0.264056,0.229388,0.168209,0.139659,0.141698,1
0.045396,0.023944,-0.018959,-0.109821,-0.157015,-0.199152,-0.219378,-0.217692,-0.199152,-0.258144,-0.305337,-0.290168,-0.269942,-0.269942,-0.268256,-0.24466,-0.21095,-0.17387,-0.123305,-0.044088,0.026702,0.095807,0.186823,0.249185,0.276153,0.293008,0.323347,0.353685,0.350314,0.346943,0.313234,0.26604,0.230645,0.193565,1
