@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute target {1,2}

@data
0.011918,0.009406,0.006912,0.004537,0.002218,-0.000117,-0.002358,-0.004581,-0.007039,-0.009484,-0.011814,-0.014168,-0.016314,-0.018298,-0.020186,-0.021861,-0.023446,-0.025018,-0.026389,-0.027875,-0.029166,-0.030346,-0.031251,-0.031696,-0.031821,-0.031484,-0.030688,-0.029573,-0.028041,-0.026099,-0.023663,-0.020958,-0.018016,-0.014858,-0.011563,-0.008374,-0.005052,-0.001604,0.002066,0.005847,0.009821,0.014081,0.018457,0.02298,0.027556,0.0324,0.037499,0.042673,0.047959,0.053411,1
0.07461,0.072537,0.070156,0.067626,0.065214,0.062842,0.060321,0.057804,0.055302,0.052805,0.050315,0.047808,0.045328,0.04279,0.040187,0.03766,0.035277,0.03312,0.03114,0.029562,0.02825,0.027322,0.026547,0.026008,0.025932,0.026196,0.026775,0.027755,0.029271,0.031106,0.032923,0.034854,0.037001,0.039406,0.041983,0.044485,0.046701,0.048605,0.050533,0.052403,0.054268,0.056094,0.057894,0.059597,0.061362,0.063177,0.065027,0.066894,0.068836,0.070735,1
-0.030012,-0.035991,-0.041862,-0.047646,-0.052989,-0.05808,-0.062984,-0.067926,-0.072857,-0.077601,-0.082059,-0.086119,-0.089775,-0.093215,-0.09666,-0.100169,-0.103429,-0.106327,-0.108855,-0.11104,-0.112823,-0.114217,-0.115275,-0.115883,-0.116172,-0.116057,-0.11558,-0.11469,-0.113419,-0.111797,-0.109761,-0.107356,-0.104556,-0.101394,-0.097865,-0.093926,-0.089612,-0.084984,-0.07991,-0.074371,-0.068448,-0.062259,-0.055933,-0.04965,-0.043412,-0.037139,-0.030875,-0.024622,-0.01834,-0.012101,1
0.016244,0.016353,0.016119,0.015558,0.014809,0.014035,0.013443,0.012954,0.012522,0.012024,0.011273,0.010369,0.009339,0.008346,0.007286,0.006153,0.005063,0.003901,0.002862,0.001673,0.000451,-0.000148,-0.000161,0.000082,0.000324,0.001094,0.001778,0.002645,0.003481,0.004464,0.005477,0.006728,0.008132,0.009791,0.011689,0.014003,0.01668,0.019609,0.023022,0.026571,0.030149,0.033971,0.037805,0.041749,0.045801,0.05005,0.054578,0.059181,0.063973,0.069059,1
0.116273,0.112301,0.107807,0.102864,0.097731,0.092585,0.087421,0.082154,0.076892,0.071622,0.066359,0.061067,0.055935,0.051151,0.046763,0.042637,0.03867,0.034978,0.031129,0.02708,0.023009,0.018866,0.014653,0.010398,0.006055,0.001605,-0.002969,-0.007633,-0.012346,-0.016846,-0.021258,-0.025695,-0.030158,-0.034687,-0.039301,-0.044021,-0.048837,-0.05375,-0.058738,-0.063855,-0.069233,-0.074688,-0.079816,-0.084546,-0.088734,-0.092536,-0.095883,-0.098573,-0.100678,-0.102184,1
0.101386,0.097415,0.093081,0.088449,0.083873,0.079241,0.074617,0.069973,0.065271,0.060812,0.0566,0.052679,0.048953,0.045537,0.042439,0.039665,0.037129,0.034942,0.033053,0.031453,0.030182,0.029248,0.028211,0.027044,0.025892,0.024618,0.023353,0.021973,0.020589,0.019106,0.01743,0.01575,0.01398,0.012206,0.010404,0.008434,0.006391,0.00421,0.002017,-0.00011,-0.002258,-0.004465,-0.006729,-0.009018,-0.011414,-0.01386,-0.016333,-0.018885,-0.021561,-0.024278,1
-0.01541,-0.019345,-0.023203,-0.027115,-0.031063,-0.034927,-0.03895,-0.043054,-0.047416,-0.051943,-0.056463,-0.061007,-0.065716,-0.070561,-0.075513,-0.080289,-0.084816,-0.088914,-0.092693,-0.096035,-0.098939,-0.101509,-0.103434,-0.10495,-0.106098,-0.106942,-0.107334,-0.107226,-0.106835,-0.106099,-0.105267,-0.103934,-0.102238,-0.100166,-0.09762,-0.094783,-0.091655,-0.088177,-0.08422,-0.079932,-0.075073,-0.069909,-0.064571,-0.059151,-0.053724,-0.048226,-0.042669,-0.036797,-0.030618,-0.024417,1
0.044096,0.043367,0.042304,0.041195,0.040012,0.038584,0.03721,0.035842,0.034374,0.032875,0.031324,0.029721,0.028205,0.026575,0.025018,0.023541,0.022215,0.021007,0.020013,0.019253,0.018892,0.01863,0.018582,0.018582,0.018899,0.019417,0.019977,0.020742,0.021632,0.022638,0.023945,0.02559,0.027408,0.029305,0.031267,0.03347,0.035643,0.03786,0.040055,0.042435,0.044841,0.047285,0.049658,0.0521,0.054527,0.057051,0.059589,0.062164,0.064786,0.067311,1
-0.005605,-0.013387,-0.020941,-0.028304,-0.035587,-0.042554,-0.049201,-0.055475,-0.06138,-0.066971,-0.072261,-0.077385,-0.082139,-0.086598,-0.090836,-0.094686,-0.098103,-0.101242,-0.104064,-0.106515,-0.108676,-0.11035,-0.111728,-0.112689,-0.113348,-0.113635,-0.1136,-0.113286,-0.112639,-0.111714,-0.110396,-0.10869,-0.106607,-0.104116,-0.101274,-0.098081,-0.094404,-0.090408,-0.08601,-0.081326,-0.076253,-0.070792,-0.065001,-0.058964,-0.052551,-0.045774,-0.038637,-0.03111,-0.023455,-0.015667,1
0.042622,0.03581,0.028895,0.021942,0.014933,0.007941,0.000965,-0.006034,-0.012784,-0.019316,-0.025551,-0.031504,-0.03707,-0.042329,-0.047327,-0.051996,-0.056355,-0.060381,-0.064039,-0.067355,-0.070245,-0.072708,-0.074718,-0.076333,-0.077568,-0.078371,-0.078753,-0.078809,-0.078434,-0.077706,-0.07696,-0.076224,-0.0755,-0.074788,-0.074059,-0.073342,-0.072668,-0.071955,-0.071253,-0.070543,-0.069857,-0.069144,-0.068372,-0.067387,-0.066209,-0.064866,-0.063364,-0.061818,-0.059969,-0.057816,1
