@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute target {1,2}

@data
0.197982,0.193056,0.187889,0.182722,0.177716,0.172966,0.168634,0.164562,0.160595,0.156789,0.153032,0.149297,0.145552,0.141741,0.137983,0.134289,0.130594,0.126931,0.123311,0.119659,0.115946,0.112252,0.108597,0.104958,0.101417,0.097998,0.094617,0.091195,1
0.198536,0.193644,0.188618,0.183459,0.178419,0.173601,0.169149,0.164947,0.160851,0.156864,0.15284,0.148794,0.144735,0.140656,0.136721,0.132915,0.129146,0.125453,0.121805,0.11812,0.114342,0.110564,0.106941,0.10336,0.099751,0.096213,0.092725,0.089189,1
0.202829,0.197644,0.192096,0.186241,0.180591,0.17536,0.170396,0.165798,0.16146,0.157209,0.152993,0.148765,0.144593,0.14051,0.136456,0.132324,0.128149,0.124013,0.119886,0.115765,0.111613,0.107446,0.103344,0.099311,0.095407,0.091626,0.087855,0.084047,1
0.199024,0.194026,0.188826,0.183534,0.17832,0.173252,0.16851,0.164096,0.159819,0.155644,0.151481,0.147316,0.143177,0.139017,0.134825,0.130819,0.126961,0.123097,0.11917,0.115254,0.111351,0.10743,0.103573,0.099827,0.096206,0.092648,0.089056,0.085455,1
0.191515,0.186967,0.182194,0.177389,0.172746,0.168424,0.164481,0.16086,0.157366,0.153916,0.150511,0.147115,0.143812,0.140508,0.137148,0.133813,0.130483,0.127187,0.123893,0.120518,0.117143,0.113826,0.110527,0.107276,0.10411,0.101045,0.098006,0.094914,1
0.210744,0.205089,0.199346,0.193501,0.187799,0.182374,0.177179,0.172317,0.167692,0.1631,0.158536,0.154054,0.149489,0.144828,0.140244,0.135848,0.131597,0.127414,0.123213,0.118959,0.114733,0.110518,0.106386,0.102366,0.098357,0.094362,0.090378,0.086312,1
0.194774,0.189862,0.184729,0.179337,0.174056,0.16915,0.164621,0.160341,0.156203,0.152245,0.148367,0.144497,0.140594,0.136632,0.132713,0.128907,0.125151,0.121472,0.117874,0.114243,0.110542,0.106808,0.103075,0.099457,0.09598,0.092617,0.089276,0.085836,1
0.203145,0.1979,0.192164,0.186276,0.180726,0.175453,0.170481,0.165804,0.161244,0.156784,0.152369,0.148016,0.14378,0.139599,0.135413,0.131201,0.126982,0.122879,0.118828,0.114732,0.110566,0.106408,0.102305,0.098266,0.094354,0.09051,0.086647,0.082705,1
0.188064,0.183645,0.179025,0.174397,0.169901,0.165608,0.161577,0.157732,0.154114,0.150613,0.146999,0.143356,0.139737,0.136176,0.132665,0.12928,0.126001,0.122696,0.119442,0.11621,0.112905,0.109593,0.106394,0.103284,0.100187,0.097113,0.093965,0.090698,1
0.193894,0.189585,0.184927,0.180241,0.175826,0.171784,0.168095,0.164538,0.161127,0.157837,0.154546,0.151231,0.147862,0.144511,0.141255,0.13805,0.134813,0.131561,0.128337,0.125083,0.121734,0.118369,0.115027,0.111776,0.108614,0.105456,0.102254,0.099002,1
0.178741,0.174943,0.171014,0.167018,0.163057,0.159365,0.155977,0.152794,0.14968,0.146568,0.143482,0.140437,0.13735,0.134268,0.131286,0.128396,0.125598,0.122845,0.120056,0.117237,0.114444,0.111674,0.108909,0.106235,0.103627,0.100992,0.098261,0.095426,1
0.191405,0.187078,0.182515,0.178063,0.173803,0.169918,0.16643,0.163167,0.160007,0.156864,0.153772,0.150713,0.147616,0.14449,0.141343,0.138153,0.134991,0.131828,0.128558,0.125245,0.121914,0.118628,0.115409,0.112253,0.109147,0.10604,0.102932,0.099806,1
0.184041,0.179892,0.17558,0.171209,0.16705,0.163251,0.159746,0.156495,0.153441,0.150423,0.147429,0.144438,0.14134,0.138246,0.135182,0.132102,0.129039,0.126025,0.123034,0.119982,0.116873,0.113761,0.110682,0.107659,0.104718,0.101827,0.09891,0.095944,1
0.179509,0.175363,0.171064,0.166802,0.162783,0.159116,0.155761,0.152573,0.149501,0.146474,0.143448,0.140465,0.137495,0.134539,0.131642,0.128756,0.125833,0.122887,0.119919,0.11688,0.113797,0.110728,0.107698,0.104715,0.101786,0.098903,0.096007,0.093061,1
0.191342,0.186571,0.181556,0.176546,0.171705,0.167118,0.162951,0.159081,0.155348,0.151692,0.148055,0.144418,0.14078,0.137122,0.133522,0.130056,0.126717,0.123416,0.120106,0.116829,0.113536,0.110198,0.106891,0.103719,0.100695,0.097797,0.094939,0.091982,2
0.19718,0.191855,0.186324,0.180942,0.175847,0.17098,0.166447,0.162201,0.158031,0.153955,0.149926,0.145925,0.14192,0.137879,0.133875,0.129906,0.126006,0.122127,0.118209,0.114264,0.110313,0.1064,0.10257,0.098847,0.09521,0.091642,0.088125,0.084569,2
0.185432,0.180931,0.176215,0.171439,0.166801,0.162475,0.158429,0.154662,0.151137,0.147737,0.144384,0.14095,0.137429,0.133886,0.130351,0.126992,0.123836,0.120712,0.117611,0.114571,0.111517,0.108449,0.105453,0.10256,0.099763,0.097035,0.094294,0.091508,2
0.185059,0.180663,0.176016,0.171279,0.166728,0.162516,0.158609,0.155006,0.151605,0.14826,0.144926,0.141568,0.138163,0.134739,0.13136,0.128101,0.12497,0.121897,0.118819,0.115762,0.112718,0.109685,0.106708,0.103829,0.101065,0.098362,0.095649,0.09286,2
0.195816,0.191159,0.186237,0.181146,0.176208,0.171587,0.167388,0.16348,0.159697,0.156,0.152341,0.148651,0.14486,0.141,0.137243,0.133614,0.13006,0.126564,0.123008,0.119448,0.115907,0.112395,0.108939,0.105549,0.102315,0.099137,0.095965,0.09277,2
0.203148,0.197691,0.191863,0.185993,0.180439,0.175193,0.170266,0.16572,0.161395,0.157136,0.152837,0.148477,0.144006,0.139515,0.135159,0.130955,0.12684,0.122775,0.11873,0.11464,0.110478,0.106359,0.102321,0.098343,0.094533,0.0908,0.087023,0.083216,2
0.203708,0.198675,0.193402,0.187835,0.18226,0.17721,0.172549,0.16812,0.163872,0.159667,0.15548,0.151302,0.147091,0.142938,0.138886,0.13492,0.131026,0.127153,0.12321,0.119207,0.115238,0.111274,0.107376,0.103577,0.09983,0.096143,0.092429,0.088609,2
0.187163,0.18294,0.178553,0.174257,0.170051,0.16604,0.162324,0.158796,0.155374,0.152027,0.14873,0.145413,0.142036,0.138646,0.135352,0.132183,0.129073,0.125961,0.122835,0.119679,0.116561,0.113516,0.110545,0.107615,0.104718,0.101886,0.09902,0.096058,2
0.184267,0.180075,0.17557,0.170991,0.16654,0.162409,0.158617,0.155055,0.151635,0.148246,0.144829,0.141339,0.137769,0.13423,0.130807,0.127535,0.124409,0.121417,0.118496,0.115548,0.11263,0.109768,0.106929,0.104172,0.101483,0.098788,0.096063,0.093233,2
0.181715,0.177748,0.173652,0.169483,0.165377,0.161477,0.157884,0.154596,0.151451,0.148331,0.145164,0.141938,0.138624,0.135297,0.132099,0.129035,0.126081,0.123169,0.120259,0.117334,0.114393,0.111488,0.108656,0.105903,0.103219,0.100542,0.097802,0.094989,2
0.179124,0.175354,0.171295,0.167198,0.163244,0.1596,0.156284,0.153183,0.150213,0.147288,0.144331,0.141285,0.138123,0.134947,0.13194,0.129054,0.126242,0.123509,0.120817,0.118132,0.115472,0.112819,0.110195,0.107655,0.105161,0.102724,0.100269,0.097701,2
0.188092,0.183485,0.178567,0.173642,0.169001,0.164665,0.160663,0.156978,0.153416,0.149915,0.146398,0.142775,0.139061,0.135345,0.131761,0.128289,0.12492,0.121611,0.118309,0.114998,0.111686,0.108395,0.105119,0.101937,0.098872,0.095862,0.092849,0.089759,2
0.191861,0.187374,0.18272,0.178082,0.173684,0.169609,0.165809,0.162214,0.158763,0.155388,0.152047,0.148667,0.145179,0.141695,0.138286,0.134936,0.131655,0.128396,0.125109,0.121823,0.11855,0.115282,0.112036,0.108855,0.105749,0.102696,0.099671,0.096605,2
0.182015,0.178295,0.174279,0.170249,0.166389,0.162854,0.159643,0.156616,0.15366,0.150742,0.147852,0.144975,0.142056,0.139082,0.136148,0.133319,0.130562,0.127826,0.125084,0.122347,0.119618,0.116848,0.114092,0.111406,0.108783,0.106231,0.103666,0.101027,2
