@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute target {1,2,3,4}

@data
-0.106487,-0.112046,-0.117424,-0.122664,-0.127642,-0.132273,-0.136745,-0.140918,-0.144715,-0.148161,-0.15126,-0.153975,-0.156322,-0.158299,-0.159912,-0.161158,-0.162018,-0.162494,-0.162591,-0.162334,-0.161701,-0.160705,-0.159327,-0.157564,-0.155423,-0.152942,-0.150098,-0.146882,-0.143294,-0.139365,-0.135281,-0.130875,-0.126088,-0.121114,2
-0.142701,-0.14521,-0.147517,-0.149632,-0.151591,-0.153299,-0.154669,-0.155704,-0.156413,-0.156842,-0.156991,-0.156859,-0.15642,-0.155653,-0.154552,-0.153115,-0.151339,-0.1493,-0.147103,-0.144745,-0.142226,-0.139541,-0.136689,-0.133669,-0.130477,-0.127112,-0.12357,-0.119852,-0.115953,-0.11188,-0.107687,-0.103348,-0.098823,-0.094123,3
-0.109534,-0.114832,-0.119955,-0.124956,-0.129816,-0.134325,-0.138539,-0.142439,-0.145995,-0.149246,-0.152168,-0.154751,-0.157022,-0.158975,-0.160606,-0.161935,-0.16296,-0.163676,-0.164057,-0.16412,-0.163866,-0.163284,-0.162398,-0.161184,-0.15961,-0.15773,-0.155543,-0.153044,-0.150186,-0.147009,-0.143533,-0.139707,-0.135528,-0.131176,4
-0.132247,-0.135173,-0.137895,-0.140423,-0.142785,-0.144858,-0.146609,-0.148248,-0.149681,-0.150777,-0.151689,-0.152471,-0.152932,-0.153082,-0.152892,-0.152384,-0.151577,-0.150429,-0.149087,-0.147557,-0.145695,-0.14362,-0.141389,-0.138988,-0.136415,-0.133668,-0.130744,-0.127642,-0.124358,-0.120891,-0.117239,-0.113399,-0.10937,-0.105157,3
-0.123394,-0.126954,-0.130355,-0.133616,-0.136607,-0.139311,-0.141839,-0.144135,-0.146138,-0.147852,-0.149276,-0.1504,-0.151223,-0.151737,-0.151932,-0.151827,-0.151421,-0.150719,-0.149741,-0.148463,-0.146906,-0.145069,-0.142949,-0.140545,-0.137854,-0.134873,-0.131684,-0.128353,-0.124879,-0.12126,-0.117495,-0.113584,-0.109553,-0.105374,3
-0.112356,-0.11776,-0.122999,-0.128062,-0.132835,-0.137289,-0.141388,-0.145132,-0.148534,-0.151601,-0.154303,-0.156636,-0.158604,-0.160233,-0.161495,-0.16239,-0.16294,-0.163134,-0.162977,-0.162451,-0.161557,-0.160301,-0.158703,-0.156737,-0.154411,-0.151756,-0.148748,-0.145388,-0.141672,-0.137604,-0.133215,-0.128466,-0.123413,-0.118209,2
-0.114023,-0.119055,-0.123916,-0.128607,-0.133087,-0.13722,-0.141066,-0.144586,-0.147764,-0.150641,-0.153179,-0.155391,-0.157294,-0.158898,-0.16019,-0.161166,-0.161836,-0.162201,-0.162244,-0.16196,-0.161374,-0.160469,-0.159229,-0.157633,-0.155738,-0.153535,-0.151013,-0.148135,-0.144956,-0.141468,-0.137638,-0.133465,-0.128945,-0.124252,4
-0.127468,-0.131135,-0.134637,-0.137988,-0.141105,-0.143903,-0.146406,-0.148616,-0.150534,-0.152164,-0.153506,-0.154537,-0.155255,-0.155662,-0.155757,-0.155541,-0.155013,-0.154196,-0.153078,-0.151654,-0.149942,-0.147936,-0.145636,-0.143038,-0.14014,-0.136942,-0.133564,-0.130021,-0.126328,-0.122483,-0.118485,-0.11433,-0.110018,-0.105554,3
-0.110723,-0.115682,-0.120469,-0.125089,-0.129555,-0.133721,-0.137548,-0.141083,-0.144294,-0.147174,-0.149759,-0.152003,-0.153911,-0.155525,-0.156835,-0.157829,-0.158525,-0.158923,-0.159021,-0.158812,-0.158282,-0.157456,-0.156324,-0.154841,-0.153052,-0.150947,-0.148489,-0.145723,-0.142646,-0.13923,-0.135474,-0.131375,-0.126931,-0.122316,4
-0.131636,-0.134115,-0.136425,-0.138573,-0.140575,-0.1423,-0.143745,-0.145065,-0.146202,-0.147052,-0.147603,-0.147891,-0.147895,-0.147638,-0.147116,-0.146302,-0.145192,-0.143782,-0.142071,-0.140053,-0.137803,-0.13541,-0.132872,-0.130189,-0.127356,-0.124374,-0.121239,-0.117964,-0.114578,-0.111048,-0.107358,-0.103507,-0.099493,-0.095318,1
