@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute target {1,2,3}

@data
0.149822,0.147132,0.144443,0.141753,0.139056,0.136352,0.133643,0.130923,0.128195,0.125454,0.122696,0.11992,0.117124,0.114306,0.111459,0.10858,0.105668,0.102726,0.099751,0.096742,0.093706,0.090651,0.08759,0.08453,0.081461,0.078383,0.07529,0.072177,0.069037,0.065872,0.062681,0.059448,0.05617,0.052847,0.049481,0.046072,0.042619,0.039135,0.035626,0.0321,0.028581,0.025091,0.021641,0.018226,1
0.150227,0.147499,0.144775,0.142058,0.139338,0.136608,0.133871,0.131126,0.128374,0.125605,0.122817,0.120013,0.117189,0.114339,0.111461,0.108556,0.10562,0.102651,0.099645,0.096606,0.09354,0.090453,0.087352,0.08425,0.081141,0.078017,0.07488,0.071727,0.06855,0.065346,0.062108,0.058832,0.055514,0.052156,0.048755,0.04531,0.041818,0.038287,0.034735,0.031174,0.027626,0.024096,0.020594,0.017138,1
0.150758,0.148024,0.145291,0.142557,0.139816,0.137061,0.134303,0.131541,0.128772,0.125987,0.123184,0.120363,0.117513,0.114635,0.111731,0.1088,0.105841,0.102848,0.099818,0.096756,0.093669,0.090566,0.087454,0.084345,0.081236,0.078118,0.074989,0.071845,0.068681,0.065492,0.062271,0.059009,0.055703,0.052356,0.048969,0.045534,0.042051,0.038535,0.034997,0.031446,0.027904,0.024386,0.020902,0.017465,1
0.150678,0.147944,0.145215,0.142486,0.13975,0.137002,0.134246,0.131483,0.128714,0.125928,0.123125,0.120303,0.117461,0.114595,0.111698,0.108772,0.10582,0.102829,0.099804,0.096744,0.093659,0.090564,0.087464,0.084362,0.081257,0.078144,0.075021,0.071879,0.068716,0.065529,0.062315,0.059063,0.055761,0.052415,0.049026,0.045592,0.042116,0.038605,0.035066,0.031522,0.027989,0.024476,0.021003,0.017576,1
0.15064,0.147896,0.145157,0.142417,0.139669,0.13691,0.134151,0.131381,0.128599,0.125803,0.122988,0.120159,0.117311,0.11444,0.11154,0.108609,0.10565,0.102658,0.099629,0.096561,0.093465,0.090359,0.087247,0.084135,0.081022,0.077903,0.07477,0.071617,0.068446,0.065252,0.062025,0.058755,0.055446,0.052099,0.048706,0.045274,0.041801,0.038288,0.034752,0.031208,0.02767,0.024151,0.020667,0.017229,1
0.15014,0.147395,0.144654,0.141914,0.139164,0.136401,0.133635,0.130862,0.128084,0.125295,0.122492,0.119673,0.116834,0.113972,0.111079,0.108149,0.105189,0.102201,0.099177,0.096121,0.093038,0.089942,0.086843,0.083747,0.08065,0.077545,0.07443,0.071299,0.068145,0.064967,0.061761,0.058521,0.05524,0.051917,0.048546,0.045127,0.041667,0.038175,0.034665,0.031148,0.027639,0.024152,0.020697,0.017285,1
0.150739,0.147974,0.145211,0.142446,0.139673,0.136893,0.134107,0.131314,0.12851,0.125691,0.122857,0.120005,0.117135,0.114239,0.111317,0.108368,0.105386,0.102371,0.099319,0.096235,0.093129,0.090007,0.086881,0.083763,0.080642,0.077512,0.074375,0.07122,0.068041,0.064841,0.061617,0.058357,0.055051,0.051705,0.048313,0.044875,0.041393,0.037875,0.034333,0.030779,0.027236,0.023722,0.020241,0.016808,1
0.150675,0.147912,0.145155,0.142396,0.139633,0.136858,0.134072,0.131275,0.128474,0.125662,0.122832,0.119985,0.117117,0.114224,0.111298,0.108342,0.105363,0.102351,0.099299,0.096212,0.093111,0.089992,0.086864,0.083739,0.080609,0.077479,0.074339,0.071179,0.067995,0.064784,0.061548,0.058274,0.054959,0.051599,0.048193,0.044748,0.041265,0.037741,0.034193,0.030643,0.027098,0.023579,0.020097,0.016658,1
0.151216,0.148363,0.145506,0.142647,0.13978,0.136895,0.134001,0.131096,0.128175,0.125237,0.122281,0.119305,0.116306,0.113274,0.110206,0.107106,0.103977,0.100814,0.097613,0.094384,0.091143,0.087902,0.08467,0.081447,0.078235,0.075033,0.071827,0.068611,0.065381,0.062129,0.058855,0.055554,0.052219,0.048843,0.045423,0.041962,0.038459,0.034916,0.03135,0.027774,0.024195,0.020641,0.017122,0.01365,1
0.151033,0.148194,0.145356,0.142515,0.139662,0.136796,0.133918,0.131024,0.128118,0.125198,0.122258,0.119297,0.11631,0.113291,0.110235,0.10714,0.104015,0.100859,0.097666,0.094447,0.091216,0.087981,0.084753,0.081548,0.078352,0.075153,0.071952,0.068742,0.065525,0.06229,0.059027,0.055742,0.052426,0.049065,0.045657,0.042207,0.038719,0.035196,0.031642,0.028072,0.02451,0.02097,0.017464,0.014007,1
