@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute target {1,2}

@data
0.0814,0.07059,0.060395,0.050372,0.038705,0.025624,0.01149,2
0.083879,0.074756,0.066635,0.057519,0.047102,0.034393,0.019367,2
0.069446,0.062467,0.056726,0.050752,0.043573,0.034163,0.022888,1
0.076777,0.070064,0.063935,0.057214,0.048278,0.036551,0.02198,1
0.078323,0.070562,0.063273,0.055417,0.045966,0.034279,0.021487,1
0.076399,0.068119,0.060346,0.051739,0.041708,0.030055,0.017323,2
0.081861,0.071626,0.062235,0.053434,0.043945,0.032128,0.0182,1
0.101399,0.09439,0.083866,0.071823,0.058627,0.043696,0.026902,1
0.082226,0.07313,0.065197,0.056817,0.046844,0.034698,0.020196,1
0.073484,0.067231,0.060834,0.053492,0.044114,0.03425,0.022617,2
0.091397,0.07911,0.068642,0.058402,0.048146,0.036055,0.021644,1
0.07927,0.070328,0.061657,0.053406,0.043489,0.030922,0.014824,1
0.066924,0.057518,0.051434,0.045722,0.03911,0.03118,0.022293,1
0.067264,0.061452,0.057225,0.053515,0.04972,0.044113,0.034789,2
0.063601,0.060297,0.058895,0.057633,0.055427,0.050798,0.042707,2
0.08518,0.076492,0.068711,0.061087,0.051589,0.040975,0.028111,1
0.06554,0.058866,0.053656,0.049454,0.044725,0.039142,0.031988,2
0.068295,0.062007,0.056697,0.051632,0.045727,0.038752,0.029955,2
0.075219,0.068607,0.063163,0.057234,0.049944,0.041138,0.029526,1
0.086508,0.078414,0.07106,0.061954,0.050137,0.035795,0.018499,1
0.097677,0.088422,0.077693,0.065893,0.052718,0.038301,0.022115,1
0.073822,0.0646,0.057465,0.049581,0.04007,0.028869,0.01502,1
0.067907,0.062495,0.058271,0.052684,0.046538,0.039363,0.029328,1
0.076379,0.07065,0.065696,0.059482,0.052489,0.042897,0.030724,2
0.081834,0.069813,0.05997,0.049403,0.037281,0.023297,0.009178,2
0.07918,0.072989,0.06644,0.059912,0.050744,0.038927,0.02463,1
0.079818,0.070131,0.061831,0.052627,0.042639,0.030449,0.017565,1
0.087663,0.080574,0.073266,0.063838,0.051838,0.03621,0.0178,1
0.081272,0.072681,0.064951,0.05665,0.047192,0.035037,0.02019,1
0.065987,0.059114,0.053845,0.049487,0.044808,0.03918,0.032266,2
0.065281,0.058328,0.052803,0.047569,0.041406,0.034588,0.026949,2
0.079261,0.071208,0.063913,0.056243,0.047279,0.03632,0.023324,1
0.078265,0.071207,0.064335,0.056799,0.04804,0.037051,0.024181,2
0.06971,0.065189,0.061711,0.057604,0.051799,0.044332,0.033627,2
0.079625,0.074646,0.069109,0.062839,0.053936,0.042939,0.028792,1
0.080001,0.070333,0.06199,0.052582,0.043069,0.03175,0.019089,2
0.083879,0.072223,0.061009,0.049739,0.038439,0.025629,0.01111,2
0.084322,0.075046,0.066126,0.057681,0.047862,0.036716,0.023383,1
0.076585,0.067641,0.059525,0.050748,0.040603,0.029375,0.01704,1
0.054066,0.049813,0.046654,0.044147,0.040113,0.034327,0.02699,2
0.089744,0.078974,0.068512,0.0572,0.042986,0.025921,0.005433,1
0.071377,0.066102,0.061913,0.057084,0.05112,0.044179,0.035979,2
0.08743,0.079122,0.070585,0.061046,0.049992,0.03603,0.019063,1
0.063122,0.056927,0.053837,0.0498,0.04439,0.038169,0.030154,2
0.07299,0.066818,0.061143,0.054589,0.045883,0.035088,0.021588,1
0.076275,0.068447,0.060684,0.052446,0.042883,0.031474,0.018488,1
0.055474,0.051196,0.048292,0.044462,0.039601,0.033109,0.02395,1
0.076004,0.06922,0.062686,0.055043,0.046433,0.036006,0.023379,2
0.077061,0.069815,0.062837,0.054156,0.0436,0.029911,0.013535,1
0.091117,0.075686,0.060734,0.046326,0.031459,0.015845,0.000218,2
0.084136,0.073914,0.064372,0.054534,0.042342,0.026633,0.00947,2
0.088509,0.077992,0.06663,0.054435,0.04178,0.027382,0.012065,2
0.079387,0.070505,0.061595,0.052303,0.042916,0.031203,0.018222,2
0.072164,0.064073,0.057036,0.049493,0.040384,0.029433,0.017144,2
0.07552,0.064615,0.055205,0.045214,0.034721,0.022214,0.007738,1
0.078201,0.069233,0.060722,0.050631,0.039781,0.026158,0.010678,2
0.08005,0.072365,0.064574,0.055686,0.045311,0.033136,0.018576,2
0.084012,0.0744,0.06555,0.056107,0.044471,0.030883,0.015092,1
0.072029,0.06569,0.059837,0.053012,0.044234,0.033239,0.0214,2
0.078139,0.067029,0.057582,0.048248,0.038845,0.028253,0.01533,2
0.066098,0.057992,0.050731,0.043342,0.034847,0.025505,0.014773,2
0.081393,0.072565,0.064692,0.055037,0.043381,0.030417,0.014943,1
0.081333,0.073277,0.065525,0.056674,0.04618,0.033392,0.019354,2
0.081535,0.071425,0.061335,0.049996,0.036931,0.022123,0.004228,1
0.071876,0.065661,0.059829,0.052584,0.043841,0.033184,0.020368,2
