@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute target {1,2,3,4,5,6}

@data
0.067664,0.062241,0.057372,0.051994,0.044283,0.034137,0.01887,1
0.079827,0.072207,0.064941,0.056769,0.04771,0.036606,0.023477,1
0.072072,0.065978,0.061332,0.055482,0.047563,0.036812,0.023557,1
0.070313,0.064885,0.059817,0.054077,0.04622,0.036296,0.02257,1
0.072727,0.065807,0.059204,0.052438,0.043768,0.032764,0.018953,1
0.071289,0.064048,0.058445,0.052093,0.043936,0.034445,0.021698,1
0.083658,0.078603,0.072064,0.062719,0.049812,0.033359,0.01342,6
0.086333,0.078499,0.069841,0.058967,0.045011,0.028419,0.008315,6
0.084678,0.077597,0.069547,0.060247,0.048146,0.032792,0.014512,6
0.084897,0.078482,0.071097,0.061139,0.047836,0.031435,0.011346,6
0.086574,0.079059,0.070552,0.059502,0.046086,0.029771,0.00974,6
0.073152,0.06681,0.060499,0.054203,0.047553,0.03795,0.025794,1
0.083276,0.077657,0.070755,0.061137,0.048747,0.03277,0.013175,6
0.083746,0.077855,0.070864,0.061313,0.048498,0.032824,0.013579,6
0.084442,0.078265,0.070906,0.061097,0.048004,0.031655,0.01186,6
0.083699,0.078093,0.071355,0.062143,0.04946,0.033426,0.013917,6
0.08394,0.077779,0.070689,0.061079,0.048193,0.031975,0.012238,6
0.042349,0.043728,0.046606,0.049152,0.049222,0.044653,0.033197,4
0.066067,0.061951,0.05911,0.05516,0.049497,0.04188,0.031259,4
0.083969,0.078666,0.071973,0.062357,0.049277,0.032522,0.01253,6
0.084155,0.078373,0.071396,0.061617,0.048426,0.031809,0.011532,6
0.085489,0.078294,0.070044,0.059424,0.045751,0.028868,0.008778,6
0.083193,0.078224,0.071874,0.062488,0.050359,0.034434,0.01521,6
0.084551,0.078175,0.070554,0.060825,0.047853,0.031804,0.01268,6
0.061018,0.058222,0.055771,0.053266,0.049135,0.043063,0.034288,4
0.083617,0.07824,0.071543,0.062157,0.049298,0.032603,0.012476,6
0.085032,0.07841,0.07069,0.060511,0.047867,0.031694,0.011775,6
0.059582,0.05699,0.055585,0.053614,0.050108,0.044414,0.035403,4
0.057681,0.054552,0.052668,0.051204,0.04796,0.042774,0.033554,4
0.084944,0.078511,0.070952,0.060692,0.047968,0.031566,0.011489,6
0.083691,0.0783,0.07182,0.06252,0.049889,0.033823,0.013994,6
0.055072,0.052146,0.050314,0.047893,0.044859,0.040392,0.032342,4
0.084084,0.077993,0.070748,0.060858,0.047688,0.030996,0.010571,6
0.083805,0.077665,0.070454,0.060723,0.048435,0.032678,0.013345,6
0.083075,0.077911,0.071476,0.062474,0.050502,0.035031,0.015896,6
