@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute target {1,2}

@data
0.00922,0.013134,0.010375,0.009866,0.00878,0.007888,0.013458,0.020418,0.018767,0.014347,0.020007,0.021348,0.026155,0.028504,0.028347,0.024715,0.024219,0.027731,0.031336,0.030899,0.025603,0.020005,0.020058,0.019177,0.020166,0.018512,0.014703,0.018752,0.023365,0.021755,0.022952,0.029567,0.030906,0.025814,0.028168,0.021628,0.02406,0.027514,0.022048,0.021224,0.017802,0.017483,0.017241,0.019513,0.023295,0.018486,0.012103,0.008292,0.013014,1
-0.004864,-0.009793,-0.009378,-0.009584,-0.009652,-0.008846,-0.005459,-0.011743,-0.015987,-0.020451,-0.018054,-0.018174,-0.01948,-0.020004,-0.017999,-0.018543,-0.022528,-0.017461,-0.018821,-0.021648,-0.020607,-0.021758,-0.021299,-0.022272,-0.024347,-0.020339,-0.026074,-0.029263,-0.029604,-0.028156,-0.024861,-0.021382,-0.023268,-0.024486,-0.022344,-0.02056,-0.018585,-0.023051,-0.02771,-0.025923,-0.026287,-0.0294,-0.034702,-0.037352,-0.04056,-0.034889,-0.035901,-0.038712,-0.037042,1
-0.008626,-0.010579,-0.011248,-0.013067,-0.013226,-0.012846,-0.008624,-0.011116,-0.008678,-0.008378,-0.014789,-0.016452,-0.015224,-0.021442,-0.026721,-0.025093,-0.022334,-0.021221,-0.024472,-0.018671,-0.017673,-0.018596,-0.017462,-0.016999,-0.01799,-0.016829,-0.0155,-0.00921,-0.009063,-0.007756,-0.003585,-0.0032,-0.005347,-0.002783,-0.002246,-0.006118,-0.00575,-0.004909,-0.000576,-0.001393,0.004434,-0.000124,0.00168,0.000752,0.003333,-0.001454,-0.000693,0.000103,0.00493,1
-0.018915,-0.01708,-0.013405,-0.015887,-0.012164,-0.00969,-0.008092,-0.003938,-0.006314,-0.00686,-0.006229,-0.005268,-0.000632,0.003288,0.007647,0.010172,0.01487,0.018599,0.013778,0.010299,0.008574,0.004321,0.006116,0.003569,-0.00073,-0.000572,0.001761,0.001197,0.002968,-0.000088,-0.001055,-0.00099,-0.006052,-0.002972,0.00108,-0.003774,0.00087,0.001536,-0.004808,-0.005962,-0.006005,-0.00166,-0.005617,-0.006804,-0.007913,-0.004899,-0.003373,-0.002779,-0.004996,1
0.003411,0.000948,0.005868,0.002388,0.000581,-0.004116,-0.002288,0.002549,0.002467,0.001249,-0.000936,-0.001658,-0.003159,0.003344,0.00759,0.003223,0.002693,-0.000338,0.002405,0.005444,0.003854,0.001626,0.006399,0.001098,0.002985,0.005833,0.00727,0.009545,0.002158,0.003954,0.003097,0.000878,0.001583,0.005951,0.002119,-0.002067,-0.002933,-0.005027,-0.002338,0.001768,-0.000468,0.005447,0.001489,-0.000624,-0.001506,-0.004568,-0.000526,-0.001347,-0.003475,1
-0.004455,0.000521,0.000551,0.001581,-0.003125,-0.005741,-0.007214,-0.004437,0.001816,0.007973,0.009014,0.01276,0.013163,0.012649,0.007054,0.003476,-0.000394,-0.00419,0.001616,-0.00387,-0.007344,-0.005782,-0.003637,-0.004949,-0.002429,0.001573,0.00193,0.000307,0.004949,0.000598,0.005929,0.008212,0.010708,0.006243,0.007448,0.004143,-0.001671,0.001067,0.006242,0.007135,0.01321,0.0104,0.009496,0.00939,0.007022,0.000488,-0.002934,-0.000993,-0.002787,1
-0.016594,-0.01961,-0.01699,-0.01075,-0.011331,-0.012515,-0.009753,-0.00525,-0.006886,-0.011002,-0.00747,-0.008265,-0.007521,-0.011118,-0.01341,-0.013378,-0.013766,-0.015598,-0.014032,-0.008732,-0.007665,-0.00736,-0.008451,-0.011253,-0.009662,-0.014861,-0.015563,-0.014622,-0.01958,-0.01503,-0.012608,-0.013765,-0.014108,-0.010927,-0.005909,-0.006295,-0.004714,-0.001649,-0.005726,-0.003659,0.001842,0.00362,0.000281,0.001081,0.003205,0.001486,0.007859,0.000502,-0.004414,1
0.006394,0.005253,0.005874,0.005872,0.005334,0.003206,0.007537,0.01051,0.008024,0.010684,0.010818,0.009421,0.007352,0.008905,0.011265,0.011334,0.008163,0.004552,0.00212,0.004539,0.004581,-0.001856,-0.004242,-0.00527,-0.009945,-0.006311,-0.009701,-0.007276,-0.002647,0.00263,0.007531,0.010995,0.009091,0.005533,0.002466,0.003151,0.0042,0.004596,0.002036,0.00138,0.002186,0.003261,0.009003,0.003414,0.001701,-0.003883,-0.000096,0.003591,0.009399,1
0.004754,0.004208,-0.000827,0.001463,0.006574,0.006666,0.010348,0.009353,0.00575,0.007077,0.010802,0.011073,0.011824,0.008387,0.009378,0.011394,0.01489,0.011715,0.00682,0.010159,0.013466,0.014404,0.013453,0.013129,0.009401,0.00866,0.008261,0.014877,0.010676,0.011211,0.016601,0.014391,0.011247,0.013448,0.016957,0.014936,0.018714,0.016661,0.018042,0.015996,0.013349,0.013504,0.018185,0.023338,0.021447,0.022607,0.019462,0.020453,0.026494,1
0.007767,0.006853,0.008389,0.012138,0.012904,0.015727,0.014465,0.012511,0.013586,0.013874,0.01008,0.011936,0.012403,0.016513,0.017217,0.017214,0.017672,0.021101,0.022165,0.025832,0.022682,0.019587,0.019189,0.021417,0.020268,0.015045,0.016078,0.013733,0.014934,0.013831,0.013808,0.017514,0.020589,0.02117,0.017432,0.018423,0.014064,0.014183,0.017483,0.017656,0.013426,0.014235,0.009752,0.008244,0.009987,0.015979,0.020225,0.01926,0.018381,1
0.00914,0.00956,0.013561,0.010227,0.006144,-0.000809,-0.002313,-0.004017,-0.003228,-0.003085,-0.001711,0.001455,-0.005273,-0.003497,0.002564,0.004801,0.006074,0.006626,0.005848,0.006578,0.010731,0.007472,0.003307,0.005304,0.01154,0.009243,0.00978,0.007597,0.005242,0.003588,0.007143,0.007869,0.011594,0.011076,0.007035,0.002456,0.006677,0.004983,-0.001084,-0.007185,-0.00472,-0.008548,-0.00511,-0.00339,-0.002206,-0.00082,0.002779,0.001628,0.000236,2
-0.019689,-0.019379,-0.01801,-0.017425,-0.017204,-0.016903,-0.016846,-0.011815,-0.015927,-0.016504,-0.014544,-0.012482,-0.013043,-0.00921,-0.002542,-0.002771,-0.003165,-0.004024,-0.002432,-0.002193,-0.002322,-0.005594,-0.004617,-0.002559,-0.001367,-0.001255,-0.002195,0.000795,0.002033,0.00351,0.008784,0.004966,-0.001032,0.000312,-0.002418,-0.002548,-0.002679,-0.00078,-0.002419,-0.003958,-0.002795,-0.000028,0.00438,0.011106,0.010517,0.007558,0.005306,0.009437,0.008282,2
0.020551,0.019242,0.019206,0.016619,0.013523,0.010816,0.013416,0.008209,0.00803,0.012476,0.011341,0.012857,0.013432,0.012751,0.01337,0.011191,0.00623,0.004233,0.000009,0.002545,0.001448,0.001428,0.00467,0.008289,0.010034,0.007871,0.008455,0.013051,0.013667,0.008613,0.010601,0.010112,0.011573,0.013782,0.010101,0.009859,0.014216,0.015971,0.012546,0.009656,0.00981,0.004401,0.006623,0.007544,0.008112,0.003951,0.004428,0.003434,-0.001998,2
0.021759,0.016103,0.01925,0.017175,0.01936,0.013329,0.012781,0.015136,0.010121,0.005178,0.002997,0.002091,-0.000659,-0.002901,-0.006052,-0.000995,0.002718,0.003904,0.000958,0.000858,0.001781,0.001857,0.001559,0.004357,0.010466,0.0091,0.010119,0.010352,0.011183,0.008426,0.011487,0.011615,0.012822,0.008874,0.00556,0.005694,0.001382,0.00187,0.000694,-0.003859,-0.008726,-0.012099,-0.01662,-0.021493,-0.021231,-0.023901,-0.023387,-0.024597,-0.022772,2
-0.002064,-0.000422,0.001429,0.00079,0.003335,0.003079,0.000756,0.002041,0.002074,-0.001999,-0.001519,0.000545,0.001346,0.004179,0.001346,0.003762,0.002755,0.000984,0.000394,0.003684,0.001862,0.002213,-0.000839,0.003296,0.005156,-0.001409,-0.001042,-0.002063,-0.002629,-0.005725,-0.004828,-0.002539,-0.004863,-0.009193,-0.008476,-0.009306,-0.014962,-0.015784,-0.015774,-0.012813,-0.012046,-0.009636,-0.00838,-0.003096,-0.00247,-0.005246,-0.006173,-0.001301,-0.000503,2
-0.007232,-0.012564,-0.013967,-0.015502,-0.016451,-0.010565,-0.009384,-0.009224,-0.008315,-0.008854,-0.008393,-0.010728,-0.01354,-0.008194,-0.007121,-0.004928,-0.003011,0.0015,0.007223,0.007744,0.004496,0.000724,0.003595,0.006127,0.004519,0.000865,0.006621,0.00785,0.008967,0.00854,0.011517,0.013517,0.014313,0.019426,0.017276,0.021876,0.016783,0.012166,0.00929,0.004401,0.007946,0.010646,0.011701,0.006093,0.006684,0.009476,0.002229,0.001206,0.005189,2
