@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute target {1,2}

@data
-0.000938,-0.01735,-0.053457,-0.096128,-0.128952,-0.155212,2
0.000312,0.000312,0.009038,-0.017142,-0.073866,-0.108773,1
0.032573,0.014477,-0.014477,-0.054288,-0.094099,-0.126672,2
0.007785,-0.003688,-0.023764,-0.055313,-0.08973,-0.124147,2
-0.046063,-0.042886,-0.055593,-0.065123,-0.08736,-0.103244,1
0.001257,-0.019281,-0.060358,-0.0985,-0.133709,-0.163049,2
-0.021673,-0.041461,-0.071143,-0.097527,-0.117315,-0.123911,2
-0.039194,-0.055907,-0.083761,-0.108829,-0.128327,-0.131112,2
-0.001118,-0.012862,-0.036349,-0.07158,-0.11464,-0.134212,2
-0.022905,-0.012035,-0.0066,-0.01747,-0.03921,-0.055515,1
-0.011885,-0.02262,-0.046774,-0.078978,-0.108499,-0.13802,2
-0.037746,-0.047472,-0.047472,-0.037746,-0.050714,-0.079891,1
-0.027157,-0.040155,-0.072649,-0.108394,-0.144138,-0.166885,2
-0.011909,-0.015116,-0.034354,-0.06321,-0.09848,-0.120924,2
-0.012671,-0.012671,-0.025573,-0.048151,-0.077181,-0.099759,2
-0.005777,0.008928,0.008928,-0.002101,-0.024159,-0.042542,2
-0.03406,-0.014397,-0.004565,-0.004565,-0.024229,-0.053724,1
-0.002027,-0.002027,-0.01976,-0.037494,-0.048134,-0.051681,2
-0.061477,-0.036163,-0.025314,-0.02893,-0.047012,-0.057861,1
-0.054759,-0.075705,-0.109219,-0.134354,-0.146922,-0.142733,2
