@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute target {1,2}

@data
0.107982,0.109837,0.111904,0.113912,0.115497,0.116558,0.117125,0.117126,0.116534,0.115191,0.113201,0.11056,0.107292,0.10353,0.099249,0.094501,0.089456,0.084038,0.078254,0.072217,0.066014,0.059455,0.052426,2
0.086967,0.08487,0.082815,0.080774,0.078627,0.07621,0.073439,0.070503,0.067605,0.064763,0.061938,0.059126,0.056339,0.05357,0.050807,0.047958,0.044821,0.041107,0.036634,0.03176,0.026788,0.021321,0.015209,2
0.113132,0.114922,0.11666,0.118172,0.119106,0.119191,0.118412,0.116679,0.114199,0.111162,0.107796,0.10409,0.100073,0.095841,0.091433,0.086915,0.082281,0.077322,0.07184,0.065872,0.05946,0.05234,0.044246,2
0.084025,0.087346,0.090797,0.094143,0.097024,0.099106,0.100378,0.100882,0.100753,0.099938,0.098525,0.096524,0.093982,0.091054,0.087804,0.084245,0.080347,0.075936,0.070892,0.065416,0.059683,0.053466,0.046636,2
0.073932,0.077999,0.082165,0.086219,0.089826,0.092793,0.095078,0.09652,0.097146,0.096814,0.095678,0.093814,0.091312,0.088377,0.085087,0.081496,0.07763,0.073317,0.068433,0.063097,0.057431,0.051222,0.044275,2
0.087387,0.088551,0.089791,0.09094,0.091755,0.091999,0.091655,0.090797,0.089524,0.087817,0.085747,0.083298,0.080518,0.077517,0.074319,0.070915,0.067255,0.063159,0.058488,0.053409,0.048056,0.042181,0.03561,2
0.081742,0.085336,0.089021,0.092565,0.095636,0.097926,0.099451,0.10017,0.100211,0.099562,0.098285,0.09644,0.094102,0.091398,0.088409,0.085115,0.081484,0.077358,0.072588,0.067375,0.061903,0.055925,0.049304,2
0.070991,0.07924,0.087557,0.095641,0.103,0.109136,0.11404,0.117671,0.120198,0.12145,0.121609,0.120771,0.118988,0.116524,0.11356,0.11009,0.10615,0.101645,0.096486,0.090911,0.085109,0.078904,0.072232,2
0.073887,0.078154,0.08248,0.086647,0.090349,0.093245,0.095278,0.09642,0.096727,0.09613,0.094794,0.092804,0.09025,0.087321,0.084124,0.080672,0.076959,0.072829,0.068144,0.063027,0.057563,0.051491,0.044617,2
0.088881,0.088991,0.089152,0.089247,0.089102,0.088426,0.087198,0.085534,0.083589,0.081363,0.078916,0.076254,0.07337,0.070322,0.067136,0.063775,0.060184,0.056202,0.0517,0.046848,0.041752,0.036124,0.029781,2
0.078088,0.082644,0.087276,0.091765,0.095777,0.098965,0.101305,0.102779,0.103562,0.103565,0.102801,0.101329,0.099264,0.096777,0.09395,0.090753,0.087148,0.082996,0.078186,0.072946,0.067476,0.061536,0.055025,2
0.074585,0.080122,0.085793,0.09129,0.096174,0.100055,0.102938,0.104816,0.105871,0.106046,0.105443,0.104093,0.102076,0.099563,0.096662,0.093377,0.089686,0.085432,0.08051,0.07515,0.069576,0.063586,0.057055,2
0.083725,0.084445,0.08516,0.085772,0.086081,0.085843,0.085004,0.083621,0.081835,0.079685,0.077253,0.074547,0.071591,0.068488,0.065278,0.06192,0.058357,0.05441,0.049931,0.045043,0.039844,0.034043,0.027425,2
0.080205,0.084068,0.087955,0.091661,0.094827,0.097048,0.098304,0.098604,0.098151,0.097009,0.095368,0.093241,0.090636,0.08766,0.08442,0.080927,0.077138,0.072891,0.068033,0.062733,0.05716,0.051052,0.044235,2
0.078631,0.081563,0.084524,0.087312,0.089676,0.091358,0.092271,0.092392,0.09185,0.090596,0.088782,0.086431,0.083631,0.08053,0.077164,0.073575,0.069741,0.065478,0.060652,0.055372,0.049761,0.043608,0.036702,2
0.075316,0.080249,0.085273,0.090196,0.094592,0.098085,0.1007,0.102402,0.103292,0.103256,0.102427,0.100873,0.098671,0.095981,0.09288,0.089396,0.085555,0.081214,0.076248,0.070838,0.06515,0.058962,0.052159,2
0.109375,0.116979,0.124746,0.132146,0.13855,0.143677,0.147549,0.149913,0.150932,0.150693,0.14954,0.147399,0.144341,0.140618,0.13628,0.131529,0.126497,0.12095,0.114827,0.108159,0.101093,0.093597,0.085489,2
0.092326,0.093521,0.094863,0.096043,0.096731,0.096794,0.096251,0.095035,0.093287,0.091131,0.088669,0.085818,0.082663,0.079256,0.075586,0.071768,0.067751,0.063329,0.058378,0.052961,0.047225,0.040972,0.033993,2
0.113944,0.114279,0.114729,0.114995,0.114754,0.113918,0.112435,0.11028,0.107664,0.104704,0.101512,0.098009,0.094229,0.090202,0.08595,0.081621,0.077152,0.072307,0.066967,0.061173,0.055017,0.048253,0.040668,2
0.094101,0.094935,0.095785,0.0965,0.096852,0.096578,0.095671,0.094189,0.092279,0.089988,0.087407,0.084558,0.081432,0.078119,0.074685,0.071099,0.067292,0.063093,0.058349,0.05317,0.04767,0.041569,0.034644,2
0.104986,0.112006,0.119007,0.125763,0.13184,0.136685,0.140273,0.142455,0.143441,0.143208,0.141879,0.139553,0.136319,0.132513,0.128367,0.123883,0.118992,0.113562,0.107473,0.100883,0.094045,0.086704,0.078658,2
0.113084,0.120361,0.12786,0.13499,0.141142,0.145975,0.149559,0.151717,0.152541,0.15201,0.1505,0.147986,0.144567,0.140478,0.135782,0.130665,0.125261,0.119406,0.112988,0.106023,0.098641,0.090814,0.082395,2
0.093934,0.095044,0.096324,0.097449,0.098093,0.098052,0.097313,0.0959,0.093934,0.091482,0.088792,0.085799,0.082478,0.078923,0.07515,0.071217,0.067087,0.062542,0.057488,0.051975,0.046114,0.039739,0.032633,2
0.116249,0.116265,0.116408,0.11637,0.115848,0.114667,0.112832,0.110364,0.107414,0.104092,0.100632,0.096937,0.092968,0.088826,0.084487,0.080021,0.075406,0.070428,0.064979,0.059056,0.05273,0.045819,0.038087,2
0.092822,0.09367,0.094534,0.095299,0.095731,0.09555,0.094738,0.093337,0.091509,0.089275,0.086755,0.083976,0.080899,0.077578,0.074099,0.070447,0.066575,0.062344,0.057583,0.052403,0.046889,0.040748,0.033815,2
0.103573,0.110246,0.116859,0.123156,0.128655,0.132855,0.135882,0.137635,0.138342,0.137895,0.13648,0.134239,0.131161,0.127496,0.123447,0.118971,0.114104,0.108808,0.102925,0.096572,0.089904,0.082654,0.074691,2
0.081241,0.082558,0.08394,0.085264,0.086317,0.086825,0.086834,0.086372,0.085573,0.084388,0.082878,0.081061,0.078957,0.076662,0.074193,0.07149,0.068479,0.064961,0.060793,0.056274,0.051609,0.046462,0.040714,2
0.100843,0.1096,0.118463,0.127075,0.13484,0.141398,0.146699,0.150644,0.153356,0.154552,0.15454,0.153362,0.151124,0.148152,0.144532,0.140367,0.135744,0.130533,0.124696,0.11839,0.111789,0.104846,0.097446,2
0.114749,0.11784,0.120971,0.12391,0.126333,0.127967,0.128782,0.128783,0.128173,0.126906,0.125059,0.122616,0.11961,0.116179,0.112404,0.108289,0.103826,0.098864,0.093354,0.087433,0.081188,0.074414,0.067006,2
0.092122,0.093862,0.095668,0.097284,0.098454,0.099017,0.098986,0.098371,0.097248,0.095615,0.093574,0.09114,0.088348,0.085297,0.082058,0.078581,0.074839,0.070662,0.065866,0.060622,0.055104,0.049063,0.042319,2
0.09638,0.098978,0.101598,0.104091,0.10617,0.107482,0.108022,0.107788,0.106972,0.105587,0.103753,0.101469,0.098724,0.095677,0.092423,0.088875,0.085,0.08067,0.075775,0.070464,0.064798,0.058581,0.051643,2
0.09524,0.102884,0.110533,0.117893,0.124584,0.130092,0.134505,0.137724,0.139827,0.140677,0.140487,0.139282,0.137142,0.134356,0.13108,0.127328,0.123084,0.11823,0.112683,0.106658,0.100427,0.093851,0.086844,2
0.100396,0.109745,0.119328,0.12859,0.137015,0.144181,0.150013,0.154466,0.157707,0.159526,0.160077,0.159361,0.157495,0.154727,0.15125,0.147113,0.142376,0.137024,0.130978,0.124383,0.117501,0.110298,0.102726,2
0.076578,0.079207,0.08186,0.084361,0.08641,0.087735,0.088314,0.088168,0.087448,0.086111,0.084358,0.082239,0.079726,0.076919,0.073898,0.07067,0.067183,0.063249,0.058742,0.05381,0.048525,0.042637,0.035977,2
0.082245,0.087272,0.092426,0.097432,0.101862,0.105334,0.107866,0.109456,0.110263,0.110193,0.109384,0.107921,0.105826,0.10327,0.100337,0.097042,0.09336,0.089098,0.084195,0.078842,0.073228,0.067116,0.060388,2
0.081153,0.082503,0.083929,0.085317,0.086433,0.087031,0.087119,0.08677,0.086115,0.085099,0.083755,0.082054,0.079989,0.077665,0.075118,0.072281,0.069098,0.065419,0.061086,0.056314,0.051339,0.045913,0.039904,2
