@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute target {1,2}

@data
-0.097741,-0.09591,-0.093907,-0.09179,-0.089902,-0.087785,-0.085211,-0.081663,-0.078173,-0.074912,-0.071022,-0.065987,-0.060551,-0.05483,-0.049223,-0.043501,-0.037666,-0.031658,-0.025136,-0.018213,-0.011118,-0.003966,0.002899,0.009193,0.0148,0.01932,0.022981,0.0263,0.028302,0.028874,0.029504,0.028989,0.027902,1
0.07384,0.068608,0.063851,0.059676,0.056135,0.053282,0.050851,0.048789,0.047257,0.045988,0.045143,0.044614,0.044403,0.044244,0.04398,0.043504,0.043082,0.042659,0.042289,0.041919,0.041813,0.041919,0.042025,0.042289,0.042765,0.04361,0.044773,0.045513,0.045777,0.045724,0.045566,0.045671,0.045883,1
0.058306,0.057648,0.056727,0.057648,0.058438,0.057648,0.056595,0.054753,0.052384,0.050015,0.048173,0.046331,0.043962,0.041198,0.038303,0.03554,0.033171,0.031065,0.029223,0.027644,0.026196,0.025012,0.023959,0.022906,0.02238,0.022248,0.021722,0.020932,0.020143,0.019485,0.018958,0.018827,0.018958,2
-0.100328,-0.091886,-0.083071,-0.073636,-0.064077,-0.054642,-0.044958,-0.035151,-0.025591,-0.01628,-0.006721,0.003087,0.01277,0.022329,0.031765,0.041324,0.050511,0.059449,0.068016,0.076458,0.084651,0.092224,0.099797,0.107494,0.115067,0.122764,0.13071,0.138655,0.146228,0.153429,0.160878,0.168326,0.175279,2
0.044932,0.051833,0.058318,0.064089,0.069384,0.074679,0.07938,0.083128,0.085984,0.088363,0.090743,0.092587,0.093658,0.093956,0.093599,0.092647,0.0911,0.088899,0.083187,0.077,0.069979,0.062245,0.053856,0.044872,0.035056,0.024347,0.013221,0.0015,-0.010875,-0.022655,-0.034078,-0.044727,-0.055436,1
0.018412,0.020405,0.021948,0.023362,0.024712,0.026062,0.027669,0.029083,0.03024,0.031012,0.031205,0.031076,0.030755,0.029983,0.02889,0.027862,0.027348,0.027476,0.028183,0.029662,0.031783,0.034547,0.037761,0.041233,0.045154,0.049332,0.053639,0.058074,0.06296,0.068038,0.073052,0.077873,0.082695,1
0.039992,0.036244,0.03289,0.030425,0.027959,0.024901,0.021745,0.018589,0.01494,0.011488,0.008134,0.004781,0.001131,-0.002518,-0.005872,-0.009225,-0.012381,-0.015636,-0.018792,-0.021948,-0.024809,-0.027472,-0.030233,-0.032995,-0.035757,-0.038321,-0.04059,-0.04276,-0.044535,-0.04562,-0.047691,-0.049171,-0.05134,2
-0.070197,-0.06662,-0.063701,-0.061159,-0.058712,-0.056076,-0.053345,-0.050521,-0.047791,-0.045437,-0.04346,-0.042142,-0.041107,-0.039977,-0.039129,-0.038094,-0.036588,-0.035081,-0.033951,-0.032728,-0.031692,-0.030939,-0.030092,-0.028585,-0.026232,-0.02256,-0.018323,-0.014934,-0.012957,-0.011639,-0.010886,-0.010321,-0.009285,2
0.058677,0.06248,0.065169,0.066743,0.067464,0.067464,0.06648,0.064579,0.061562,0.057563,0.052448,0.045891,0.03835,0.030022,0.020842,0.010875,0.000449,-0.010698,-0.021649,-0.032796,-0.044336,-0.055484,-0.066041,-0.076205,-0.085909,-0.094827,-0.102892,-0.110302,-0.11699,-0.122761,-0.127744,-0.132269,-0.136203,1
0.02758,0.028447,0.029315,0.030182,0.030995,0.031591,0.032078,0.032295,0.032566,0.032512,0.03197,0.031157,0.030344,0.029531,0.028827,0.028231,0.027797,0.027634,0.02796,0.028718,0.030019,0.031753,0.033867,0.036252,0.039016,0.04205,0.045085,0.048066,0.051047,0.053973,0.056737,0.059718,0.062103,1
