@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute target {1,2}

@data
0.107127,0.110414,0.114193,0.118137,0.122123,0.126108,0.130124,0.13414,0.138156,0.142172,0.146188,0.14323,0.142018,0.130453,2
-0.099633,-0.099772,-0.099911,-0.100049,-0.100049,-0.100049,-0.100049,-0.100049,-0.100049,-0.100049,-0.100188,-0.100327,-0.100465,-0.100604,2
-0.036565,-0.036344,-0.036124,-0.035904,-0.035904,-0.035683,-0.035463,-0.035463,-0.035243,-0.035022,-0.034802,-0.034582,-0.034361,-0.034361,2
0.102572,0.102556,0.10254,0.102524,0.102524,0.102509,0.102509,0.102493,0.102477,0.102461,0.102461,0.102461,0.102461,0.102461,2
0.103229,0.103229,0.103229,0.103229,0.103229,0.103229,0.103229,0.103229,0.103229,0.103229,0.103229,0.103229,0.103229,0.103245,2
-0.03975,-0.03975,-0.03975,-0.039975,-0.039975,-0.039975,-0.039975,-0.039975,-0.039975,-0.039975,-0.039975,-0.039975,-0.039975,-0.039975,2
-0.100807,-0.100674,-0.10054,-0.100406,-0.100273,-0.100273,-0.100139,-0.100005,-0.099738,-0.099605,-0.099605,-0.099605,-0.099605,-0.099605,2
-0.105951,-0.105951,-0.105951,-0.105951,-0.106094,-0.106236,-0.106379,-0.106379,-0.106379,-0.106521,-0.106521,-0.106521,-0.106664,-0.106807,2
0.116892,0.116892,0.116892,0.116892,0.116892,0.116892,0.116892,0.116892,0.116892,0.116892,0.116892,0.116892,0.116892,0.116892,2
0.096459,0.099259,0.103926,0.107902,0.107409,0.103082,0.088722,0.070707,0.050852,0.031053,0.010574,-0.010245,-0.031418,-0.053097,1
0.107717,0.107717,0.107717,0.107717,0.107717,0.107717,0.107717,0.107717,0.107717,0.107717,0.107717,0.107717,0.107733,0.107749,2
-0.017029,-0.017029,-0.017029,-0.017029,-0.017029,-0.017029,-0.017029,-0.017029,-0.017029,-0.017029,-0.017029,-0.017029,-0.017029,-0.017029,2
0.108825,0.108825,0.108825,0.108825,0.108825,0.108825,0.108825,0.108825,0.108825,0.108825,0.108825,0.108825,0.108825,0.108825,2
0.106958,0.11072,0.114647,0.118646,0.122645,0.126644,0.130675,0.134705,0.138735,0.142765,0.146795,0.144228,0.143404,0.13186,2
-0.089697,-0.088873,-0.088912,-0.088565,-0.088436,-0.088161,-0.087994,-0.087755,-0.087772,-0.087701,-0.087535,-0.087701,-0.087432,-0.087528,1
0.095826,0.095826,0.095826,0.095826,0.095826,0.095826,0.095852,0.095852,0.095852,0.095852,0.095852,0.095852,0.095852,0.095852,2
0.104165,0.104165,0.104165,0.104165,0.104165,0.104165,0.104165,0.104165,0.104165,0.104165,0.104165,0.104165,0.104165,0.104165,2
0.112053,0.112053,0.112053,0.112069,0.1121,0.112147,0.112209,0.112272,0.112365,0.112475,0.112584,0.112724,0.112864,0.113036,2
0.108697,0.108697,0.108697,0.108697,0.108697,0.108697,0.108697,0.108697,0.108697,0.108697,0.108697,0.108697,0.108697,0.108697,2
0.114907,0.114804,0.114675,0.114521,0.11434,0.114134,0.113902,0.113644,0.11336,0.11305,0.112715,0.112354,0.111967,0.111554,2
0.092734,0.096343,0.100082,0.10388,0.107719,0.111588,0.115456,0.119325,0.123194,0.127062,0.130931,0.128492,0.127462,0.115686,2
0.109285,0.109285,0.109285,0.109285,0.109285,0.109285,0.109285,0.109285,0.109285,0.109285,0.109285,0.109285,0.109285,0.109285,2
-0.120723,-0.120723,-0.120885,-0.120885,-0.120723,-0.120723,-0.120723,-0.120723,-0.12056,-0.12056,-0.12056,-0.12056,-0.120398,-0.120398,2
-0.063662,-0.065665,-0.067802,-0.070073,-0.072477,-0.075148,-0.077953,-0.080758,-0.083696,-0.086902,-0.090107,-0.093446,-0.097052,-0.100792,2
-0.09992,-0.099786,-0.099786,-0.099786,-0.099652,-0.099519,-0.099385,-0.099251,-0.099118,-0.098984,-0.09885,-0.098717,-0.098583,-0.09845,2
0.104969,0.104969,0.104969,0.104969,0.104969,0.104994,0.104994,0.104994,0.104994,0.104994,0.104994,0.104994,0.104994,0.104994,2
0.108351,0.108366,0.108382,0.108382,0.108382,0.108398,0.108398,0.108414,0.108429,0.108445,0.108461,0.108461,0.108477,0.096303,2
-0.072955,-0.074322,-0.075825,-0.077602,-0.079379,-0.081429,-0.083616,-0.085803,-0.088126,-0.090723,-0.093457,-0.09619,-0.099061,-0.102068,2
0.107011,0.107011,0.107011,0.107011,0.107011,0.107011,0.107011,0.107011,0.107011,0.107011,0.107011,0.107011,0.107011,0.107011,2
-0.100487,-0.10067,-0.10067,-0.10067,-0.100853,-0.100853,-0.101035,-0.101218,-0.1014,-0.101583,-0.101583,-0.101766,-0.101948,-0.102131,2
-0.093306,-0.093306,-0.093168,-0.093168,-0.093168,-0.093168,-0.09303,-0.092892,-0.092754,-0.092616,-0.092479,-0.092479,-0.092479,-0.092341,2
0.103193,0.106512,0.110282,0.114185,0.118159,0.122134,0.126109,0.130114,0.134119,0.138125,0.14213,0.139641,0.138729,0.127164,2
-0.02276,-0.022609,-0.022609,-0.022609,-0.022609,-0.022459,-0.022309,-0.022158,-0.022158,-0.022158,-0.022158,-0.022158,-0.022158,-0.022158,2
0.103668,0.103668,0.103668,0.103668,0.103668,0.103668,0.103668,0.103668,0.103668,0.103668,0.103668,0.103668,0.103668,0.103668,2
0.10909,0.109116,0.109116,0.109116,0.109116,0.109116,0.109142,0.109167,0.109193,0.109219,0.109219,0.109245,0.10927,0.109296,2
0.100584,0.104278,0.108137,0.112067,0.115996,0.119957,0.123887,0.127848,0.131808,0.135769,0.139729,0.137273,0.136219,0.124429,2
0.107127,0.106967,0.106791,0.1066,0.106376,0.106137,0.105881,0.105626,0.105355,0.105067,0.104764,0.104445,0.10411,0.103758,2
-0.090741,-0.090299,-0.090299,-0.090299,-0.090299,-0.090299,-0.090299,-0.090299,-0.090299,-0.089856,-0.089856,-0.089856,-0.089856,-0.089856,2
0.11712,0.11712,0.11712,0.117093,0.117067,0.117067,0.117067,0.117067,0.117067,0.117067,0.117067,0.117067,0.117067,0.117067,2
0.110705,0.110705,0.110731,0.110757,0.110783,0.110783,0.110783,0.110783,0.110783,0.110783,0.110783,0.110783,0.110809,0.110809,2
0.114446,0.114446,0.114446,0.114446,0.114446,0.114446,0.114446,0.114446,0.114446,0.114446,0.114446,0.114446,0.114456,0.114456,2
-0.084887,-0.085054,-0.08522,-0.085387,-0.085387,-0.085554,-0.08572,-0.085887,-0.086054,-0.08622,-0.086387,-0.086387,-0.086554,-0.086554,2
0.08994,0.092493,0.096752,0.100653,0.104607,0.108814,0.112427,0.117176,0.119253,0.117824,0.1102,0.094054,0.076546,0.056979,1
0.101449,0.101522,0.101605,0.101698,0.101802,0.101916,0.102041,0.102175,0.102321,0.102476,0.102642,0.102829,0.103026,0.103223,2
-0.096922,-0.096922,-0.096922,-0.096922,-0.096922,-0.096922,-0.096922,-0.096922,-0.096793,-0.096664,-0.096536,-0.096407,-0.096279,-0.09615,2
-0.11131,-0.11145,-0.11145,-0.11131,-0.111032,-0.110336,-0.10964,-0.108805,-0.107831,-0.106718,-0.105465,-0.104213,-0.102682,-0.101151,2
0.11994,0.123968,0.128059,0.132193,0.136327,0.140493,0.144659,0.148825,0.152991,0.157157,0.161323,0.158425,0.157338,0.145512,2
0.107661,0.107661,0.107661,0.107661,0.107661,0.107661,0.107661,0.107661,0.107661,0.107661,0.107661,0.107661,0.107661,0.107661,2
0.105319,0.105294,0.105268,0.105242,0.105217,0.105191,0.105166,0.10514,0.105114,0.105089,0.105063,0.105037,0.105012,0.104986,2
0.096752,0.100364,0.104202,0.108143,0.112083,0.116055,0.120026,0.123997,0.127969,0.13194,0.135911,0.133449,0.132463,0.120734,2
0.100804,0.100804,0.100804,0.100804,0.100804,0.100804,0.100804,0.100804,0.100804,0.10083,0.100855,0.100881,0.100906,0.100906,2
0.114494,0.129405,0.129405,0.129405,0.129405,0.129405,0.129405,0.129405,0.129405,0.129378,0.129325,0.129244,0.129137,0.129003,2
0.10488,0.10488,0.10488,0.10488,0.10488,0.10488,0.10488,0.10488,0.10488,0.10488,0.10488,0.10488,0.10488,0.10488,2
-0.074663,-0.074832,-0.075001,-0.075171,-0.07534,-0.075509,-0.075679,-0.075848,-0.076017,-0.076187,-0.076356,-0.076356,-0.076525,-0.076525,2
0.114077,0.114077,0.114077,0.114077,0.114077,0.114077,0.114077,0.114077,0.114077,0.114062,0.114046,0.114046,0.114046,0.114046,2
0.093784,0.09295,0.093222,0.093082,0.09317,0.093111,0.093154,0.093118,0.093157,0.093125,0.093183,0.093111,0.093234,0.093002,1
0.100736,0.10401,0.107806,0.111693,0.115622,0.11955,0.123479,0.127408,0.131367,0.135326,0.139286,0.136789,0.135735,0.12398,2
0.099218,0.098996,0.098757,0.098503,0.098232,0.097946,0.097644,0.097326,0.096992,0.096642,0.096276,0.095911,0.095513,0.095116,2
-0.089731,-0.089731,-0.08958,-0.08958,-0.089429,-0.089278,-0.089278,-0.089127,-0.089127,-0.089127,-0.088976,-0.088976,-0.088976,-0.088976,2
0.107061,0.110701,0.114566,0.118493,0.122461,0.126428,0.130427,0.134425,0.138423,0.142422,0.14642,0.143874,0.143025,0.133147,2
0.09986,0.09986,0.09986,0.09986,0.09986,0.09986,0.09986,0.09986,0.09986,0.09986,0.09986,0.09986,0.09986,0.09986,2
0.09532,0.09532,0.09532,0.09532,0.09532,0.09532,0.09532,0.09532,0.09532,0.09532,0.09532,0.09532,0.09532,0.09532,2
-0.118624,-0.11826,-0.117715,-0.11717,-0.116443,-0.115353,-0.114263,-0.11281,-0.111174,-0.109539,-0.107541,-0.105542,-0.10318,-0.100637,2
0.107843,0.107843,0.107843,0.107843,0.107843,0.107843,0.107843,0.107843,0.107843,0.107843,0.107843,0.107843,0.107843,0.107843,2
0.122991,0.122991,0.122991,0.123017,0.123017,0.122991,0.122938,0.122859,0.122754,0.122622,0.122464,0.12228,0.122069,0.121832,2
0.112338,0.112338,0.112338,0.112338,0.112338,0.112338,0.112338,0.112338,0.112338,0.112338,0.112338,0.112338,0.112338,0.112338,2
-0.108983,-0.108983,-0.108834,-0.108834,-0.108685,-0.108536,-0.108387,-0.108239,-0.108239,-0.108239,-0.108239,-0.108239,-0.10809,-0.10809,2
0.119585,0.119585,0.119611,0.119637,0.119611,0.119558,0.11948,0.119375,0.119245,0.119088,0.118905,0.118696,0.11846,0.118199,2
-0.094859,-0.095175,-0.09549,-0.095806,-0.096121,-0.096437,-0.096752,-0.097068,-0.097383,-0.097383,-0.097383,-0.097699,-0.098014,-0.09833,2
0.117236,0.117236,0.11721,0.117183,0.117157,0.117131,0.117105,0.117079,0.117079,0.117079,0.117079,0.117079,0.117053,0.117053,2
-0.098168,-0.0977,-0.0977,-0.0977,-0.0977,-0.0977,-0.097233,-0.096766,-0.096298,-0.095831,-0.095364,-0.094896,-0.094429,-0.093961,2
-0.098003,-0.098003,-0.098003,-0.098003,-0.098003,-0.098003,-0.098003,-0.098003,-0.098003,-0.098003,-0.098003,-0.098003,-0.098003,-0.098003,2
0.099434,0.099633,0.099847,0.100062,0.100294,0.100558,0.100822,0.10112,0.101417,0.101731,0.102078,0.102441,0.102821,0.103218,2
0.115405,0.115405,0.115405,0.115405,0.115405,0.115405,0.115405,0.115405,0.115405,0.115405,0.115405,0.115405,0.115405,0.115405,2
0.105428,0.109112,0.11299,0.116939,0.120887,0.124867,0.128846,0.132825,0.136805,0.140784,0.13825,0.137405,0.125844,0.111158,2
0.115312,0.115312,0.115312,0.115312,0.115312,0.115312,0.115312,0.115338,0.115338,0.115364,0.11539,0.115416,0.115442,0.115468,2
0.103615,0.103615,0.103615,0.103615,0.103615,0.103615,0.103615,0.103615,0.103615,0.103615,0.103615,0.103615,0.103615,0.103615,2
0.105029,0.105029,0.105029,0.105029,0.105029,0.105029,0.105029,0.105029,0.105029,0.105029,0.105029,0.105029,0.105029,0.105029,2
-0.009612,-0.009715,-0.009818,-0.009921,-0.010024,-0.010128,-0.010231,-0.010334,-0.010437,-0.01054,-0.010644,-0.010747,-0.01085,-0.010953,2
0.107434,0.107417,0.107401,0.107385,0.107368,0.107352,0.107336,0.107319,0.107303,0.107287,0.107271,0.107271,0.107271,0.107271,2
0.10837,0.112052,0.115926,0.119872,0.123818,0.127795,0.131771,0.135748,0.139724,0.143701,0.147677,0.145114,0.144209,0.132595,2
0.088441,0.091025,0.095307,0.099231,0.103217,0.107438,0.111107,0.115875,0.118003,0.116422,0.108387,0.091539,0.073089,0.052702,1
0.089672,0.091918,0.096146,0.100077,0.104064,0.108344,0.111988,0.116838,0.118786,0.116511,0.110013,0.093653,0.075568,0.055223,1
0.094621,0.093779,0.094053,0.093912,0.094001,0.093942,0.093985,0.093949,0.093985,0.093959,0.094002,0.093957,0.094035,0.093878,1
0.106478,0.109991,0.113831,0.117764,0.121738,0.125711,0.129715,0.13372,0.137724,0.141728,0.145733,0.143275,0.142333,0.132337,2
0.100535,0.114796,0.1294,0.134111,0.138352,0.142561,0.146738,0.150915,0.155092,0.159269,0.163446,0.160754,0.159729,0.147635,2
0.100953,0.104679,0.108601,0.112553,0.116547,0.120541,0.124534,0.128528,0.132553,0.136577,0.140602,0.138039,0.137154,0.126943,2
0.100878,0.101023,0.101184,0.101362,0.101556,0.101749,0.101959,0.102201,0.10246,0.102734,0.103024,0.103331,0.103654,0.103993,2
0.110832,0.110832,0.110832,0.110832,0.110832,0.110832,0.110832,0.110832,0.110832,0.110832,0.110832,0.110832,0.110832,0.110832,2
0.100465,0.104012,0.10782,0.11173,0.115639,0.119549,0.123458,0.127398,0.131337,0.135277,0.139216,0.136738,0.135871,0.124395,2
0.097379,0.095934,0.095515,0.094676,0.094038,0.093238,0.092527,0.091688,0.090959,0.090013,0.089362,0.088199,0.087781,0.086055,1
0.107111,0.107111,0.107111,0.107111,0.107111,0.107111,0.107111,0.107111,0.107111,0.107111,0.107111,0.107111,0.107126,0.107126,2
0.108138,0.111845,0.115745,0.119718,0.12369,0.127663,0.131666,0.135669,0.139672,0.143675,0.147678,0.145098,0.144218,0.132495,2
0.091506,0.093977,0.098238,0.102142,0.10607,0.110298,0.113911,0.118691,0.120734,0.119277,0.111733,0.095501,0.077942,0.05848,1
0.106304,0.106304,0.106304,0.106304,0.106304,0.106304,0.106304,0.106304,0.106304,0.106304,0.106304,0.106304,0.106304,0.106304,2
0.105673,0.105673,0.105673,0.105673,0.105673,0.105673,0.105673,0.105673,0.105673,0.105673,0.105673,0.105673,0.105673,0.105673,2
0.10642,0.109812,0.113666,0.117687,0.12175,0.125813,0.129907,0.134002,0.138096,0.142191,0.146285,0.143772,0.14284,0.130913,2
-0.093582,-0.093447,-0.093447,-0.093447,-0.093447,-0.093312,-0.093177,-0.093042,-0.093042,-0.092907,-0.092772,-0.092772,-0.092637,-0.092637,2
0.101765,0.101765,0.101765,0.101776,0.101786,0.101796,0.101796,0.101796,0.101796,0.101806,0.101806,0.101817,0.101817,0.101817,2
0.110722,0.110748,0.110748,0.110748,0.110748,0.110748,0.110774,0.110774,0.110774,0.1108,0.110826,0.110826,0.110851,0.110851,2
0.108463,0.112173,0.116046,0.120023,0.123999,0.128006,0.132014,0.136021,0.140028,0.144035,0.148042,0.145224,0.144117,0.132475,2
-0.148426,-0.142183,-0.136437,-0.130238,-0.123982,-0.117435,-0.110766,-0.10383,-0.096794,-0.089425,-0.082072,-0.07419,-0.066638,-0.058046,1
-0.141092,-0.135231,-0.129871,-0.12408,-0.118248,-0.112143,-0.105934,-0.099474,-0.092924,-0.086079,-0.079226,-0.071932,-0.064875,-0.056902,1
0.084661,0.083908,0.084154,0.084027,0.084107,0.084063,0.084099,0.084089,0.084097,0.084111,0.084099,0.084133,0.084082,0.084197,1
-0.07859,-0.078253,-0.078658,-0.079143,-0.079349,-0.079699,-0.079668,-0.079705,-0.07965,-0.079901,-0.080206,-0.080008,-0.080373,-0.0805,1
-0.1221,-0.1221,-0.1221,-0.1221,-0.122257,-0.122257,-0.1221,-0.121627,-0.121155,-0.120525,-0.119737,-0.118792,-0.117533,-0.116273,2
-0.09669,-0.09669,-0.096556,-0.096422,-0.096422,-0.096422,-0.096422,-0.096422,-0.096288,-0.096154,-0.09602,-0.095886,-0.095886,-0.095752,2
0.092012,0.092012,0.092012,0.092012,0.092012,0.092012,0.092012,0.092012,0.092012,0.092012,0.092012,0.092012,0.092012,0.092012,2
-0.037345,-0.037345,-0.037578,-0.037811,-0.038043,-0.038043,-0.038043,-0.038043,-0.038043,-0.038043,-0.038043,-0.038043,-0.038043,-0.038043,2
